k,m,run_id,run_index,is_best_run,base_seed,run_seed,T,sampler,sampler_params_json,d_max,points_json,subset,witness_json,delta,history_json
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,"[[0.13310371290192255, -0.454276294624356, 0.3278051909463881, 0.41084883091261554], [-0.8435156838398703, 0.08281145919724497, -0.20485315974811652, -0.010883322757612685], [0.5777295588831884, 0.5109784245618252, 0.04337954699149836, 0.7405527234221538], [-0.5324650354172759, 0.22849833762979935, -0.5941765813914739, 0.5443362894496273]]",__POINTS__,,,"[{""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.13310371290192255, -0.454276294624356, 0.3278051909463881, 0.41084883091261554]}], ""d"": 1, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.8435156838398703, 0.08281145919724497, -0.20485315974811652, -0.010883322757612685]}], ""d"": 2, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.5777295588831884, 0.5109784245618252, 0.04337954699149836, 0.7405527234221538]}], ""d"": 3, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.5324650354172759, 0.22849833762979935, -0.5941765813914739, 0.5443362894496273]}], ""d"": 4, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.12182274039701482, -0.44872683398462176, 0.8056444441674655, -0.1018336270116107]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.4445212991376179, 0.6719688322143312, 0.4613240346681516, 0.521019472438038]}, {""attempt"": 3, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.9819518876839745, -0.1863425114196111, -0.23486483703469516, -0.37311725156088116]}, {""attempt"": 4, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.757892668890076, -0.0764942978247584, -0.5640071405789877, -0.5534841492912085]}, {""attempt"": 5, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.6522794909133203, 0.47667191567033174, -0.5840509880560383, 0.20374466163375568]}, {""attempt"": 6, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.19240971745789298, 0.7667128851599767, 0.19672702193013575, 0.5973314054909948]}], ""d"": 5, ""success"": false}]"
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,1,"[-0.1604820833874497, 0.3690888525795291]",0.1759558948474002,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,2,"[-0.8434836141138128, -0.0443083784374318]",0.043051315302028506,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,3,"[0.3773625110183172, 0.7406293210313649]",0.1695447923494829,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,4,"[-0.3249544812000677, 0.6975255689498108]",0.44531814736751546,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2","[-0.36531439658754666, 0.13570434453379132]",0.36894205474647124,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,3","[0.14806942988598873, 0.4843063254829123]",0.3929329531406666,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,4","[-0.29938109305965716, 0.5443362894515977]",0.41988919932937546,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"2,3","[1.1608459933130564, -2.9845351496882144]",15.887363554065297,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"2,4","[-0.557199226989068, 0.052122354496986795]",0.6916971399508951,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"3,4","[-0.0822259427419111, 1.2587311860703476]",1.071718343717078,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2,3","[-0.021794493199966437, 0.20483526447048087]",0.7662138680292103,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2,4","[-0.31169343748839257, 0.2401245042081726]",0.5128887911532637,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,3,4","[-0.03790106425690375, 0.4546155794515849]",0.6330544196613969,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"2,3,4","[-2.1922133470076814, 1.2836609345314458]",10.102886925715271,
4,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2,3,4","[-0.08713729840105264, 0.3257365927794045]",0.7281608337170671,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,"[[0.13181210399073678, 0.3660168358389172, -0.3160136576295799, -0.49041623934474127], [0.9092611204725379, 0.015588181904531663, 0.1925268511457788, -0.7333012584279861], [0.717010783936552, -0.09260918497603061, -0.42256133334160845, -0.27115289680681576], [0.179617836910316, 0.6669769203827994, 0.04763588449429796, 0.006301450104180413]]",__POINTS__,,,"[{""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.13181210399073678, 0.3660168358389172, -0.3160136576295799, -0.49041623934474127]}], ""d"": 1, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.9092611204725379, 0.015588181904531663, 0.1925268511457788, -0.7333012584279861]}], ""d"": 2, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.717010783936552, -0.09260918497603061, -0.42256133334160845, -0.27115289680681576]}], ""d"": 3, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.027243916475825476, -0.6319352349143643, 0.6005263476816243, -0.36866724904333403]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.4519127401171769, -0.21334282456860643, -0.4609268371945808, 0.10765782250612725]}, {""attempt"": 3, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.179617836910316, 0.6669769203827994, 0.04763588449429796, 0.006301450104180413]}], ""d"": 4, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.1933223501440484, 0.13796452722556718, -0.40801703086936986, 0.6660475604664885]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.7181740497613472, -0.7745263848465843, 0.011106853294667852, 0.14449577604194014]}, {""attempt"": 3, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.1824700785393679, -0.43955680778217987, 0.45583154315648583, -0.48548282712154034]}, {""attempt"": 4, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.7931474771817228, 0.10050582960711613, 0.26675102564098413, 0.3542270935244668]}, {""attempt"": 5, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.482310201575342, 0.5798100463446348, -0.5586024221075213, 0.3041425907573515]}, {""attempt"": 6, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.5974186411661871, 0.48342429033373496, -0.6449863819113458, 0.11653690356528755]}], ""d"": 5, ""success"": false}]"
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,1,"[0.2486176307969997, -0.4025107774496138]",0.042635226405119804,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,2,"[0.38337593244201423, -0.8395923071073675]",0.4595442192963005,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,3,"[0.716978739406397, -0.2621077344033412]",0.05455693165996191,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,4,"[0.42253636259501537, 0.027015310675964157]",0.1196148684968156,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2","[0.3724587753199428, -0.7333333211576241]",0.44788887754348117,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,3","[0.44237244083387584, -0.30695647016984573]",0.13601742078465687,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,4","[0.3514018930592315, -0.14958713942667715]",0.19229553332769833,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"2,3","[0.9087486063129796, -0.1747753773850857]",0.4831006342546629,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"2,4","[1.1884847799492102, 0.32580576454004273]",1.313671755443521,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"3,4","[0.4931790878065706, -0.11492325217185272]",0.16964743663582008,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2,3","[0.362756087246721, -0.5948675930589489]",0.46733517837185157,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2,4","[0.2850613034619699, -1.0496050682046347]",1.3282875560267202,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,3,4","[0.38429432447171713, -0.16292069666707223]",0.19477212341973732,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"2,3,4","[0.8131359522045448, -0.15945663034437377]",0.49307076269215244,
4,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2,3,4","[0.35077791642923395, -0.517722142585238]",0.4957734021801045,
