k,m,run_id,run_index,is_best_run,base_seed,run_seed,T,sampler,sampler_params_json,d_max,points_json,subset,witness_json,delta,history_json
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,"[[0.3128323241608392, -1.0676810282762499], [0.3494348082911523, -0.7248407209366099], [0.37383874269001655, -0.9247759720536451], [-0.777502597769596, 0.8015228616350416], [-0.8341458621069806, -0.6857615332233628]]",__POINTS__,,,"[{""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.3128323241608392, -1.0676810282762499]}], ""d"": 1, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.3494348082911523, -0.7248407209366099]}], ""d"": 2, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.37383874269001655, -0.9247759720536451]}], ""d"": 3, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.777502597769596, 0.8015228616350416]}], ""d"": 4, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.06257779942379653, 1.068295152970133]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.7867821299497731, 0.33763420471255795]}, {""attempt"": 3, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.9707041677507445, -0.05516907422194216]}, {""attempt"": 4, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.47531380673638346, 0.8533787120169845]}, {""attempt"": 5, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.8341458621069806, -0.6857615332233628]}], ""d"": 5, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.7057537628893602, 0.7970784645466907]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.9069771386124994, -0.17211474404092042]}, {""attempt"": 3, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.932360361329346, 0.7057434798048343]}, {""attempt"": 4, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.11777497668012506, -0.8683775094097886]}, {""attempt"": 5, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.7123071980637858, 0.8137583232505742]}, {""attempt"": 6, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.9607233545591471, 0.3351458328147184]}], ""d"": 6, ""success"": false}]"
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,1,"[0.3128323146439856, 0.31283231357553404, -1.0676810282762499]",2.0261918909804265e-16,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,2,"[0.349397798720345, 0.34897781110525233, -0.7250339083880174]",2.4753752763316754e-07,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,3,"[0.3738387427804352, 0.3738387427759729, -0.92477597223044]",4.682043265989842e-20,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,4,"[-0.7775025977698456, -0.7775025977697907, 0.8015228616392798]",1.806231140229228e-23,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,5,"[-0.8341458625179408, -0.6857615331509523, -0.6857615333926904]",2.0280337390837817e-19,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,2","[0.1909271241476099, 0.1905265104194109, -0.8662805269639048]",0.07038175179408232,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,3","[0.34287711011413485, 0.34303688632829277, -0.9959053054830133]",0.006966759121198465,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,4","[-0.13028209286911185, -1.8630701713782893, 0.07245148170683599]",2.1288964158647214,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,5","[-0.260560144842712, -0.9500053916737092, -0.8769863540459267]",0.3789909377396109,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"2,3","[0.36107569294562847, 0.3611707701336313, -0.8249337120104132]",0.010291849858007412,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"2,4","[-0.21381018293374726, -0.7516930223513005, 0.0384882523511552]",0.9006370876917564,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"2,5","[-0.24235837968610863, -0.705323074012365, -0.7053655814605686]",0.3509793969353604,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"3,4","[-0.12455679629003273, -1.778212805046417, 0.06900163866318086]",1.9643464807459896,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"3,5","[-0.23525944598120727, -0.8990939078654261, -0.8236295341851618]",0.3818907737570167,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"4,5","[-0.8058242431756723, -0.8058242434204526, 0.057880665223948635]",0.5546079494859943,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,2,3","[0.33065640075299724, 0.3312195598714114, -0.8962191121289591]",0.03005497683233983,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,2,4","[-0.9614605803995605, 0.7236289063319205, -0.6019065452015949]",2.009522107619884,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,2,5","[-0.2782140393201153, -0.8627700539344162, -0.864696228974272]",0.43252713993744457,
2,3,1,1,1,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",5,,"1,3,4","[-0.12115119409761733, -1.8146398027221573, 0.07025925934868167]",2.0411972030416323,
