k,m,run_id,run_index,is_best_run,base_seed,run_seed,T,sampler,sampler_params_json,d_max,points_json,subset,witness_json,delta,history_json
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,"[[0.263779003960347, -0.9002645073252418, 0.6496297126180367], [-0.7911275028585846, -0.5280222660916809, 0.05183815213089611], [-0.0153118908231611, -0.777429500499175, 0.8014475060882773], [0.04706522358882805, 0.8034726483891139, 0.33323033885200776]]",__POINTS__,,,"[{""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.263779003960347, -0.9002645073252418, 0.6496297126180367]}], ""d"": 1, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.7911275028585846, -0.5280222660916809, 0.05183815213089611]}], ""d"": 2, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.0153118908231611, -0.777429500499175, 0.8014475060882773]}], ""d"": 3, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.04706522358882805, 0.8034726483891139, 0.33323033885200776]}], ""d"": 4, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.27076107600942545, -0.7040746649886194, 0.6450159811715763]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.12792928450212662, -0.47121992676799035, 0.8460285573085246]}, {""attempt"": 3, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.5877967540071448, -0.4832349131763224, 0.7304909819220125]}, {""attempt"": 4, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.174330626506886, 0.18197082870739456, 0.9045923620452426]}, {""attempt"": 5, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.5245317379030358, -0.8332956217448668, 0.6307571366052723]}, {""attempt"": 6, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.10575357937705135, -0.7797414396441272, -0.765193374937584]}], ""d"": 5, ""success"": false}]"
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,1,"[1.3735529658419288, -0.31496169779205274]",2.5046142143547128,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,2,"[-0.6595749022240276, 0.05186988676412603]",0.0346121838141718,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,3,"[-0.3963706956611979, 0.8014475059878011]",0.29041162548914057,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,4,"[0.04709717072645362, 0.568351491010736]",0.1105639158600154,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2","[-0.20289434774057144, -0.30670914745284356]",1.4846759977026918,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,3","[-0.4166947829769248, 1.107201723637116]",0.9062563993369458,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,4","[0.2638163136405146, -0.12531741000147298]",1.2010860485071948,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"2,3","[-0.4799137911150614, 0.56351553525643]",0.3609821472937999,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"2,4","[-0.3789001798999922, 0.4262827316411897]",0.3323775060694916,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"3,4","[-0.3401936484704233, 0.7158569798610469]",0.3040490869892101,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2,3","[-0.6298613101401291, 1.049416365744875]",1.0315402689532993,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2,4","[0.21498606912430226, -0.13053360047967258]",1.2035212163438334,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,3,4","[-0.3030322168525168, 0.6762686900683507]",0.6786710048850807,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"2,3,4","[-0.45396716426763867, 0.5452946839677989]",0.3626606022959424,
3,2,1,1,0,42,42,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,"1,2,3,4","[-0.31824275168244687, 0.649629712612286]",0.6774986480830412,
3,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,"[[0.22714413217964913, 0.6307355244524023, -0.544567955794349], [-0.926478994472761, 0.4519384548057313, 0.007747938061514723], [-0.4435545833205039, 0.694260310569369, 0.5338995337556093], [0.0046253136238920845, -1.0226021993289847, 0.27692001381197334]]",__POINTS__,,,"[{""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.22714413217964913, 0.6307355244524023, -0.544567955794349]}], ""d"": 1, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.926478994472761, 0.4519384548057313, 0.007747938061514723]}], ""d"": 2, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [-0.4435545833205039, 0.694260310569369, 0.5338995337556093]}], ""d"": 3, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.5385051659508765, -0.3455527616270831, -0.7736863687333757]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.6321969551174619, 0.6007750596840528, -0.3688199350496906]}, {""attempt"": 3, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.7012406635092614, -0.3310476792856922, -0.7152279908279304]}, {""attempt"": 4, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.9076865016932875, 0.11548994450679825, 0.4288501011221158]}, {""attempt"": 5, ""is_shattered"": true, ""num_failed_subsets"": 0, ""point"": [0.0046253136238920845, -1.0226021993289847, 0.27692001381197334]}], ""d"": 4, ""success"": true}, {""attempts"": [{""attempt"": 1, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.3430571963917502, 0.5600070376237606, -0.3582835915543159]}, {""attempt"": 2, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-1.047959196209492, 0.015027930976686341, 0.1955074485249102]}, {""attempt"": 3, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.239607663835216, -0.5771969885617723, 0.5985678968980257]}, {""attempt"": 4, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.6965018124694307, 0.8067337301460975, 0.10222744842924063]}, {""attempt"": 5, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [0.6850958735197393, -0.6259353809344618, -0.5833145017789559]}, {""attempt"": 6, ""is_shattered"": false, ""num_failed_subsets"": 1, ""point"": [-0.7151545885755454, 0.3893806413168532, -0.1036656937443301]}], ""d"": 5, ""success"": false}]"
3,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,1,"[0.4289398283158422, -0.5445679557952003]",0.08144300595833222,
3,2,2,2,0,42,43,5,sphere-gaussian,"{""radial_std"": 0.15}",4,,2,"[-0.9256324123669708, 0.22923294991155044]",0.09865406908564432,
