k,m,run_id,d_max,points_json,subset,witness_json,delta
2,5,1,7,"[[-2.8860632183908046, 0.921408045977012], [-2.573850574712644, 1.5915229885057478], [-2.1321839080459775, 2.170258620689655], [-1.3630747126436784, 2.5357758620689665], [1.7818965517241363, -3.053591954022988], [2.38347701149425, -2.8099137931034477], [2.6804597701149397, -2.170258620689655]]",__POINTS__,,
2,5,1,7,,1,"[-2.8861413477168325, -2.8854719064699195, -2.8860751207960287, 0.9205582731236667, 0.9207510541088854]",1.5096478636836926e-06
2,5,1,7,,2,"[-2.5738505747140565, -2.57385057471443, -2.573850574714032, 1.5915229885049351, 1.5915229885054927]",7.838530436313458e-24
2,5,1,7,,3,"[-2.1314548860309084, -2.131854751538007, -2.1323693167050526, 2.1710312546177915, 2.17101807670495]",1.8479301021306898e-06
2,5,1,7,,4,"[-1.3635397735682204, -1.363506448331956, -1.3635127201895216, -1.3637472116987535, 2.536036043461233]",1.1144773142424561e-06
2,5,1,7,,5,"[1.7813792712520826, 1.7811736302427426, 1.7811285655835283, 1.7811285655830547, -3.053515139424969]",1.9757004625569464e-06
2,5,1,7,,6,"[2.3836626468971835, 2.382645505771814, 2.3828684786930734, 2.3825506567968944, -2.809352019593403]",2.269896941275231e-06
2,5,1,7,,7,"[2.6795969335388135, 2.679485923077726, 2.680665088827351, -2.1711491246815378, -2.1697427805225127]",2.7941092202544123e-06
2,5,1,7,,"1,2","[-2.72997315649622, -2.730802834641354, -2.730224777373643, -2.729734684750557, 1.256888500755583]",0.2097412598514894
2,5,1,7,,"1,3","[-2.509123547611871, -2.5091235475947196, -2.5091235478244402, -0.6053879321063158, 1.5458333025675095]",3.1472634058334354
2,5,1,7,,"1,4","[-2.124457657877716, -2.1241238535077973, -2.127674872570532, -0.22297801335845815, 1.7279622062556619]",3.6958965749029513
2,5,1,7,,"1,5","[-0.5523734054542417, -2.9693049501559146, -2.970117153277656, -2.970936761436116, -1.0663956702540955]",9.41866952545238
2,5,1,7,,"1,6","[1.0973969174854863, -4.618490306391591, -4.619765105074586, -0.028058271026028425, -0.028058271026030552]",23.67795307549199
2,5,1,7,,"1,7","[-0.09102997605963847, -2.499813086696466, -2.5003910001580403, -2.5011990840476983, -0.5839951664430945]",10.524502283755188
2,5,1,7,,"2,3","[-2.3538110333116338, -2.352351966747547, -2.3529142357133144, -2.353203253987491, 1.8810522309934796]",0.2788043213995774
2,5,1,7,,"2,4","[-1.9683915453108138, 0.11454447819171532, 2.064400031967233, 2.0638079946874024, 2.0636514377617567]",3.217617254107431
2,5,1,7,,"2,5","[-0.3963993311228143, 1.685968917053354, 1.6871551295080156, 1.6863936933841879, -0.7314555583119288]",10.16458923764209
2,5,1,7,,"2,6","[1.0973969178036944, -3.3796825061460205, -3.37968250593832, -3.3796825054662394, 0.8446755636493665]",15.98393453203085
2,5,1,7,,"2,7","[0.052627864017990154, -2.3722753910878596, -2.3721561078647886, -2.37223312987223, -0.2903667847855056]",10.561860914609499
