k,m,run_id,d_max,points_json,subset,witness_json,delta
2,7,1,9,"[[-2.8860632183908046, 0.921408045977012], [-2.573850574712644, 1.5915229885057478], [-2.1321839080459775, 2.170258620689655], [-1.3630747126436784, 2.5357758620689665], [1.7818965517241363, -3.053591954022988], [2.38347701149425, -2.8099137931034477], [2.6804597701149397, -2.170258620689655], [3.0688218390804582, -1.6981321839080454], [-0.708189655172415, 2.695689655172414]]",__POINTS__,,
2,7,1,9,,1,"[-2.8860632183924366, -2.886063218393383, -2.886063218392046, -2.886063218391008, -2.8860632183930544, -2.886063218391269, 0.9214080459775673]",1.6479160786685993e-23
2,7,1,9,,2,"[-2.5738904867268833, -2.5738106577550655, -2.5738106576598403, -2.573810657686595, -2.57381065767938, -2.573810657678606, 1.59148307165242]",1.1153166786619314e-08
2,7,1,9,,3,"[-2.1321496203249346, -2.132218162601739, -2.132149622878037, -2.1321496228188703, 2.170292912121588, 2.170292912102419, 2.1702929000194384]",8.226847687009751e-09
2,7,1,9,,4,"[-1.3631373600521504, -1.3630120671656076, -1.363137358773629, -1.3631373587769584, -1.3630747126439051, -1.3630747126437743, 2.535838515319626]",1.9623659141909096e-08
2,7,1,9,,5,"[1.7824259023682225, 1.7819295754464732, 1.7825383913760644, 1.7825383913760644, 1.7828235851573413, -3.0530638996809865, -3.052660727221731]",3.110634677971637e-06
2,7,1,9,,6,"[2.3841901520109197, 2.3842683381167387, -2.8094174003735963, -2.80893645431032, -2.809410170374695, -2.8094097988638658, -2.8092458288907656]",3.29018631464842e-06
2,7,1,9,,7,"[2.680418659358826, 2.6804186589168584, 2.6805007949574775, 2.680418659093835, 2.680496472010893, 2.6804597701097337, -2.1702246231724067]",9.25623898301849e-09
2,7,1,9,,8,"[3.068738713651916, 3.068738717071122, 3.0687387239099553, 3.0687387348532593, 3.0687387499026557, -1.6974286634315385, -1.697320506536486]",1.188298577286521e-06
2,7,1,9,,9,"[-0.7073331723223654, -0.7075202396522825, -0.7077037126843536, -0.7073126993966293, -0.7079110951967971, -0.7082338471265691, 2.69629757527888]",2.6359869900842394e-06
2,7,1,9,,"1,2","[-2.729124404413795, -2.7294117075240862, -2.729439139551331, -2.730636421148578, -2.7296508596417235, -2.7296508596456213, 1.2556138413005309]",0.2584812441281513
2,7,1,9,,"1,3","[-2.509123547310197, -2.5091235461315033, -2.5091235474108413, -2.5091235462294548, -2.509123547410341, -0.6055498017860701, 1.5454374903545363]",3.4314305960191405
2,7,1,9,,"1,4","[-2.1245688740353335, -2.1245688746721187, -2.124568874859145, -2.124568874963235, -0.22083323987047057, -0.22083324383941605, 1.7285918699626424]",5.580470589263047
2,7,1,9,,"1,5","[-0.5520833282377667, -2.9698275997170067, -2.9698275999761994, -2.9698275999762, -2.9698275999761994, -2.9698275999762003, -1.0660919451484274]",9.432700700431159
2,7,1,9,,"1,6","[0.6567139182278623, -3.3541948349160564, -3.3565077212863548, -3.355895249842507, -3.3557300755336117, -0.32382962203705706, -0.32378404261185173]",16.534184362245
2,7,1,9,,"1,7","[-0.10280172496680967, -2.5281608851214394, -2.528160885587631, -2.528160885587631, -2.528160885663336, -2.5281608858209776, -0.6244252495075916]",10.776615517447821
2,7,1,9,,"1,8","[0.12687205165329737, -2.202326526771832, -2.2042143556029954, -2.2026618572503254, -2.2016855520076564, -0.26693503666319335, -0.26698178811159545]",13.770032567103508
2,7,1,9,,"1,9","[-1.8009109697791816, 0.10068237256206698, 0.10615502254373017, 0.10749322926638685, 0.10360602777185646, 0.10612259226888805, 1.804940334099229]",5.29236067091045
2,7,1,9,,"2,3","[-2.353017243015207, -2.3530172437214243, -2.3530172437227126, -2.353017243722712, -2.353017243722713, -2.3532965806794803, 1.8811039930006077]",0.3763380231418262
2,7,1,9,,"2,4","[-1.9688738869145428, 0.11456563535632912, 2.0665257403135957, 2.062955204409226, 2.063706883964288, 2.063469243333796, 2.063185930833874]",3.663432593960237
2,7,1,9,,"2,5","[-0.39597702921607625, 1.686709765498651, 1.686709765800702, 1.686709764563743, 1.6867097647834297, 1.6867097643065632, -0.7310345004263982]",10.18270908165768
2,7,1,9,,"2,6","[0.6567139182278439, -2.8753045848216923, -2.8697440911734393, -2.869049243579793, -2.872023032744949, -2.86955891656291, 0.2857383226553589]",12.583540522182005
2,7,1,9,,"2,7","[0.052733591344518, -2.37248533197287, -2.3719807723342052, -2.3714922626679487, -2.371973390577687, -2.371530637110055, -0.2900784090320283]",10.643304219773622
2,7,1,9,,"2,8","[0.31380969346020954, -2.1425489735921355, -2.142548974625618, -2.142548974625619, -2.1425489744518806, 0.0793296358785189, -0.07915726721096529]",14.160567360562814
