k,m,run_id,d_max,points_json,subset,witness_json,delta
2,4,1,6,"[[-2.604310344827587, 1.2945402298850581], [-2.086494252873564, 1.9798850574712645], [-1.5839080459770116, 2.307327586206897], [3.556178160919538, -2.0331896551724133], [3.2820402298850553, -2.7109195402298845], [2.6043103448275833, -3.0459770114942524]]",__POINTS__,,
2,4,1,6,,1,"[-2.604310344827193, -2.6043103448274727, 1.2945402298876951, 1.2945402298876283]",1.3727721628788666e-23
2,4,1,6,,2,"[-2.086494252964615, -2.086494252973302, -2.0864942534843847, 1.979885057543828]",3.9660540674559337e-19
2,4,1,6,,3,"[-1.5839248275607092, -1.5842453898770492, -1.584700063763216, 2.3067797743078553]",1.041472578839947e-06
2,4,1,6,,4,"[3.5561431600324047, 3.5561431600324047, -2.0329428882287193, -2.0329623764529945]",1.1499966500105227e-07
2,4,1,6,,5,"[3.2816083938446927, 3.2823703278627647, -2.711342846127436, -2.7103435395148368]",8.064117472811099e-07
2,4,1,6,,6,"[2.6045701529844343, -3.045668181178846, -3.0455105523055033, -3.0451043572973315]",1.1419859642522277e-06
2,4,1,6,,"1,2","[-2.34497717961067, -2.3456480489380858, -2.345913276772661, 1.6374631925263725]",0.3185250769823307
2,4,1,6,,"1,3","[-2.093921994226829, -0.1446591759729057, 1.8003892670912527, 1.8013602314526411]",2.844540960682277
2,4,1,6,,"1,4","[0.3866649987769249, -2.2824997547985886, -2.2824997550178012, -0.5221416711178044]",12.453390747558407
2,4,1,6,,"1,5","[1.8855582828204276, -7.480914631980903, 0.49249489832207594, 0.49249489347823405]",45.22674310304293
2,4,1,6,,"1,6","[0.0, -2.8254543641112955, -2.824548898622344, -0.8757472985732179]",11.589990026200084
2,4,1,6,,"2,3","[-1.8353163789694829, 2.1434858079924592, 2.1434389179347195, 2.1440711035416204]",0.14356245290678898
2,4,1,6,,"2,4","[0.5955844207755401, -2.2790379156467724, -2.2769466989598137, -0.22825369748868163]",12.142767969093759
2,4,1,6,,"2,5","[1.8855582827231414, -4.015389269283691, -4.019876240437259, 1.5393406696367578]",23.42988259736027
2,4,1,6,,"2,6","[0.06376335121784277, 2.1347779123428783, 2.1353946413878173, -0.7541959854270017]",12.146981940268768
2,4,1,6,,"3,4","[0.9884182094609438, -1.8110313178097295, -1.8077328357314137, 0.1399451905771467]",11.416091330417812
2,4,1,6,,"3,5","[-1.286900212296557, 4.722512803952247, 4.724226937496466, -1.5237062379681792]",26.439555925520658
2,4,1,6,,"3,6","[0.5104317340261877, 2.4562510694194137, 2.4559862133835697, -0.36911106221769185]",11.593860544170898
2,4,1,6,,"4,5","[3.4191058502687337, 3.41908225022042, 3.419360402796623, -2.372143957418452]",0.17119322502645073
2,4,1,6,,"4,6","[2.5110917089777463, 2.5113315829410103, -2.0037343689166804, -2.0058221343774623]",2.1855266586285924
2,4,1,6,,"5,6","[2.9431752913046147, -2.8784482785129573, -2.8784482783298913, -2.878448278729678]",0.1990270810625593
2,4,1,6,,"1,2,3","[-2.0937394752423444, 1.8008476840758356, 1.800478889917575, 1.8011026501337406]",1.0296092643618784
2,4,1,6,,"1,2,4","[0.47613926219666447, -2.3173757479924393, -2.322365138576332, -0.36932914052640275]",12.419455625398307
2,4,1,6,,"1,2,5","[1.8855582827231496, -4.067675534046017, -4.068124155100614, 1.6398748490624357]",24.562364840029044
2,4,1,6,,"1,2,6","[0.2596679505051936, -2.5664310370574177, -2.5664007791187817, -0.5322679001672243]",12.27603915788037
2,4,1,6,,"1,3,4","[-0.05865347875464153, -1.6558591958704818, -1.6571049313893766, -1.1316611095914768]",14.163579496666765
2,4,1,6,,"1,3,5","[-3.546651406565266, 8.569350312502925, -8.446312691517226, 4.436497152491031]",158.56697735469848
2,4,1,6,,"1,3,6","[0.6090734020955119, 1.5362565788815372, 1.5369959932016752, -0.39395812662728247]",13.29407339547204
2,4,1,6,,"1,4,5","[0.5447752069809622, -2.6704506346959707, -0.32468562273106283, -0.7887500866518391]",16.88310525696156
2,4,1,6,,"1,4,6","[0.4453177173603777, -2.3649522989395253, -2.3649522991245377, -0.44186211113039003]",12.429908957436307
2,4,1,6,,"1,5,6","[0.3388649399442139, -2.657614949027115, -2.657614949224423, -0.7081896586194487]",12.678890524879616
2,4,1,6,,"2,3,4","[0.7350919739303248, -2.0634109416238275, -2.0694301117122476, -0.026475515673521806]",11.987655608931114
2,4,1,6,,"2,3,5","[2.1043693764834868, -4.279060790916383, -4.278007536562345, 1.972635629244286]",28.237429434813706
2,4,1,6,,"2,3,6","[0.25890805573755576, 2.292097636944442, 2.292097637278163, -0.5330459838141539]",12.010687797265163
2,4,1,6,,"2,4,5","[1.2333509867618497, -2.826194145381398, -2.8261941456858333, 0.47570093655043816]",14.378254147359486
2,4,1,6,,"2,4,6","[0.4789301262907224, -2.3893349883797144, -2.3893349889676303, -0.3952359175554002]",12.406026915783807
2,4,1,6,,"2,5,6","[0.16040070552266494, 2.228391396502886, 2.2287463107406884, -1.0894882408961135]",14.593276722714759
2,4,1,6,,"3,4,5","[0.8737619896979061, -2.1321371669772846, -2.132590139152428, -0.1846095776079747]",12.851500041140149
2,4,1,6,,"3,4,6","[0.9073282133248566, 2.8252823460903453, 2.824797545444666, -0.017661666264895213]",12.147885415769167
2,4,1,6,,"3,5,6","[0.5694588939280485, 2.5930978823649222, 2.5930978826831517, -0.5512269663944234]",12.971652634511083
2,4,1,6,,"4,5,6","[3.0802442479538823, 3.080244247408612, 3.0802442475316045, -2.539583318552711]",0.9359738117650978
2,4,1,6,,"1,2,3,4","[0.48051565485403447, -2.3100770042223595, -2.3100770042919714, -0.3578657137168514]",12.419743370179333
2,4,1,6,,"1,2,3,5","[1.8855582827231399, -4.084081156885579, -4.085224024929983, 1.6733803417313717]",24.946532925837904
2,4,1,6,,"1,2,3,6","[0.04513670893387102, 2.0145426958652393, 2.0150353273861903, -0.7821067591213678]",12.369549144175437
2,4,1,6,,"1,2,4,5","[0.6581982257722804, 2.699882524079951, -0.32121798166927756, -0.32152901436594405]",18.643315081050158
2,4,1,6,,"1,2,4,6","[0.4535801220468734, -2.3622252536774218, -2.3622252536991013, -0.425630206780071]",12.426890823291064
2,4,1,6,,"1,2,5,6","[0.37383789424291824, -2.6670372180503854, -2.6670372181276636, -0.5503680022071252]",13.129475091008693
2,4,1,6,,"1,3,4,5","[0.52528671136237, -2.6005297760820536, -0.4648922846452573, -0.6790443736498599]",16.785030987309433
2,4,1,6,,"1,3,4,6","[-0.01849663637559786, -1.6762485115621446, -1.6768724580767667, -1.131661109591469]",14.294325274640766
2,4,1,6,,"1,3,5,6","[0.6090734020954736, 1.7682802237205386, 1.7481530643168661, -0.8371388425814391]",15.300084958301413
2,4,1,6,,"1,4,5,6","[0.36942441391451647, -2.608340210530595, -2.608340209774197, -0.6659030033599772]",12.686468567505653
2,4,1,6,,"2,3,4,5","[0.8866750137019777, -2.1943244969800775, -2.1914630017665293, -0.08966891081748816]",13.145434915157292
2,4,1,6,,"2,3,4,6","[0.5112930386372043, -2.310447412601593, -2.3151762315702658, -0.36963431760374993]",12.61860522993821
2,4,1,6,,"2,3,5,6","[0.5114964973581225, 2.5619435842206624, 2.5619435845416927, -0.5025780279031368]",13.589763168003365
2,4,1,6,,"2,4,5,6","[0.5975723935185797, -2.3987621797766563, -2.400786639511137, -0.36546261040339356]",12.901160407950565
2,4,1,6,,"3,4,5,6","[0.8490660891084136, 2.7946839144177344, 2.794683914566158, -0.20179597726666657]",12.690096580212167
2,4,1,6,,"1,2,3,4,5","[0.8456191200492439, -2.2023519519342556, -2.202352089028725, 0.012292507196466794]",13.869313523987667
2,4,1,6,,"1,2,3,4,6","[0.5074007546681064, -2.317440917293717, -2.317391236715121, -0.3701645057891026]",12.618604466754336
2,4,1,6,,"1,2,3,5,6","[0.3015406454161136, -2.6811047842263895, -2.6811047844136535, -0.4929890375126888]",13.804371327989044
2,4,1,6,,"1,2,4,5,6","[0.5492880814732766, -2.4375302552970997, -2.437530255404864, -0.410671183898566]",12.908560209641571
2,4,1,6,,"1,3,4,5,6","[0.08438016195284902, -1.7279832432150497, -1.7280145247523078, -1.1316611095914646]",14.651353134230945
2,4,1,6,,"2,3,4,5,6","[0.683486474970726, -2.3010936297796807, -2.3001640670877492, -0.2935315139986977]",12.932923822137838
2,4,1,6,,"1,2,3,4,5,6","[0.5832524619131394, -2.355678129879144, -2.3589959546031376, -0.3650265919098795]",13.03671581128073
