k,m,run_id,d_max,points_json,subset,witness_json,delta
2,3,1,5,"[[-2.8860632183908046, 1.286925287356322], [-2.482471264367816, 2.1931034482758616], [-1.4544540229885063, 2.733764367816093], [3.464798850574711, -2.025574712643678], [2.688074712643676, -3.061206896551724]]",__POINTS__,,
2,3,1,5,,1,"[-2.8860632183906954, 1.2869252873569519, 1.2869252873538428]",6.5548354755671585e-24
2,3,1,5,,2,"[-2.4823965370964234, -2.482400343988241, 2.193060335856549]",1.2472546027810912e-08
2,3,1,5,,3,"[-1.454454022988803, -1.4544540229885532, 2.7337643678182406]",4.702449209132834e-24
2,3,1,5,,4,"[3.464798850574711, -2.025870926154949, -2.026040934691048]",3.0510544171346103e-07
2,3,1,5,,5,"[2.687550463183873, -3.0603150323993273, -3.0612439176877353]",1.0716297269452567e-06
2,3,1,5,,"1,2","[-2.6848774217937312, -2.6836570609648933, 1.7400143678160915]",0.28673369214820493
2,3,1,5,,"1,3","[-2.1702586171196403, -0.08376436649010488, 2.01034482656649]",2.9145021840736596
2,3,1,5,,"1,4","[0.2893674526369685, -2.4558153793843727, -0.369324468925761]",13.011636464141985
2,3,1,5,,"1,5","[-0.09899425287736328, -2.97363505747119, -0.8871408045947085]",12.501985618383301
2,3,1,5,,"2,3","[-1.9684035304875933, 2.4637189521417406, 2.4630364656301214]",0.41036221980730614
2,3,1,5,,"2,4","[1.057194724779682, -4.05946958533293, 0.6861892086635789]",17.286949544600734
2,3,1,5,,"2,5","[-0.755922524609363, 3.77465463170873, -1.1534133242368148]",16.681449205288068
2,3,1,5,,"3,4","[1.0051724137975215, -1.7400143678166047, 0.3540948275819308]",11.794134040471539
2,3,1,5,,"3,5","[0.4886523716823521, 2.612379638349359, -0.25455792396847504]",12.720466835107135
2,3,1,5,,"4,5","[3.0764367875046985, 3.076436787597892, -2.543390813510443]",0.569783700305229
2,3,1,5,,"1,2,3","[-2.169779130397609, -2.1708706152231603, 2.0104759370461753]",1.5480888970045683
2,3,1,5,,"1,2,4","[0.46084339989404677, -3.076934570729138, -0.04810372249066861]",14.039497417764602
2,3,1,5,,"1,2,5","[0.10280172413792936, -2.7718390804597695, -0.4340517241379314]",13.669314458560864
2,3,1,5,,"1,3,4","[0.3340003969817612, -2.3767678264689427, -0.2632181716657881]",13.031136306360999
2,3,1,5,,"1,3,5","[0.11897291015013128, 2.2716919595926943, -0.5161367935523069]",13.251040783031105
2,3,1,5,,"1,4,5","[0.256771247680617, -2.522809994920139, -0.44922246987647646]",13.023570420432744
2,3,1,5,,"2,3,4","[0.5132020448228232, -2.236806477793517, 0.11669733755538093]",13.345872099397145
2,3,1,5,,"2,3,5","[0.17822836817622556, 2.5543059823589225, -0.34911507204601383]",13.672664811882386
2,3,1,5,,"2,4,5","[1.0930536358087297, -4.095328496361975, 0.6861892086635767]",17.65647728812463
2,3,1,5,,"3,4,5","[0.6168103995617206, 2.7109196887226927, -0.16372126651623461]",12.686081188647417
2,3,1,5,,"1,2,3,4","[0.49116379310291597, -2.254022988505919, 0.08376436781532329]",13.344005426686834
2,3,1,5,,"1,2,3,5","[0.1028017241322962, 2.4405890804592283, -0.4340517241322061]",13.646829863710757
2,3,1,5,,"1,2,4,5","[0.23847652012452916, -2.710567907136242, -0.321906129110718]",13.780858100004622
2,3,1,5,,"1,3,4,5","[0.39230474115516156, -2.418437305254249, -0.2796779056531574]",13.42061603841029
2,3,1,5,,"2,3,4,5","[0.34265279297699913, 2.656008064420032, -0.17773127525610347]",13.81646391107039
2,3,1,5,,"1,2,3,4,5","[0.2340424378918206, -2.635011762768507, -0.3199740886388649]",13.718274004762081
2,3,2,5,"[[-2.8860632183908046, 1.286925287356322], [-2.482471264367816, 2.1931034482758616], [-1.4544540229885063, 2.733764367816093], [3.464798850574711, -2.025574712643678], [2.688074712643676, -3.061206896551724]]",__POINTS__,,
2,3,2,5,,1,"[-2.8860632183906954, 1.2869252873569519, 1.2869252873538428]",6.5548354755671585e-24
2,3,2,5,,2,"[-2.4823965370964234, -2.482400343988241, 2.193060335856549]",1.2472546027810912e-08
2,3,2,5,,3,"[-1.454454022988803, -1.4544540229885532, 2.7337643678182406]",4.702449209132834e-24
2,3,2,5,,4,"[3.464798850574711, -2.025870926154949, -2.026040934691048]",3.0510544171346103e-07
2,3,2,5,,5,"[2.687550463183873, -3.0603150323993273, -3.0612439176877353]",1.0716297269452567e-06
2,3,2,5,,"1,2","[-2.6848774217937312, -2.6836570609648933, 1.7400143678160915]",0.28673369214820493
2,3,2,5,,"1,3","[-2.1702586171196403, -0.08376436649010488, 2.01034482656649]",2.9145021840736596
2,3,2,5,,"1,4","[0.2893674526369685, -2.4558153793843727, -0.369324468925761]",13.011636464141985
2,3,2,5,,"1,5","[-0.09899425287736328, -2.97363505747119, -0.8871408045947085]",12.501985618383301
2,3,2,5,,"2,3","[-1.9684035304875933, 2.4637189521417406, 2.4630364656301214]",0.41036221980730614
2,3,2,5,,"2,4","[1.057194724779682, -4.05946958533293, 0.6861892086635789]",17.286949544600734
2,3,2,5,,"2,5","[-0.755922524609363, 3.77465463170873, -1.1534133242368148]",16.681449205288068
2,3,2,5,,"3,4","[1.0051724137975215, -1.7400143678166047, 0.3540948275819308]",11.794134040471539
2,3,2,5,,"3,5","[0.4886523716823521, 2.612379638349359, -0.25455792396847504]",12.720466835107135
2,3,2,5,,"4,5","[3.0764367875046985, 3.076436787597892, -2.543390813510443]",0.569783700305229
2,3,2,5,,"1,2,3","[-2.169779130397609, -2.1708706152231603, 2.0104759370461753]",1.5480888970045683
2,3,2,5,,"1,2,4","[0.46084339989404677, -3.076934570729138, -0.04810372249066861]",14.039497417764602
2,3,2,5,,"1,2,5","[0.10280172413792936, -2.7718390804597695, -0.4340517241379314]",13.669314458560864
2,3,2,5,,"1,3,4","[0.3340003969817612, -2.3767678264689427, -0.2632181716657881]",13.031136306360999
2,3,2,5,,"1,3,5","[0.11897291015013128, 2.2716919595926943, -0.5161367935523069]",13.251040783031105
2,3,2,5,,"1,4,5","[0.256771247680617, -2.522809994920139, -0.44922246987647646]",13.023570420432744
2,3,2,5,,"2,3,4","[0.5132020448228232, -2.236806477793517, 0.11669733755538093]",13.345872099397145
2,3,2,5,,"2,3,5","[0.17822836817622556, 2.5543059823589225, -0.34911507204601383]",13.672664811882386
2,3,2,5,,"2,4,5","[1.0930536358087297, -4.095328496361975, 0.6861892086635767]",17.65647728812463
2,3,2,5,,"3,4,5","[0.6168103995617206, 2.7109196887226927, -0.16372126651623461]",12.686081188647417
2,3,2,5,,"1,2,3,4","[0.49116379310291597, -2.254022988505919, 0.08376436781532329]",13.344005426686834
2,3,2,5,,"1,2,3,5","[0.1028017241322962, 2.4405890804592283, -0.4340517241322061]",13.646829863710757
2,3,2,5,,"1,2,4,5","[0.23847652012452916, -2.710567907136242, -0.321906129110718]",13.780858100004622
2,3,2,5,,"1,3,4,5","[0.39230474115516156, -2.418437305254249, -0.2796779056531574]",13.42061603841029
