row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{0,3,4,5}",,1.310171366;-0.4704146087;0.3196854293;-0.7568085194;0.3066583574;-0.3105039001;0.2719727159;0.8027560115,4.194605827,4.035265196,5.754703059,1
SUBSET_WITNESS,,"{1,2,3,4}",,0.4901566803;2.515372753;0.9495919347;0.4577075541;0.02802872285;1.376343489;2.468082428;-1.225735188,12.82116795,12.43992928,13.15770872,1
SUBSET_WITNESS,,"{1,2,3,5}",,-0.5838888288;0.2853797376;0.9504806399;-1.023759604;-0.8141894341;1.678495407;0.8950274587;-0.6629638076,5.454559326,5.307941297,8.186185664,1
SUBSET_WITNESS,,"{1,2,4,5}",,1.060003757;0.6500906348;1.705438256;0.5262252092;-0.07976927608;1.493732691;2.205089808;-1.436904192,11.53032875,11.49642583,13.05813423,1
SUBSET_WITNESS,,"{1,3,4,5}",,0.5583842397;1.637411952;0.7428138256;-0.35004884;-0.2485768199;1.886485338;2.683298588;-0.8064928651,10.7514658,10.44449326,11.26046117,1
SUBSET_WITNESS,,"{2,3,4,5}",,1.031004071;-0.2485817969;0.3696242571;-0.07852130383;0.7229645252;-0.1174950749;0.3816759586;0.7870746851,4.744669914,4.655760734,5.84163419,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,0.5842751265;3.392990828;1.298595667;-0.1811823249;-0.4226277471;-0.8688349128;1.737104535;-0.9228464961,13.99826622,13.99143969,15.43974658,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,-0.1208958551;-1.034107685;0.8217623234;-1.265844345;-1.081320286;1.499590397;1.263019443;-0.7516844869,6.582890511,5.991293083,17.79564895,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,1.36961174;0.651801765;1.18268764;0.4069033563;-0.4243110418;1.613689661;2.264606476;-1.35661757,11.50127316,11.45823202,12.47981897,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,0.6467641592;1.844319224;1.19856739;-0.6058493853;-0.575063169;1.762153983;2.200741768;-0.7291509509,10.21838665,9.77447178,10.74634497,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,0.8349562287;-0.3864812851;0.3987811208;-0.4729312956;0.5835345984;0.02013222873;0.5510705709;0.5286929011,4.743632317,4.231022069,22.94051757,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,0.248035863;0.825209558;1.143162251;-0.1351556182;-0.1662581414;1.706886411;2.104881287;-0.4050887823,9.845401764,9.777109707,10.28782798,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,0.3120326698;1.053886294;1.106801391;-0.5730532408;-0.5416796803;1.593144536;1.871987104;-0.3533153236,9.170272827,,,1
