row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{0,4}",,0.1307365596;-0.4623489082;-1.526313424;0.271171242;0.4742024243;0.2936481833;0.9864140153,3.485763788,2.317616626,4.660305761,1
SUBSET_WITNESS,,"{0,5}",,0.4241275191;1.417041302;0.9251049161;-0.6730749011;2.045174837;-1.984756351;1.983000636,10.2879858,9.765048064,11.0989871,1
SUBSET_WITNESS,,"{1,2}",,-0.04310232773;0.1781823784;1.471948862;0.7410854697;1.352054;-1.030386209;-0.556643486,2.207410812,2.003579105,4.6066288,1
SUBSET_WITNESS,,"{1,3}",,-0.5330377221;-0.2898537219;-1.47169745;1.49492538;-0.8025266528;-0.008331716992;0.3280566633,2.934154749,2.81523014,4.431822164,1
SUBSET_WITNESS,,"{1,4}",,0.3090740442;-2.069756031;-0.1072896048;-0.3370914161;-0.3833909333;1.770904183;-0.2731593549,4.337866783,4.221780803,5.993067237,1
SUBSET_WITNESS,,"{1,5}",,-1.04180038;2.104629278;1.213780642;0.6442418098;2.30641675;-0.9959017038;-0.3379081786,6.489804745,6.259098186,6.618912352,1
SUBSET_WITNESS,,"{2,3}",,-0.4306791723;-0.07883550972;-0.03709914535;1.749052644;-0.3632968068;1.002166748;0.5495553017,3.231706381,2.900367363,5.77016989,1
SUBSET_WITNESS,,"{2,4}",,0.2816870511;0.7837770581;-0.9821284413;0.5323996544;0.7860533595;2.425882101;0.5154082179,3.180028915,2.991163069,6.276028266,1
SUBSET_WITNESS,,"{2,5}",,0.004054391291;1.311940908;1.03153336;2.281303167;2.641432762;0.06018321216;0.8782914281,3.597625971,2.804556734,7.459244086,1
SUBSET_WITNESS,,"{3,4}",,-0.236832276;-1.265036345;-1.426548362;0.7347111106;-0.2384695113;1.463496923;1.265091896,3.107211351,2.663440771,5.863665316,1
SUBSET_WITNESS,,"{3,5}",,-0.7126966119;1.667893171;-0.1291633397;2.063545704;0.3533052504;0.05921286345;1.595962048,4.679397583,4.380061567,5.895522885,1
SUBSET_WITNESS,,"{4,5}",,-0.2972992361;-0.4933812916;-1.83387506;1.207216382;2.922059536;0.4501112998;1.124322772,3.577651024,3.059189498,7.225139273,1
SUBSET_WITNESS,,"{0,1,2}",,0.007098132279;-0.2826830745;0.02959661745;0.3789994419;0.4990770221;-0.4676781595;0.07109364867,3.118076801,2.732863857,5.152183853,1
SUBSET_WITNESS,,"{0,1,3}",,-0.5106172562;0.1024892628;-0.77833426;1.134076118;-1.365672588;-0.399433583;0.428078711,2.901553631,2.420852232,4.516805384,1
SUBSET_WITNESS,,"{0,1,4}",,0.3222960532;0.4296398163;-1.39257443;0.1860784739;0.2300973833;-0.1600940675;0.8097689152,4.036313057,3.935693197,5.348405343,1
SUBSET_WITNESS,,"{0,1,5}",,-0.9181019664;1.960635662;0.4396902323;-0.8882903457;2.639792204;-1.442499518;-0.7225701809,11.65635872,11.40205552,12.12767681,1
SUBSET_WITNESS,,"{0,2,3}",,-0.3210304081;0.2561320364;-0.3612887561;1.228989482;0.4100832641;-1.373842716;0.5266578794,3.537063599,3.016730036,3.873594418,1
SUBSET_WITNESS,,"{0,2,4}",,0.3427124321;-0.04902885482;-0.973451376;0.3019513786;1.177628398;0.3656516075;0.5168356895,4.160828114,3.874671315,4.654177231,1
SUBSET_WITNESS,,"{0,2,5}",,0.5289125443;0.7944348454;0.432518065;0.4156234562;1.686437249;-0.5062025189;1.657864094,7.922749519,7.396638132,8.179453108,1
SUBSET_WITNESS,,"{0,3,4}",,-0.2252574712;-0.138753593;-1.624763608;0.4938473105;0.02803934179;0.6365124583;0.8155978918,3.577371359,2.939331596,5.325763118,1
SUBSET_WITNESS,,"{0,3,5}",,-0.7289480567;0.9812569618;0.3754618764;1.869748473;-0.3451467156;-1.596756697;1.355680227,6.534727097,5.8327442,7.030676357,1
SUBSET_WITNESS,,"{0,4,5}",,0.4589549005;-0.7280634642;-2.401583195;0.7949097753;2.213269472;0.6491165161;0.8545314074,8.741473198,8.611464754,9.254525939,1
SUBSET_WITNESS,,"{1,2,3}",,-0.4414547384;-0.1928395182;-0.2428982109;1.474303126;-0.2639828026;0.143727392;0.4757753611,3.349900007,3.077444069,4.552853989,1
SUBSET_WITNESS,,"{1,2,4}",,0.12415573;-1.187967777;0.6078836322;1.201412678;1.090992928;1.96681416;-0.2120031565,3.574497223,3.066719511,6.166849405,1
SUBSET_WITNESS,,"{1,2,5}",,-0.3373897672;1.407576561;0.751245141;0.7526388764;2.412355661;-0.460776329;0.003768716007,4.839867115,4.321854325,5.312635358,1
SUBSET_WITNESS,,"{1,3,4}",,-0.2237626165;-1.092207551;-1.098055005;1.316040754;-0.4478201866;1.109021187;0.4186746478,4.81622076,4.604161872,5.105054334,1
SUBSET_WITNESS,,"{1,3,5}",,-1.154208422;2.071932554;0.9969499111;1.606281877;0.7617978454;-0.6727811694;0.5038877726,6.55773592,5.907049533,7.057766758,1
SUBSET_WITNESS,,"{1,4,5}",,-0.05592016876;-1.062847495;-1.108818412;1.162546277;2.551659822;-0.412088424;0.1267097741,4.93969202,4.753207803,5.209647556,1
SUBSET_WITNESS,,"{2,3,4}",,-0.2991653681;0.823540628;-0.8945947886;0.4133323133;1.014557004;1.405490041;0.4166114628,3.549700022,3.364508132,5.537914846,1
SUBSET_WITNESS,,"{2,3,5}",,-0.2159448564;1.284385681;0.2229394317;1.247285485;2.013523579;-0.02399218455;0.6561701298,4.809504509,4.498786286,5.384110898,1
SUBSET_WITNESS,,"{2,4,5}",,-0.1876318306;-0.3124724329;-0.5351140499;0.9335810542;2.264139652;0.4757834673;0.9605258107,4.463117123,3.703745563,4.981912325,1
SUBSET_WITNESS,,"{3,4,5}",,-0.6596224904;-0.5318795443;-1.150842071;1.773748875;0.3277392387;2.042298555;1.689441681,4.662551403,3.973796662,10.46655643,1
SUBSET_WITNESS,,"{0,1,2,3}",,-0.5137448311;0.1643409431;0.09476256371;1.226646662;-0.6778512001;-0.6776637435;0.6485170722,3.642170429,3.36724888,6.422742871,1
SUBSET_WITNESS,,"{0,1,2,4}",,0.221400246;-1.103202343;-0.9207128286;0.5819926262;0.9519659281;0.2845943272;0.08432774246,4.735340595,4.331092282,5.473684639,1
SUBSET_WITNESS,,"{0,1,2,5}",,0.3962398767;0.9553458095;0.4284712076;0.4497978091;2.037041187;-0.6625959873;0.6488802433,6.779200554,5.928168265,7.018262911,1
SUBSET_WITNESS,,"{0,1,3,4}",,0.2510835528;-1.240709066;-1.352257967;0.5276790857;-0.3355208635;-0.3745674789;1.022821665,4.22568655,4.152767459,7.740051948,1
SUBSET_WITNESS,,"{0,1,3,5}",,-0.4213942587;-1.361579299;-1.051791549;1.846877337;-0.2391753495;-1.297172785;1.060158253,5.885716438,5.716206481,7.452708953,1
SUBSET_WITNESS,,"{0,1,4,5}",,0.4279278815;-0.8446077704;-2.75368309;1.075276732;2.608910084;0.1653295755;-0.07104504853,10.85716248,10.73001695,11.37372551,1
SUBSET_WITNESS,,"{0,2,3,4}",,-0.1413321048;0.7481499314;-0.6617183685;0.5982994437;0.6700748205;0.4921238422;0.9386780858,4.494695187,4.231599835,6.640918006,1
SUBSET_WITNESS,,"{0,2,3,5}",,-0.03946775198;0.3240112364;0.4229538143;0.4987975061;1.637923717;-0.7034796476;1.777368665,7.365443707,6.826710247,7.577803999,1
SUBSET_WITNESS,,"{0,2,4,5}",,0.5374993682;-0.6470706463;-1.81901288;0.6832142472;2.209261417;0.7029494047;0.5368238091,7.67414856,7.557729708,8.330611025,1
SUBSET_WITNESS,,"{0,3,4,5}",,-0.561603725;-0.4416229427;-1.563459158;1.157826304;0.4992332757;0.641451776;1.786501169,7.525941372,7.264281104,9.610489279,1
SUBSET_WITNESS,,"{1,2,3,4}",,-0.0616777949;0.894862473;-1.377506018;0.4606761038;0.7585551739;1.422730088;0.01215427835,4.083907127,3.791849033,4.859265409,1
SUBSET_WITNESS,,"{1,2,3,5}",,-0.6170870066;1.225152373;0.6070068479;0.4242577851;2.159230471;-0.5935993791;0.3227192163,4.633394241,4.100762956,6.511609939,1
SUBSET_WITNESS,,"{1,2,4,5}",,0.3456617296;-0.8755080104;-0.8388683796;1.189475179;2.638325691;-0.2178020775;0.1410333961,5.271522522,5.120251755,7.098163413,1
SUBSET_WITNESS,,"{1,3,4,5}",,-0.1769477129;-0.7420021892;-1.321505427;1.646723628;-0.003406450618;-0.4436929524;1.278712749,5.659989357,5.146151541,5.967673552,1
SUBSET_WITNESS,,"{2,3,4,5}",,-0.7371597886;0.9812185168;0.2404097468;1.368198037;1.838883638;0.308861196;1.266947746,4.776397705,4.377080545,8.544962114,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,0.08821135014;-0.006726398133;-0.8336937428;0.2871379554;-0.1364374608;-0.04538332671;0.836561203,4.638312817,4.14165998,15.22967297,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,-0.4462824762;0.9267355204;0.6284923553;0.5458853841;1.734244704;-0.6149910092;0.6654314399,5.761763096,5.20106307,6.707039948,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,0.6009877324;-0.5334338546;-1.970266223;0.6238470078;2.352134705;0.4819587767;0.143524304,8.837789536,8.622164083,9.14922639,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,-0.366163969;-0.7998334169;-1.795320272;1.618687868;-0.4065960348;-0.01712094806;0.9918628335,5.889429092,5.594462418,8.638217896,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,-0.1175514311;-0.4594341218;-1.562588096;0.6816974282;1.672590852;0.6127842665;0.9835824966,6.650938511,6.51549942,8.609002765,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,-0.8367558718;-0.1928081512;-0.3904563189;1.995023847;0.6286449432;-0.004136239178;0.8885213137,6.178121567,5.901254933,8.436894946,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,-0.1883024275;-0.4662359357;-1.40800035;0.7751732469;1.650953174;-0.04613798484;0.7394397259,6.156227589,,,1
