row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-0.1138966084;0.3284232616;-1.076805949;-0.4313509464;0.1368952096;-1.677826524;-0.01131459419,,,,,
POINT,1,,0.04691962153;-0.7690248489;0.7720267773;-0.5184937716;-0.6958221793;-0.5751408339;-0.63931036,,,,,
POINT,2,,0.324375838;0.2240843177;0.3136832714;1.203089833;1.787468076;0.4165415168;-0.3117789924,,,,,
POINT,3,,-1.220881224;-0.2031498402;-0.9898423553;1.083437443;-1.014661074;0.6340088248;1.141091585,,,,,
POINT,4,,0.1703309566;-1.538715482;-1.700500369;0.5494621992;0.4188961983;2.320583105;1.081656337,,,,,
POINT,5,,-0.9125790596;1.820673466;0.8220925927;2.288178444;3.278783798;-0.06658727676;1.703479409,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,-0.5577919483;0.5291025043;-0.739133358;-1.704519629;-0.9212032557;-0.004613130819;-2.353127956,1,,,1
SUBSET_WITNESS,,{0},,-0.1138966084;0.3284232616;-1.076805949;-0.4313509464;0.1368952096;-1.677826524;-0.01131459419,1,0,2.823397143,1
SUBSET_WITNESS,,{1},,0.04691962153;-0.7690248489;0.7720267773;-0.5184937716;-0.6958221793;-0.5751408339;-0.63931036,1,0,2.823397143,1
SUBSET_WITNESS,,{2},,0.324375838;0.2240843177;0.3136832714;1.203089833;1.787468076;0.4165415168;-0.3117789924,1,0,2.983489152,1
SUBSET_WITNESS,,{3},,-1.220881224;-0.2031498402;-0.9898423553;1.083437443;-1.014661074;0.6340088248;1.141091585,1,0,4.907673358,1
SUBSET_WITNESS,,{4},,0.1703309566;-1.538715482;-1.700500369;0.5494621992;0.4188961983;2.320583105;1.081656337,1,0,6.447887891,1
SUBSET_WITNESS,,{5},,-0.9125790596;1.820673466;0.8220925927;2.288178444;3.278783798;-0.06658727676;1.703479409,1,0,6.588432602,1
SUBSET_WITNESS,,"{0,1}",,-0.5776326656;-0.5551502705;0.7596184015;-1.258851409;-0.232909292;-1.167703748;-0.4277943671,1.962183952,1.354772025,4.639760877,1
SUBSET_WITNESS,,"{0,2}",,0.3898715973;0.4077556729;0.07541655749;0.1464129835;1.171960711;-1.400256038;0.3021899164,3.018199444,3.09128778,4.087574019,1
SUBSET_WITNESS,,"{0,3}",,-0.7058216929;-0.1872043908;-1.213969231;0.6806517839;-1.882534623;-1.958022594;0.6972467899,2.633789778,2.322142467,6.139029633,1
