row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{2,5}",,-0.04145736247;1.061350465;0.1044473425;-1.071701765;-0.9801881909;-0.05818932876;1.344630241;2.04225111;-0.8724781275,2.71525836,1.678402767,4.286124633,1
SUBSET_WITNESS,,"{2,6}",,1.292672753;1.786665678;0.1267970204;0.3235062659;-0.6689237952;-0.2606975734;0.5968298912;0.9451805949;-0.5933588147,3.592814445,3.384550788,4.939165615,1
SUBSET_WITNESS,,"{3,4}",,0.1696809232;-0.4270506203;-0.5775932074;-0.9455364347;-0.2774943709;0.2884988189;-1.395371437;-1.474695086;-0.6459456086,2.887849569,2.38166032,4.194962352,1
SUBSET_WITNESS,,"{3,5}",,-0.6754145622;-0.01104417723;-0.2763397992;-0.8340666294;-0.575040102;-0.08310458809;0.6538020372;-0.999260664;-0.2555284798,2.199759483,2.110644661,4.598337781,1
SUBSET_WITNESS,,"{3,6}",,0.9036253095;0.3463155627;0.7323938012;0.2720343769;-0.5500376821;-0.1887436807;-0.1522779465;-0.7801269889;-0.396211952,3.624563217,2.805654341,4.34542704,1
SUBSET_WITNESS,,"{4,5}",,0.06445977837;0.4830195308;0.2208619565;-1.526159167;-0.7739382386;0.6862143874;0.1187357083;-1.467232466;-0.7364373207,2.822312832,2.134540845,4.235685321,1
SUBSET_WITNESS,,"{4,6}",,0.9584021568;0.7840390801;0.753205657;0.7831051946;-1.896269083;0.02499696054;-1.248277187;-1.64578712;-0.51850003,2.845373392,2.828920025,4.822239327,1
SUBSET_WITNESS,,"{5,6}",,1.091684937;-0.328125447;0.6703778505;0.7008369565;-0.9202553034;0.3984704316;0.6310279965;-0.7349423766;-0.6862296462,3.270190716,3.203819435,3.703605479,1
SUBSET_WITNESS,,"{0,1,2}",,0.5382937193;1.372869492;1.448346734;-0.7013015151;-0.7417097092;0.2599515021;0.02463395521;1.451566815;0.2588528693,5.155060768,4.50823707,5.698961012,1
SUBSET_WITNESS,,"{0,1,3}",,0.12723957;1.141223907;1.256163359;-0.4279739261;-0.8288303018;0.3791411221;0.5225655437;0.661213696;0.3938761353,4.994026184,4.239711993,5.314121666,1
SUBSET_WITNESS,,"{0,1,4}",,0.316498071;1.359620571;0.7923848629;-2.185154438;-0.5227568746;0.584253788;-1.570935845;0.06605061144;0.514600575,3.786982536,3.148681954,4.516769217,1
SUBSET_WITNESS,,"{0,1,5}",,-0.2802244425;0.9682045579;0.9340347052;-2.00820756;-1.373798251;0.4119865298;0.6015349627;-0.6719516516;0.2694045603,3.813121796,3.30668231,4.843206153,1
SUBSET_WITNESS,,"{0,1,6}",,0.9703962207;1.526551485;1.561470747;1.434215784;-2.051582098;-0.1016970053;-0.6296011209;0.1435132325;0.5320069194,2.972252369,2.558981365,8.371334016,1
SUBSET_WITNESS,,"{0,2,3}",,0.6947334409;0.7412599921;0.1557767242;1.138538003;-0.3601227105;-0.1253933161;0.9366703033;0.8535149097;-0.0843937695,3.912675619,3.94941461,4.833743472,1
SUBSET_WITNESS,,"{0,2,4}",,0.9161285162;0.9300144315;-0.3281527162;0.6947976351;-1.465099335;-0.08078840375;-0.1393541694;1.401139379;-0.9737995863,3.491849422,3.412257232,4.386408377,1
SUBSET_WITNESS,,"{0,2,5}",,0.7000527382;0.6992079616;-0.2142075449;1.046048403;-1.140310287;-0.8750479221;0.8963562846;1.504378557;-0.6171021461,3.311456919,2.937492651,4.004019386,1
SUBSET_WITNESS,,"{0,2,6}",,0.8423210382;1.432118773;0.1069888175;0.8831290007;-0.821370244;-0.1532403231;0.7260946035;1.181808949;-0.06264237314,3.525153399,3.435195005,5.903479917,1
SUBSET_WITNESS,,"{0,3,4}",,0.09831634909;0.4691627026;0.3417850435;0.3777137995;-1.842105985;-0.3979887962;-1.091238141;-1.42619431;0.2173589468,3.692504644,3.390810719,4.160192678,1
SUBSET_WITNESS,,"{0,3,5}",,0.17115134;0.130921647;-0.2459125221;0.511351347;-0.7923561931;0.3100748658;0.2918363214;0.7754556537;-0.3869846165,3.118650675,3.126057269,4.250909505,1
SUBSET_WITNESS,,"{0,3,6}",,0.6137020588;0.5376642346;0.5144112706;0.8380330801;-1.172455072;-0.1250245273;-0.2108920366;-0.1122782081;-0.107562393,3.335337877,3.559345245,5.437442435,1
SUBSET_WITNESS,,"{0,4,5}",,0.6392296553;-0.006246305071;0.509257257;-2.378919601;-0.616173327;0.6628652811;1.288195252;-0.79316926;-0.2505656779,3.160323858,2.57534437,5.077275023,1
SUBSET_WITNESS,,"{0,4,6}",,1.284234881;0.8182002902;0.3535041809;0.5186370611;-1.773575544;0.03918744624;-0.8916143179;-1.325982213;-0.05719615519,3.188775778,2.585477801,6.57013039,1
SUBSET_WITNESS,,"{0,5,6}",,0.6442187428;-0.05870959535;0.6963909268;0.7538276315;-1.361570954;-0.6922364235;0.7475399971;0.04823591933;0.1397705227,3.397916794,3.19321122,5.428255385,1
SUBSET_WITNESS,,"{1,2,3}",,-0.3528392613;1.382566929;1.042074442;-0.3622445762;0.1779308915;0.4417681396;-0.1852315366;1.101555467;0.3151425123,4.705857754,4.805611272,5.531676908,1
SUBSET_WITNESS,,"{1,2,4}",,-0.3175381124;1.803777695;1.83619535;-0.9024140835;-0.118975386;0.8144226074;-1.718377948;0.5056394935;-0.3099529743,6.600913525,6.552119531,6.773167755,1
SUBSET_WITNESS,,"{1,2,5}",,-0.4234597385;1.365758181;1.028986096;-1.136508703;0.08204904944;-0.5644538999;0.4087437391;1.610423207;0.1875647604,4.627278328,4.38126111,5.238217343,1
SUBSET_WITNESS,,"{1,2,6}",,0.9062811136;1.741584778;1.303202748;-0.5241110325;0.05892967805;0.3416839242;-0.9142968059;1.134342194;0.4993555248,4.485414028,4.205066767,5.423358459,1
SUBSET_WITNESS,,"{1,3,4}",,-0.3127800822;1.670336008;0.4693189263;-1.056419611;-0.3442400992;0.2622644007;-1.540672064;-0.9231847525;0.4582372308,4.466342926,4.350374597,5.073064745,1
SUBSET_WITNESS,,"{1,3,5}",,-0.7803221345;-0.3947351575;1.177525282;-0.8999000192;0.1663814634;0.4179605544;0.707601428;-0.9494646192;0.2999518812,3.871881247,3.734681329,6.172638053,1
SUBSET_WITNESS,,"{1,3,6}",,0.0787146762;1.652629614;0.3275874555;-0.8476848602;-0.2316893488;0.1635376513;-0.8073909879;-1.047041416;0.4934753478,4.380802631,4.023116538,4.57680809,1
SUBSET_WITNESS,,"{1,4,5}",,-0.1722476631;1.02347374;0.6611083746;-1.51460731;-0.5621746182;0.8226619363;-1.067015052;-0.9304043651;0.2169321626,3.945627689,3.576574349,4.398223784,1
SUBSET_WITNESS,,"{1,4,6}",,0.5976642966;1.29114902;0.5127753615;-1.87744844;-0.2328558266;0.8149597049;-1.441653013;-0.6443198919;0.4326778352,3.613287687,3.514395406,3.85215566,1
SUBSET_WITNESS,,"{1,5,6}",,0.04389360547;1.407010198;0.6534978151;-1.146605968;-1.514128923;0.603307426;-0.8077091575;-0.9697290659;0.4694395363,4.091762543,3.805146405,4.471077128,1
SUBSET_WITNESS,,"{2,3,4}",,0.629642427;0.6869343519;0.16778934;-0.8444545269;-0.04378532991;0.2088599503;-0.4007910788;0.704017818;-1.23948276,3.579302549,3.446366867,4.42643822,1
SUBSET_WITNESS,,"{2,3,5}",,0.1432192177;0.6273459196;0.5169573426;-0.4672271907;-0.2992906272;-0.6736189127;0.2372400314;1.063839674;-0.8091653585,3.360834599,2.748653508,3.798446825,1
SUBSET_WITNESS,,"{2,3,6}",,0.6321597695;1.568854094;0.284986347;0.4110791087;-0.5489801168;-0.01460110582;0.1132122949;0.6710995436;-0.55857265,4.189277649,3.619124929,4.662949078,1
SUBSET_WITNESS,,"{2,4,5}",,0.133332327;0.5339276791;0.2458067685;-1.105595946;-0.6548007727;1.361808658;1.874802947;-1.684340239;-0.8118184805,2.819044352,2.786678177,7.653250979,1
SUBSET_WITNESS,,"{2,4,6}",,1.063539386;1.206659794;0.1240933686;0.3721857369;-1.022686362;1.033202052;-1.082940936;-0.830935061;-0.3317374885,3.78777647,2.805884967,4.812424291,1
SUBSET_WITNESS,,"{2,5,6}",,0.488129884;1.482680678;0.4323907793;-0.1654269397;-0.8720257282;-1.685227036;0.3962620199;0.952709794;-0.3466775417,4.923012733,4.381761542,5.4114366,1
SUBSET_WITNESS,,"{3,4,5}",,0.2478007823;-0.1237907112;-0.3651302457;-0.9558579922;0.07634480298;0.4924241304;0.7125179768;-1.406596065;-0.6923394203,3.017132044,2.26921244,4.21936104,1
SUBSET_WITNESS,,"{3,4,6}",,0.6849552989;0.2759809792;0.8827926517;-0.1338965893;-1.322525263;-0.2481104285;-0.7105585933;-1.052339911;-0.7482219934,3.457915783,3.47816002,4.719070681,1
SUBSET_WITNESS,,"{3,5,6}",,0.1069659889;1.389581442;0.7467157841;-0.264816165;-1.005881786;0.001073227031;0.1016550735;-0.484122932;-0.3553589582,4.335433483,4.199810378,4.959394143,1
SUBSET_WITNESS,,"{4,5,6}",,0.8179481626;0.1854335219;0.2904923856;-1.863949537;-1.847275734;0.7155477405;-1.073771358;-0.5643600225;-0.8821738958,3.252242088,3.350380905,5.043964352,1
SUBSET_WITNESS,,"{0,1,2,3}",,0.3716130257;1.399218202;1.53729248;-0.5298733711;-0.3303640485;-0.04821065813;0.6260123849;1.260600686;0.1495579034,5.276208401,4.996523222,6.090888623,1
SUBSET_WITNESS,,"{0,1,2,4}",,0.06206754968;1.431608915;1.551336884;-0.8765959144;-0.350305289;0.613260448;-1.40681088;0.6816863418;0.1012313366,5.444946289,5.387253248,6.745310196,1
SUBSET_WITNESS,,"{0,1,2,5}",,0.1170737296;1.312239528;0.7315728068;-0.8456994891;0.2682470679;-0.9170795083;0.8218892813;1.641294837;0.0226789061,4.835403442,4.741093627,5.925407284,1
SUBSET_WITNESS,,"{0,1,2,6}",,0.4776080847;1.430042744;1.24956882;1.158925772;-0.6913502216;0.1284983605;-0.8936848044;1.070376873;0.1641695052,4.484589577,4.103130939,6.152085513,1
SUBSET_WITNESS,,"{0,1,3,4}",,-0.2986619771;1.275640965;0.3475652039;-1.345273972;-0.4633963704;0.04282345623;-1.445380092;-0.5799595118;0.2622431219,4.096035004,4.068324224,4.457622458,1
SUBSET_WITNESS,,"{0,1,3,5}",,0.0365572013;0.3601724505;1.093690872;-1.037590384;0.252856046;0.4874052703;0.3315708935;-0.315800339;0.2733429074,4.159134865,3.62067268,4.7006933,1
SUBSET_WITNESS,,"{0,1,3,6}",,0.2746890783;1.39164412;1.198603272;0.5284101367;-0.9971041083;0.13643457;-0.7613655329;-1.004854083;0.4305453002,3.993451834,3.447188984,4.537499636,1
SUBSET_WITNESS,,"{0,1,4,5}",,-0.08404184133;0.215202406;1.045014381;-1.830750108;-0.6993744969;0.4840084612;-1.153627634;-1.245352983;0.3363408744,4.243628502,3.439427253,5.481824527,1
SUBSET_WITNESS,,"{0,1,4,6}",,0.300058037;1.15606761;0.9826651812;0.8583155274;-1.469694495;0.216225341;-1.525806427;-0.8558549285;0.3878351748,4.034213543,3.344241723,5.182111746,1
SUBSET_WITNESS,,"{0,1,5,6}",,0.1456881762;1.083834052;0.963870883;1.109999418;-1.358647346;0.3711844683;0.495123446;-0.3590381444;0.396838963,4.235496044,4.043956188,5.160064566,1
SUBSET_WITNESS,,"{0,2,3,4}",,0.7604833841;0.6804511547;0.06843497604;1.450036287;-0.6100450754;0.3215899765;0.3221918344;0.4839761257;-1.050524473,4.601603031,4.453068312,5.220225778,1
SUBSET_WITNESS,,"{0,2,3,5}",,0.4750267863;0.6286623478;-0.03113366105;0.6954576373;-1.034832358;0.1676001847;0.7085720897;0.9518954754;-0.1128724739,3.743166924,3.793357122,4.538534291,1
SUBSET_WITNESS,,"{0,2,3,6}",,0.6824998856;1.31131959;0.08528330177;0.5350660086;-0.4744048417;-0.4392129481;0.7076944113;0.6713290811;-0.4300732315,4.226197243,4.3810563,4.876089165,1
SUBSET_WITNESS,,"{0,2,4,5}",,0.4408499599;0.8081951141;0.4615515471;-1.671446323;-0.6026227474;-0.3750511706;0.8913848996;1.717833161;-0.8133840561,3.670783281,3.248110653,6.136565753,1
SUBSET_WITNESS,,"{0,2,4,6}",,1.277292371;1.163487911;0.8050808907;0.2086207122;-1.223634005;-0.4073653519;0.6167330742;1.144765735;-0.7765218019,3.803359032,3.577704084,5.56794483,1
SUBSET_WITNESS,,"{0,2,5,6}",,0.4220396876;1.180055499;-0.006782004144;0.3710490167;-1.142094135;-0.6389112473;-0.1881295145;0.9511951804;-0.1537200063,3.848294497,3.629567722,4.881678617,1
SUBSET_WITNESS,,"{0,3,4,5}",,0.329567939;0.2499690205;0.1755888015;0.4745310843;-1.24157083;0.7822474241;0.639983952;-0.9954910278;-0.2781125903,3.933330059,3.308415139,4.424375027,1
SUBSET_WITNESS,,"{0,3,4,6}",,0.3010803163;0.1838351488;0.1552725285;0.4213883281;-1.328974605;-0.1379182488;-0.6532488465;-0.9196363091;-0.01767667383,3.623027563,3.635796184,3.958097769,1
SUBSET_WITNESS,,"{0,3,5,6}",,0.7101835012;0.1913447529;0.3795579672;0.3680129051;-0.7945802808;0.1814053953;0.2171538472;-0.5475322604;-0.3694299459,3.823922396,3.380394299,4.470245298,1
SUBSET_WITNESS,,"{0,4,5,6}",,0.9168575406;-0.186300993;0.5299386978;0.8819071054;-1.553990364;-0.8958322406;0.6430076957;-0.9411128163;-0.527251482,3.537840843,3.097388448,4.535048323,1
SUBSET_WITNESS,,"{1,2,3,4}",,-0.1420504749;1.364699125;2.131670952;-0.6453588009;-0.3921513855;0.7448419333;-1.582187057;-0.2469447106;-0.2382436842,5.756111145,5.652229011,6.482580163,1
SUBSET_WITNESS,,"{1,2,3,5}",,-0.3737062216;1.267860651;1.192026019;-0.6321875453;0.1873372495;0.3561083972;-0.1455762833;1.260509372;0.2722176313,4.806968689,4.528841647,5.397322528,1
SUBSET_WITNESS,,"{1,2,3,6}",,0.2675600946;1.563148618;1.026281953;-0.2837076783;0.2212110609;-0.3210794926;-0.7756102681;0.962289691;0.2299920619,5.220090866,5.031163945,5.653326471,1
SUBSET_WITNESS,,"{1,2,4,5}",,-0.3228134513;1.768197298;0.5016753078;-1.067450285;-0.1733237356;0.7427091599;1.049553156;-1.032983899;0.2788224816,4.892296791,4.738952007,5.086318303,1
SUBSET_WITNESS,,"{1,2,4,6}",,0.6240099072;1.525181651;1.437437773;-0.931045115;-0.2402694821;1.021358609;-0.8018611073;-1.378476143;0.07743825018,4.787035942,4.751164555,5.586248497,1
