row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{1,2,3}",,2.989631176;-2.143823624;-3.322739363;1.835849404;0.7498175502,20.73245239,20.30204701,20.96232626,1
SUBSET_WITNESS,,"{1,2,4}",,1.086443305;-0.6621728539;0.4264626503;1.382132053;-1.112986207,4.990961075,4.846668288,5.535472907,1
SUBSET_WITNESS,,"{1,2,5}",,3.026974678;-3.63083005;-0.8856940269;1.159650326;-0.320512414,19.13071823,18.9020323,19.28637932,1
SUBSET_WITNESS,,"{1,3,4}",,0.5199640393;-2.607948542;3.671262741;-1.378118634;1.655866265,20.1930542,19.69400802,20.35284463,1
SUBSET_WITNESS,,"{1,3,5}",,0.7203453183;-3.819185972;3.681495428;-0.473780185;0.9065583348,23.65909195,23.59184032,24.16899577,1
SUBSET_WITNESS,,"{1,4,5}",,-0.2486585975;-1.480165362;4.42432642;-0.8005680442;-1.177913785,22.21180534,22.07557273,22.74093048,1
SUBSET_WITNESS,,"{2,3,4}",,-0.5437815785;-1.285013795;1.376913667;-1.017092347;1.135523796,5.185874462,4.827406107,5.630547844,1
SUBSET_WITNESS,,"{2,3,5}",,-0.1469525844;-1.070798635;-2.48112154;-0.3860954642;1.04449892,2.478854895,2.158694431,3.286976779,1
SUBSET_WITNESS,,"{2,4,5}",,-0.8054395318;-1.650851727;0.4460176528;-0.7761141658;-0.1058402061,3.481491804,2.584448012,5.404999029,1
SUBSET_WITNESS,,"{3,4,5}",,-0.9784725904;-1.727847457;0.9762240052;-1.302183032;0.8404438496,4.440865517,4.289560601,5.496783905,1
SUBSET_WITNESS,,"{0,1,2,3}",,1.163614988;-0.1724323034;-1.25780797;0.2657267749;1.523633122,6.288334846,5.564569847,7.318105459,1
SUBSET_WITNESS,,"{0,1,2,4}",,1.072622418;-0.3529832363;-0.2443679124;-0.1365937889;0.00838552881,6.012559414,5.885775924,8.881832376,1
SUBSET_WITNESS,,"{0,1,2,5}",,1.265241623;-1.284799695;-0.6766341925;-0.716604054;0.8021348715,6.71309042,5.970926078,6.931390329,1
