row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,0.02166909166;-0.4861127138,,,,,
POINT,1,,1.526909232;0.3717901111,,,,,
POINT,2,,1.0034343;-1.647309661,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,0.1573622674;1.917740583,-0.1997600943,,,1
SUBSET_WITNESS,,{0},,0.02166909166;-0.4861127138,1,0,2.312241256,1
SUBSET_WITNESS,,{1},,1.526909232;0.3717901111,1,0,3.001745045,1
SUBSET_WITNESS,,{2},,1.0034343;-1.647309661,1,0,2.312241256,1
SUBSET_WITNESS,,"{0,1}",,0.7742891908;-0.05716130137,1,0.7504363209,2.581079088,1
SUBSET_WITNESS,,"{0,2}",,0.5125517249;-1.066711187,1,0.5780603439,3.098207355,1
SUBSET_WITNESS,,"{1,2}",,1.901961803;-0.6805332899,1.943289876,1.742008209,3.573299889,1
SUBSET_WITNESS,,"{0,1,2}",,1.156494856;-0.6519850492,2.260588884,,,1
