row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{3,4,5}",,0.3216165006;-1.276717901;0.5974843502,2.11167407,1.92853891,2.355882376,1
SUBSET_WITNESS,,"{0,1,2,3}",,-0.5441272855;3.443255663;0.03277183697,9.441804886,9.267011836,9.649800748,1
SUBSET_WITNESS,,"{0,1,2,4}",,0.7410871387;-2.835229397;0.901997149,8.289427757,8.095097067,8.449276745,1
SUBSET_WITNESS,,"{0,1,2,5}",,-0.9231881499;3.567250013;0.3501610756,10.72082138,10.68807594,10.90222808,1
SUBSET_WITNESS,,"{0,1,3,4}",,-0.06858352572;-1.840938568;1.759741545,6.038729668,5.922552932,6.400944797,1
SUBSET_WITNESS,,"{0,1,3,5}",,-0.4637869;0.5448583364;1.374956608,3.283517599,3.120712191,4.405886758,1
SUBSET_WITNESS,,"{0,1,4,5}",,0.4174311757;-2.332069397;1.06313014,6.006253242,5.903506361,6.163256407,1
SUBSET_WITNESS,,"{0,2,3,4}",,1.087267399;-0.5552967787;-0.1932445914,2.298593521,2.16514688,2.476892665,1
SUBSET_WITNESS,,"{0,2,3,5}",,0.8571724296;0.5112509727;-0.09201749414,2.265702724,1.424498588,2.793133818,1
SUBSET_WITNESS,,"{0,2,4,5}",,0.8877126575;-1.906807065;0.53961128,4.291595459,4.1887134,4.552880247,1
SUBSET_WITNESS,,"{0,3,4,5}",,0.6958047152;-0.8085592985;0.6409630179,2.284668922,1.331635219,2.462263818,1
SUBSET_WITNESS,,"{1,2,3,4}",,-0.4617032707;2.931237221;-0.634565711,7.645008564,7.529824838,7.756056048,1
SUBSET_WITNESS,,"{1,2,3,5}",,-0.8172956705;0.3324284256;0.130928278,2.404068232,1.303835496,4.575458273,1
SUBSET_WITNESS,,"{1,2,4,5}",,-0.7331329584;2.369588137;-1.40556705,8.131990433,7.883716979,8.248706937,1
SUBSET_WITNESS,,"{1,3,4,5}",,-0.3263763487;-1.492243171;0.6973722577,3.339160442,2.617755678,3.71786125,1
SUBSET_WITNESS,,"{2,3,4,5}",,0.06875035167;-1.329071641;-0.0004660897539,2.156121731,1.962405365,3.699868858,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,0.6427788734;-3.006922483;1.535628319,11.10056114,10.92281067,11.2334069,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,-0.1635782272;0.660803318;0.7258559465,3.363284588,2.661388712,4.169656798,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,0.4730466902;-2.486333609;0.8462955952,6.714187145,6.543280177,6.890615158,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,-0.1917881221;-1.001308322;1.217679381,4.146472931,3.991890579,4.582432027,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,0.7214269638;-1.023726583;0.3479400277,2.543742657,1.908425341,6.753140422,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,-0.6614647508;0.4487716854;-0.5782021284,5.369086266,5.016787816,5.689457834,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,-0.3563650846;-0.8995480537;0.6329402328,3.931693792,,,1
