row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{0,3,4}",,0.1960918307;0.2584792078;1.115022302;0.2894190848;-2.116988659;0.1740383804,4.9811759,4.857035853,5.308214944,1
SUBSET_WITNESS,,"{0,3,5}",,1.338712811;1.386007309;-0.295401454;-0.1048615053;-1.895040035;0.5085389018,4.729360104,4.642283105,5.909523058,1
SUBSET_WITNESS,,"{0,4,5}",,0.6046494246;1.347601414;1.352973223;-0.427436471;-1.376397491;0.9445328712,3.635236025,2.868778492,5.726725398,1
SUBSET_WITNESS,,"{1,2,3}",,-0.3423708081;0.5650838017;0.04555440322;0.2947930098;1.212394953;-1.200649738,3.959724188,3.45678542,4.092804772,1
SUBSET_WITNESS,,"{1,2,4}",,-1.033161759;0.5639829636;-0.6576333642;0.1283246577;1.601311803;-0.2649317384,3.015076399,2.487600387,7.706894249,1
SUBSET_WITNESS,,"{1,2,5}",,-0.3859606087;-1.34349823;0.1905271709;0.3669044077;0.7248727083;-1.184782028,4.961043835,4.421327087,5.243023891,1
SUBSET_WITNESS,,"{1,3,4}",,-0.1530693173;1.114367008;0.4480624497;0.1656540781;-0.1838300526;-0.8370696902,4.306996822,3.227248849,4.726084623,1
SUBSET_WITNESS,,"{1,3,5}",,-0.1082879826;-1.022854805;-0.08568099141;0.1541754156;0.6798567176;-1.183647156,4.259110928,4.184806115,4.552108706,1
SUBSET_WITNESS,,"{1,4,5}",,-0.4280506968;0.1748899072;-0.2267115712;0.1037233099;-0.4161477685;-0.150654152,4.087026596,3.756847529,5.934535383,1
SUBSET_WITNESS,,"{2,3,4}",,-0.6181395054;0.6292780638;-0.4490371943;-0.4927113354;0.4684105814;-1.157947063,4.337774754,3.750967334,4.72103468,1
SUBSET_WITNESS,,"{2,3,5}",,0.3260127008;1.254515529;-1.135913253;0.03248667344;1.277805686;-1.477955818,5.090852261,5.058413525,6.603419423,1
SUBSET_WITNESS,,"{2,4,5}",,0.293394804;-0.2588936985;-0.5682359338;-0.4177801907;1.416842222;-0.7897726893,4.48316288,4.209723098,4.80256708,1
SUBSET_WITNESS,,"{3,4,5}",,-0.04052101448;1.00955677;-0.2025534213;-0.7817124724;-1.09764266;-0.4335194826,2.843425989,2.168300037,6.031752123,1
SUBSET_WITNESS,,"{0,1,2,3}",,-0.1376727521;0.2434222847;3.905896187;0.7474934459;-1.938423157;0.1464784145,13.47807312,13.39921665,13.73396002,1
SUBSET_WITNESS,,"{0,1,2,4}",,-1.32634306;0.9779778719;-0.2178671211;-0.3187671304;-1.282568693;0.8565211296,8.181873322,7.949716873,8.445460688,1
SUBSET_WITNESS,,"{0,1,2,5}",,-0.1247059628;4.565955162;-0.6748962402;0.3862754703;-1.3206563;0.7035966516,17.0449028,16.88151744,17.92613684,1
