row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{0,4,5}",,0.3324506879;0.9492176175;0.01426634938;-0.2301149517;0.9977034926;-1.011003137,2.495845795,2.027773991,3.507515656,1
SUBSET_WITNESS,,"{1,2,3}",,0.3973327875;0.8313707113;-0.3812596202;-1.805058837;-0.5322625637;1.140582323,3.482113838,3.36578631,3.688568192,1
SUBSET_WITNESS,,"{1,2,4}",,0.1528741121;-0.29290995;-0.9706057906;-0.4591748714;0.6674528718;0.02739752829,3.357476234,3.046268566,3.738288648,1
SUBSET_WITNESS,,"{1,2,5}",,0.741155982;-0.05163379386;0.2203925401;-0.2710829079;-1.333062172;-0.03158282489,2.384705544,1.816273603,3.054886383,1
SUBSET_WITNESS,,"{1,3,4}",,-0.321536839;0.390345186;0.9408020973;-0.808167398;1.137302876;0.3626725376,5.011878014,3.990461515,5.217511499,1
SUBSET_WITNESS,,"{1,3,5}",,1.364769459;1.657560945;0.5365619659;-0.869866848;-0.8854059577;0.2791099548,1.847025275,1.142239831,4.262789518,1
SUBSET_WITNESS,,"{1,4,5}",,-0.2263248414;0.3613677621;0.4814756215;0.3419080377;-0.2158038318;-0.2628755271,3.367478609,3.27423712,3.914148368,1
SUBSET_WITNESS,,"{2,3,4}",,-0.03991198912;1.359927773;-0.9314612746;-1.643285394;0.6720147133;-0.6942305565,3.39961791,3.206616715,4.282012664,1
SUBSET_WITNESS,,"{2,3,5}",,0.8051581979;0.860214889;1.302482247;-0.4634354413;-2.246773958;-0.34261325,2.502020359,2.168320794,3.081635288,1
SUBSET_WITNESS,,"{2,4,5}",,0.1014016792;0.2221632749;0.2385087758;-0.1604100615;-1.029331923;-0.8573876023,2.769682169,2.593849032,3.084697397,1
SUBSET_WITNESS,,"{3,4,5}",,-0.05311261863;0.9957776666;1.30067575;-1.036098242;-1.096454859;-0.5938964486,2.805915833,2.538521406,3.254922704,1
SUBSET_WITNESS,,"{0,1,2,3}",,-0.3042442203;2.391502142;-0.9267524481;0.05770509318;-0.9211188555;-0.1890563667,6.673054218,6.517018735,6.977884594,1
SUBSET_WITNESS,,"{0,1,2,4}",,-0.1023255438;-0.6999223828;0.6522006989;-0.5814287663;0.4920136333;-0.3504392803,4.947178364,4.374224056,5.682863195,1
SUBSET_WITNESS,,"{0,1,2,5}",,1.051523447;0.5925097466;-0.02752971649;-0.005701031536;-1.577972531;-0.3296625018,2.730531693,2.448168676,3.34537651,1
SUBSET_WITNESS,,"{0,1,3,4}",,0.1406033337;0.1083819419;1.12663734;-0.5392597318;1.186785936;0.08914449811,4.179020882,3.909829471,4.748099248,1
SUBSET_WITNESS,,"{0,1,3,5}",,0.9718638062;1.219174266;1.238132834;-0.6865926981;0.4413420856;-0.4379892349,2.826756716,2.415781447,4.283922724,1
SUBSET_WITNESS,,"{0,1,4,5}",,0.3339421451;0.2389185727;0.5082057714;-0.5370733738;0.6929658055;-0.4817640483,3.140443563,2.547426458,3.705967529,1
SUBSET_WITNESS,,"{0,2,3,4}",,0.1365571916;0.1947109103;1.145607591;-1.402473927;0.652403295;-0.7463148236,3.305934191,2.960515793,3.838093009,1
SUBSET_WITNESS,,"{0,2,3,5}",,1.033183575;0.7974685431;1.296913147;-0.3718550801;-1.987708211;-0.419436276,2.724090576,2.418992643,4.719546065,1
SUBSET_WITNESS,,"{0,2,4,5}",,0.3336975873;0.2443582714;-0.3097842038;0.4096058905;0.1853615195;-1.194365382,3.222080231,2.971802562,4.55231119,1
SUBSET_WITNESS,,"{0,3,4,5}",,0.1953255236;0.9974199533;0.8025123477;-0.8348354697;0.7906963825;-0.8703259826,2.853869677,2.569654085,3.784198634,1
SUBSET_WITNESS,,"{1,2,3,4}",,-0.9175955057;0.5955914259;-0.6037063599;-0.6412306428;-0.9787953496;0.8637896776,6.090646267,5.911942469,6.217420123,1
SUBSET_WITNESS,,"{1,2,3,5}",,0.4939548075;0.5451141596;0.3071236908;-1.617226005;-0.7946634293;-0.1453685611,2.806919336,2.756345331,3.086753873,1
SUBSET_WITNESS,,"{1,2,4,5}",,0.1385635734;0.1656565815;-0.3862023652;-0.8393865824;-0.4564607143;-0.2777647078,3.313118458,3.004857036,4.422445714,1
SUBSET_WITNESS,,"{1,3,4,5}",,-0.3656178415;0.5282691717;0.9392206073;-0.5225934386;-0.5322740078;0.2115254104,3.58082056,3.63054707,4.004713147,1
SUBSET_WITNESS,,"{2,3,4,5}",,-0.2541334331;0.7251874208;0.9265028834;-1.761174798;-1.439214468;-0.2830000222,3.124625444,3.107795797,3.473058673,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,0.08732064068;-0.464849323;1.037629724;-0.9317009449;0.7335316539;-0.1620161533,4.391013145,4.101866794,5.017744487,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,1.148254991;0.9871100187;0.1575711966;0.6169423461;-1.257033944;-0.1256822795,3.040089846,2.493328589,6.220469542,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,0.5557956696;0.1432848275;-0.3009216189;-0.251866281;0.1571243405;-0.8789604902,3.543720961,3.054234297,4.617691422,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,0.5213104486;0.48603037;0.8824801445;-0.4663965404;0.8689324856;-0.100759916,3.647263765,3.596760634,4.354086176,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,0.3862420321;0.8892515898;0.2977577746;-1.188524008;0.781139493;-0.9238165617,3.1526649,2.822900283,4.946475584,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,-0.2069705576;0.4914200306;0.4045331776;-0.6490274072;-0.8918586969;0.2499877512,3.441627741,3.271216854,5.577939878,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,0.426928699;0.7193273306;0.7038472891;-0.5759272575;0.341299057;-0.3072668016,3.417185545,,,1
