row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,0.6531032324;1.298860192;1.072965503;-0.07704174519;0.5235865116;-1.409806252,,,,,
POINT,1,,1.323395729;0.3429396749;0.2597780228;-0.4661283195;-0.2007433772;0.6222442389,,,,,
POINT,2,,0.5235446095;0.01541742496;-1.997745991;-0.2072784156;-1.096910238;-0.2124964744,,,,,
POINT,3,,0.8993990421;1.502712727;1.137047172;-1.163208723;-1.298218131;0.008403517306,,,,,
POINT,4,,-0.6950078607;0.32333377;0.2810744941;-0.7423565984;0.6523170471;-1.368077993,,,,,
POINT,5,,1.068513393;1.071422458;0.9651922584;0.2051504403;-1.02469337;-0.3324324489,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,-0.15409486;0.3257140815;-0.9493436217;0.1346890032;0.2374650389;0.7735614181,1,,,1
SUBSET_WITNESS,,{0},,0.6531032324;1.298860192;1.072965503;-0.07704174519;0.5235865116;-1.409806252,1,0,1.725988672,1
SUBSET_WITNESS,,{1},,1.323395729;0.3429396749;0.2597780228;-0.4661283195;-0.2007433772;0.6222442389,1,0,1.51947979,1
SUBSET_WITNESS,,{2},,0.5235446095;0.01541742496;-1.997745991;-0.2072784156;-1.096910238;-0.2124964744,1,0,2.389518199,1
SUBSET_WITNESS,,{3},,0.8993990421;1.502712727;1.137047172;-1.163208723;-1.298218131;0.008403517306,1,0,1.322748087,1
SUBSET_WITNESS,,{4},,-0.6950078607;0.32333377;0.2810744941;-0.7423565984;0.6523170471;-1.368077993,1,0,3.857103544,1
SUBSET_WITNESS,,{5},,1.068513393;1.071422458;0.9651922584;0.2051504403;-1.02469337;-0.3324324489,1,0,1.322748087,1
SUBSET_WITNESS,,"{0,1}",,0.4108160734;-0.08742856234;1.322380781;-0.4732180238;1.144903064;-0.1234896332,3.124328136,2.990669831,3.745149594,1
SUBSET_WITNESS,,"{0,2}",,0.9630884528;0.472199589;1.132633686;-2.229207754;0.9952681065;-1.581534147,5.477071762,5.052824018,5.728294259,1
SUBSET_WITNESS,,"{0,3}",,0.7250621319;1.288416266;1.472262979;-1.317826986;0.6851131916;-0.8781521916,2.108929873,2.013020586,3.291274831,1
SUBSET_WITNESS,,"{0,4}",,-0.02095231414;0.8110969663;0.6770200133;-0.4096991718;0.5879517794;-1.388942122,1,0.9642758859,3.111215092,1
SUBSET_WITNESS,,"{0,5}",,0.8608083129;1.185141325;1.019078851;0.06405434757;-0.2505534291;-0.87111938,1,0.9683614408,2.720883485,1
SUBSET_WITNESS,,"{1,2}",,-0.02385072596;-0.3365728855;-1.30701375;-0.4816537797;-0.561750412;0.7814541459,3.018827677,2.909841132,5.059854589,1
SUBSET_WITNESS,,"{1,3}",,1.354461789;0.3973233104;1.247865796;-0.7968813181;-0.6873185635;0.8365042806,1.77447331,1.729534773,2.969727382,1
SUBSET_WITNESS,,"{1,4}",,0.03119980171;-0.1371835172;0.1912602931;-0.5917493105;0.7933945656;-0.2014767081,2.90041399,2.781458064,3.688381564,1
SUBSET_WITNESS,,"{1,5}",,1.195954561;0.7071810961;0.6124851704;-0.1304889321;-0.6127183437;0.144905895,1,0.7426900975,2.197049072,1
SUBSET_WITNESS,,"{2,3}",,0.03279765323;1.006282449;-0.8684643507;-2.206383705;-0.3970198631;0.08065632731,2.57867384,2.095768002,3.316064663,1
SUBSET_WITNESS,,"{2,4}",,-0.1004049256;0.1833774;-1.920451283;-0.4925065339;0.843226254;-0.7827146649,2.399392128,2.2121137,5.179636243,1
SUBSET_WITNESS,,"{2,5}",,0.6294128299;0.6053893566;0.3021370471;0.3884781897;-1.659895778;-0.205296278,1.843749166,1.115276277,2.342768339,1
SUBSET_WITNESS,,"{3,4}",,-0.2921861708;0.4314422905;0.9332813621;-1.121956587;0.7508679032;-0.4152032137,3.047528982,2.768097203,3.228604194,1
SUBSET_WITNESS,,"{3,5}",,0.9839562178;1.287067652;1.051119685;-0.4790291488;-1.16145575;-0.1620144695,1,0.5768842651,2.263935782,1
SUBSET_WITNESS,,"{4,5}",,-0.3780885041;0.6815397143;0.02132065035;-0.6697644591;-0.5094354153;-0.5670391917,2.760504961,2.571262464,3.099237129,1
SUBSET_WITNESS,,"{0,1,2}",,0.9722179174;-0.00040325796;-0.4218476713;-1.5946666;2.069053888;-0.5644583106,6.217252254,6.144303254,6.44578363,1
SUBSET_WITNESS,,"{0,1,3}",,0.08661302179;2.018739462;1.634298086;-0.5544032454;1.450551867;0.2792793512,5.129756451,5.094380572,6.511722922,1
SUBSET_WITNESS,,"{0,1,4}",,0.4161468744;0.4484107792;-0.3758704662;-0.3755985796;1.627274394;-0.4649991393,3.568496943,3.458703425,4.108911399,1
SUBSET_WITNESS,,"{0,1,5}",,0.9104248285;1.819780588;0.801152885;-0.1526466012;0.7449630499;-0.2411189526,2.247131586,1.832008304,3.151829847,1
SUBSET_WITNESS,,"{0,2,3}",,0.2451025397;1.250724792;1.245538712;-0.4520608187;-2.377496958;-0.6831443906,2.856345892,2.75555296,3.173751917,1
SUBSET_WITNESS,,"{0,2,4}",,0.04454449192;-0.3163611889;0.5203107595;-0.1451930255;-0.06033856049;-0.9519994259,3.250792742,2.842029133,3.75474799,1
SUBSET_WITNESS,,"{0,2,5}",,0.8438739777;0.1485577077;0.4233666956;-0.2449460626;-2.191205025;-0.645945847,2.443711281,2.141537084,3.992407781,1
SUBSET_WITNESS,,"{0,3,4}",,0.1724455953;0.4573953152;1.464641333;-1.428223252;0.5596860647;-0.7539211512,3.0628438,3.027460567,3.551268924,1
SUBSET_WITNESS,,"{0,3,5}",,1.071200132;1.47568202;1.130200267;-1.007543206;0.2750772238;-0.4072473347,2.488565207,2.142061095,3.043595968,1
