row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{0,1,4}",,-0.05119812489;-0.6055127382;1.530427694;-0.8589188457;0.03741977364;0.06184271351;-0.2099857777;0.00616190955,3.708379269,3.617166782,4.239924569,1
SUBSET_WITNESS,,"{0,1,5}",,-0.7338247299;-0.1936219931;1.82225275;1.798608422;-0.2413578033;-0.8763229251;0.8913131356;0.125435397,4.034063816,3.451964259,4.67241964,1
SUBSET_WITNESS,,"{0,2,3}",,0.02764740027;1.388247371;-0.5722462535;1.632716537;-0.2430865914;-0.9026313424;-1.463510156;-0.116138421,4.670847893,4.450765826,5.640257998,1
SUBSET_WITNESS,,"{0,2,4}",,-0.02841459215;-0.6058387756;0.8744245768;-1.467665553;0.6694051027;-0.5957511663;-0.6759122014;-0.7557156682,3.697170258,3.622386989,5.166364826,1
SUBSET_WITNESS,,"{0,2,5}",,-0.9510336518;1.190021396;0.294351846;1.077952981;1.409261942;-0.5373716354;0.7111748457;-0.6252871752,3.201671839,2.541923889,4.549970545,1
SUBSET_WITNESS,,"{0,3,4}",,0.2497245669;-0.5913814306;1.442810416;0.3994252384;2.071724653;-1.281605482;-0.03805883601;-0.0344126448,4.693570137,4.374024719,5.866975738,1
SUBSET_WITNESS,,"{0,3,5}",,-0.8624101877;1.267787337;-0.88220191;2.200758219;-0.648609519;-1.025971532;0.5860050321;-0.7726708055,5.216404438,4.880304407,6.090512386,1
SUBSET_WITNESS,,"{0,4,5}",,-0.69146806;0.05515982956;2.061602592;-1.228660464;-0.3605151772;-0.2871224582;0.09615628421;-1.17465651,5.177638531,5.201530389,5.586289138,1
SUBSET_WITNESS,,"{1,2,3}",,-0.3969991505;1.363702416;0.1896283925;1.823655248;-1.840730548;0.8512113094;0.3512299359;-0.01238338929,4.967489719,4.867470878,5.184893806,1
SUBSET_WITNESS,,"{1,2,4}",,-0.6777712703;-0.5608881116;1.073870301;-1.879908562;-0.1269480288;0.4483004212;-0.8830111027;-0.05689525232,3.90704608,3.841562715,5.027954417,1
SUBSET_WITNESS,,"{1,2,5}",,-1.225404263;0.2176606804;0.3499603271;1.212833762;-1.146642923;-0.006440976635;1.225387812;-0.004603444599,2.481007814,1.800552076,4.94648641,1
SUBSET_WITNESS,,"{1,3,4}",,-0.326638788;0.6788857579;-0.800542891;1.720772743;-1.177697539;-1.159947038;-1.538565278;0.1777692884,4.706557274,3.978253046,6.064571152,1
SUBSET_WITNESS,,"{1,3,5}",,-1.485061288;1.021145105;-0.8814970255;2.216661692;-1.464166045;-0.4255684316;-0.4141158164;-0.1786058843,5.624456406,5.525311727,6.710651222,1
SUBSET_WITNESS,,"{1,4,5}",,-0.892942965;-0.1927131861;1.609558225;1.666819692;-1.629551411;-0.6597140431;0.006580781657;-0.429166764,4.611052036,4.168799469,5.35324122,1
SUBSET_WITNESS,,"{2,3,4}",,-0.2117639333;1.38960731;-1.308677554;0.9213781953;-1.121935964;-1.00782311;-1.529064775;-0.2484243512,5.022030354,4.382313162,5.740538413,1
SUBSET_WITNESS,,"{2,3,5}",,-1.49348259;1.499936938;-0.694332242;1.710868359;-0.9840849638;-1.635298729;-0.757502079;-0.700293839,6.159981251,5.740023508,6.9296217,1
SUBSET_WITNESS,,"{2,4,5}",,-0.3057106733;0.112017639;0.6218543649;-0.8267390728;-0.8589031696;-0.634727478;1.475999713;-1.020771027,4.946313858,4.359202234,5.332446165,1
SUBSET_WITNESS,,"{3,4,5}",,-0.5194747448;1.526112437;-0.7811369896;1.764710665;-1.45026505;-1.17506218;-0.8567990661;-0.6567239165,4.908477306,4.447604437,5.445137776,1
SUBSET_WITNESS,,"{0,1,2,3}",,-0.8422912955;1.148112893;-0.6132948399;1.693374872;-0.5227257013;-0.9363892674;-1.511013389;0.3579763174,4.71639967,4.589534491,5.496368815,1
SUBSET_WITNESS,,"{0,1,2,4}",,-0.5513070226;-0.3912007809;1.006076336;-1.303487897;0.1388861239;-0.2866831124;-0.1058704853;-0.2046549767,3.793296576,3.419257894,5.584690295,1
SUBSET_WITNESS,,"{0,1,2,5}",,-1.079911232;0.06314643472;-0.1341169029;1.417491674;-0.456638962;-0.1936369985;1.039173245;-0.3299817145,3.138728857,2.786204496,9.130584533,1
SUBSET_WITNESS,,"{0,1,3,4}",,0.386057049;-0.06607869267;2.225981474;0.1584534198;-1.457938075;-1.742158771;0.2420768887;0.1297589839,7.535710812,7.137453768,8.126445236,1
SUBSET_WITNESS,,"{0,1,3,5}",,-0.7898164988;1.203575015;-0.828744173;2.090115309;-0.9029757977;-0.8890890479;0.4457588196;-0.3580895364,5.310881138,4.8763378,5.553498507,1
SUBSET_WITNESS,,"{0,1,4,5}",,-0.7411354184;-0.1514540315;2.108390093;-1.241440415;-0.3239309788;-0.3749265373;0.2120215297;-0.6057272553,4.787583828,4.65373265,5.083228638,1
SUBSET_WITNESS,,"{0,2,3,4}",,-0.01385994349;0.4439187646;1.457029581;-0.6508299112;1.280450344;-1.329973817;-0.06914314628;-0.5443789959,4.753375053,4.298741409,5.092161457,1
SUBSET_WITNESS,,"{0,2,3,5}",,-0.4187421799;1.555217505;-0.5535263419;1.57188499;-0.4705072641;-1.248285055;-0.3174663782;-0.1444837302,4.900066376,4.226855645,5.533316616,1
SUBSET_WITNESS,,"{0,2,4,5}",,-0.3453346193;0.5284952521;0.08424480259;0.4513524473;0.6255652308;-0.5948817134;1.517738104;-0.8383018374,4.799025059,4.46314673,5.501701036,1
SUBSET_WITNESS,,"{0,3,4,5}",,-0.2305947244;0.04459181428;3.428593636;1.01989615;-1.640583038;-0.3100796044;0.5750209689;-0.2911231816,9.962828636,9.323789019,10.17192616,1
SUBSET_WITNESS,,"{1,2,3,4}",,-0.5513022542;1.13701725;-0.8555775881;0.9572083354;-1.015722275;-1.435063362;-1.562059641;-0.1077200919,4.805615425,4.850273255,5.174035583,1
SUBSET_WITNESS,,"{1,2,3,5}",,-1.753047824;1.573733449;-0.8346543908;1.578915596;-1.681109667;-0.4634574056;-0.3859416246;0.2624567449,6.706009865,6.440603384,7.692722077,1
SUBSET_WITNESS,,"{1,2,4,5}",,-0.7691330314;0.004400459584;0.5328984261;0.4327361882;-1.08518362;-1.098864913;1.702163935;-0.9177074432,5.841823101,5.740096486,6.91698762,1
SUBSET_WITNESS,,"{1,3,4,5}",,-1.074719191;0.6377055645;-0.8852831721;1.793244004;-1.251756907;-1.62524128;0.1151611656;0.03719196469,5.35944128,5.326155582,6.453454172,1
SUBSET_WITNESS,,"{2,3,4,5}",,-0.5911722183;1.369941115;-0.9612496495;1.071878791;-1.460737705;-1.59243238;-0.7916773558;-0.6951016188,5.19844532,4.913475303,5.97038817,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,-0.6221318841;1.403261065;-0.7445619702;1.28501153;-1.388241649;-0.2756712437;0.1157111004;0.2642179132,4.856657028,4.511207147,5.43099882,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,-0.8468615413;1.208512664;-0.5663475394;1.982286811;-0.9470164776;-1.39816165;0.4701566398;-0.0992456153,5.105513573,5.020674519,5.71469434,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,-0.0337068513;0.1684122831;0.5617057681;-0.7215803266;-0.6769593954;-0.1029695868;1.238723278;-0.7444788218,5.241410255,4.771236265,8.876678664,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,-0.5826654434;1.289005876;-0.785243988;1.656447768;-1.275390387;-0.6004827023;-1.151014209;0.101088278,5.021427155,4.627493369,5.404361897,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,-0.408310473;1.527448654;-0.7767506242;1.377060294;-1.307847142;-1.101715803;-0.3747745752;-0.5493913293,4.994858265,4.464323502,6.376006439,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,-0.9665392637;1.198771;-0.8009611368;1.330349803;-1.404696107;-1.772703409;-0.4457896054;-0.2811444998,5.548289776,5.413169872,5.984271691,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,-0.7771925926;1.431736708;-0.5874611139;1.400137424;-1.110874057;-1.238680959;-0.4478300214;-0.1301400065,5.026199341,,,1
