row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,0.1496612132;-1.701897144;-2.218181849;0.1890818477;0.1861715466,,,,,
POINT,1,,-0.1890624017;1.503823876;-0.5315667391;-0.06941458583;1.19601047,,,,,
POINT,2,,0.1845202297;-0.07693205774;-1.670835376;1.509994149;-0.432769984,,,,,
POINT,3,,-0.6279058456;-0.8199752569;0.2718013525;-1.284597039;0.195658952,,,,,
POINT,4,,-1.323388338;-0.3486228585;0.3706185818;-0.1472194344;-0.9413579106,,,,,
POINT,5,,-1.898242235;0.177607134;-2.160602331;0.1236545667;0.7644078135,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,0.3562243581;0.5818625093;-0.7146168351;0.3143108487;0.424076736,1,,,1
SUBSET_WITNESS,,{0},,0.1496612132;-1.701897144;-2.218181849;0.1890818477;0.1861715466,1,0,2.481010825,1
SUBSET_WITNESS,,{1},,-0.1890624017;1.503823876;-0.5315667391;-0.06941458583;1.19601047,1,0,3.746535897,1
SUBSET_WITNESS,,{2},,0.1845202297;-0.07693205774;-1.670835376;1.509994149;-0.432769984,1,0,2.481010825,1
SUBSET_WITNESS,,{3},,-0.6279058456;-0.8199752569;0.2718013525;-1.284597039;0.195658952,1,0,2.301832782,1
SUBSET_WITNESS,,{4},,-1.323388338;-0.3486228585;0.3706185818;-0.1472194344;-0.9413579106,1,0,2.301832782,1
SUBSET_WITNESS,,{5},,-1.898242235;0.177607134;-2.160602331;0.1236545667;0.7644078135,1,0,3.713842772,1
SUBSET_WITNESS,,"{0,1}",,0.2810924649;1.161016941;-1.682189703;-0.03394851461;0.6973096132,2.803688765,1.912455832,3.291785441,1
SUBSET_WITNESS,,"{0,2}",,0.1468576044;-1.925963163;-1.96645844;0.8348409534;-0.004639732186,1.966144562,0.8431107943,2.875593822,1
SUBSET_WITNESS,,"{0,3}",,-0.4133245945;-1.448335528;-1.796575904;0.1395059824;0.4945769906,2.142855644,1.062245253,3.267079812,1
SUBSET_WITNESS,,"{0,4}",,-1.26404357;-1.875979066;-2.624961615;0.3182603121;-0.7340061665,3.075490952,3.05774953,5.060321007,1
SUBSET_WITNESS,,"{0,5}",,-0.489000231;-0.04082443565;-2.757766247;0.1589429826;1.10568285,2.796787977,2.69659354,3.226293259,1
SUBSET_WITNESS,,"{1,2}",,0.3481760323;0.7746464014;-0.5838873386;1.867877007;0.4270749092,3.230681896,2.680905232,5.911027078,1
SUBSET_WITNESS,,"{1,3}",,-0.9533289671;1.315079451;-0.08508081734;-1.01213634;0.6384689212,2.27966404,1.861976206,3.855577761,1
SUBSET_WITNESS,,"{1,4}",,-1.119176626;1.54022193;0.2594766021;0.296415925;0.1400019675,3.512567282,3.273121429,3.973097058,1
SUBSET_WITNESS,,"{1,5}",,-1.527836442;1.223669529;-1.259019017;-0.4456644952;1.527680755,3.227942705,2.951009065,4.403227761,1
SUBSET_WITNESS,,"{2,3}",,-0.6095042229;0.5576967001;-1.319682598;1.378921747;-0.5117610097,2.147261381,2.028157821,3.599042565,1
SUBSET_WITNESS,,"{2,4}",,-0.9487962723;-0.2690564394;-0.7914906144;1.534415722;-0.9106661677,2.469152927,2.323546441,3.190529644,1
SUBSET_WITNESS,,"{2,5}",,-1.284268975;-0.08042506129;-2.627421141;1.577794552;0.08061736822,3.479736567,3.340573716,4.497154701,1
SUBSET_WITNESS,,"{3,4}",,-0.9756470919;-0.5842990875;0.3212099671;-0.7159082294;-0.3728494644,1,0.8255171799,4.280936007,1
SUBSET_WITNESS,,"{3,5}",,-1.398345828;0.869222343;-1.80194211;0.7520860434;0.5757297873,2.314467669,2.006713018,3.566087891,1
SUBSET_WITNESS,,"{4,5}",,-2.09894228;-0.01307528466;-1.23306942;-0.001290924614;-0.3798030615,2.789606094,2.261787365,3.268791422,1
SUBSET_WITNESS,,"{0,1,2}",,0.5277602673;0.3246111274;-1.10608542;1.522666812;0.2191071212,3.803717852,3.544850263,4.441797098,1
SUBSET_WITNESS,,"{0,1,3}",,-0.1981552988;1.133465886;-1.641909838;0.2097505033;0.9286486506,2.978824139,1.978956296,4.107391213,1
SUBSET_WITNESS,,"{0,1,4}",,0.7859270573;1.38458395;-0.5234533548;-1.007924438;-1.192984104,7.926883221,7.664166927,8.074576516,1
SUBSET_WITNESS,,"{0,1,5}",,-0.2750362158;0.9837734699;-2.490599632;-0.04064983875;2.001009703,5.155098438,4.949780267,5.697955362,1
SUBSET_WITNESS,,"{0,2,3}",,-0.44091326;-1.721290588;-1.727966785;0.8455671072;0.1172653437,2.518305779,1.502420532,3.78168533,1
SUBSET_WITNESS,,"{0,2,4}",,0.1733290553;-0.1303361654;-1.787839413;0.01494226325;-1.87025404,5.51505518,5.027081035,5.833201773,1
SUBSET_WITNESS,,"{0,2,5}",,-0.7320038676;-0.5392591953;-3.183496714;1.335147381;0.180351764,4.842485428,4.729158282,5.580882726,1
SUBSET_WITNESS,,"{0,3,4}",,-0.561239779;-1.939244986;0.2246825993;0.425914228;-0.3663226664,2.63931179,1.670558361,3.256535279,1
SUBSET_WITNESS,,"{0,3,5}",,-0.7505669594;0.4437099993;-2.335212469;0.4737221599;0.3207723498,2.59718442,1.737817742,3.22853899,1
SUBSET_WITNESS,,"{0,4,5}",,-1.377198577;-1.197807193;-2.490438938;0.2423991114;0.09612296522,3.504678488,2.882002428,4.33009258,1
SUBSET_WITNESS,,"{1,2,3}",,-0.1432940364;0.6996451616;-0.7634532452;1.128410697;0.3544914126,3.393344641,2.299263172,4.295887604,1
SUBSET_WITNESS,,"{1,2,4}",,-0.6925903559;-0.1770097613;-0.2504713535;1.892778516;-0.321626097,3.501209497,3.168446854,4.317075133,1
SUBSET_WITNESS,,"{1,2,5}",,-1.578579068;0.0272201281;-0.8240460753;2.307773113;0.3214066327,5.814669609,5.387546083,5.999160007,1
SUBSET_WITNESS,,"{1,3,4}",,-1.188783765;-0.2369836718;1.227535486;-0.5952399969;0.2516333759,2.990781546,2.388838858,4.507241823,1
SUBSET_WITNESS,,"{1,3,5}",,-1.146929383;1.137835622;-1.438371301;0.1231099963;1.108166337,3.090019226,2.126297674,4.189612842,1
SUBSET_WITNESS,,"{1,4,5}",,-1.963441133;1.159399509;-0.2699464262;-0.3195327222;0.3727442026,4.868753433,4.773454522,5.135198075,1
SUBSET_WITNESS,,"{2,3,4}",,-1.18177402;-0.1150681898;-1.291251183;1.300035954;-0.7437465787,2.816052914,2.689512065,4.969598524,1
SUBSET_WITNESS,,"{2,3,5}",,-1.207579255;-0.1545993388;-2.26976347;1.380379558;0.2850720882,3.150893927,3.050186333,3.688780601,1
SUBSET_WITNESS,,"{2,4,5}",,-1.659564376;0.1080703437;-1.808435082;1.572484136;-0.5231877565,4.347789764,4.213333786,4.482831566,1
SUBSET_WITNESS,,"{3,4,5}",,-1.403787136;-0.4228984118;-1.573106408;0.5733917356;-0.3387510478,2.99742198,2.36946705,3.538027642,1
SUBSET_WITNESS,,"{0,1,2,3}",,0.6264080405;-0.02543881163;-1.00272572;0.6244338751;0.1985757798,3.618926287,3.389308557,5.817449927,1
SUBSET_WITNESS,,"{0,1,2,4}",,0.9167678952;1.703857064;1.621144056;1.764530063;-0.9597969651,13.09136009,12.56446363,12.94261586,1
SUBSET_WITNESS,,"{0,1,2,5}",,0.5752619505;0.8318967819;-2.861761808;0.6393808722;1.763926864,8.431103706,8.302953809,8.851808682,1
SUBSET_WITNESS,,"{0,1,3,4}",,-0.0188144967;0.7206148505;-1.122264624;-0.6445814371;-0.2497907728,3.633259058,3.285388868,3.950763782,1
SUBSET_WITNESS,,"{0,1,3,5}",,-1.069725275;1.07685554;-1.698765993;-0.08918901533;0.5572645664,3.37538147,2.831540003,5.739637667,1
SUBSET_WITNESS,,"{0,1,4,5}",,-2.978594065;1.292761326;-2.283720255;0.1704335511;0.396135658,11.94713974,11.59340307,12.070825,1
