row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-1.850260377;0.4426104426;0.4412058592;-0.231713146;0.3756764233,,,,,
POINT,1,,-0.2245520353;1.142616272;-0.7319099903;-1.910045981;-0.9990623593,,,,,
POINT,2,,0.1531037837;0.06092364714;1.606043339;-1.036857605;1.311904788,,,,,
POINT,3,,-0.3173797131;1.751956463;1.097712874;-0.4221109748;-0.8140752316,,,,,
POINT,4,,-2.612971067;1.740949631;-0.9459257126;-1.432107568;1.662306309,,,,,
POINT,5,,-0.5061408877;-0.2430277318;-0.7431583405;-0.03378905728;1.17188561,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,2.253236532;-1.188301802;-0.2562662065;-0.2385618836;-0.7057608366,1,,,1
SUBSET_WITNESS,,{0},,-1.850260377;0.4426104426;0.4412058592;-0.231713146;0.3756764233,1,0,3.679631844,1
SUBSET_WITNESS,,{1},,-0.2245520353;1.142616272;-0.7319099903;-1.910045981;-0.9990623593,1,0,1.713276288,1
SUBSET_WITNESS,,{2},,0.1531037837;0.06092364714;1.606043339;-1.036857605;1.311904788,1,0,4.888339924,1
SUBSET_WITNESS,,{3},,-0.3173797131;1.751956463;1.097712874;-0.4221109748;-0.8140752316,1,0,1.713276288,1
SUBSET_WITNESS,,{4},,-2.612971067;1.740949631;-0.9459257126;-1.432107568;1.662306309,1,0,7.287909269,1
SUBSET_WITNESS,,{5},,-0.5061408877;-0.2430277318;-0.7431583405;-0.03378905728;1.17188561,1,0,3.679631844,1
SUBSET_WITNESS,,"{0,1}",,-1.371724129;0.4587216973;-0.3099032342;-1.45080936;-0.5883022547,3.126710892,2.651127409,3.661402476,1
SUBSET_WITNESS,,"{0,2}",,-0.9609569907;0.5955572724;1.577528119;-1.007131338;0.5713034868,2.807210684,2.745024808,3.769816633,1
SUBSET_WITNESS,,"{0,3}",,-1.024639368;1.156754255;0.7882893085;-0.3951904774;-0.234433949,2.399392128,1.711077861,3.758711038,1
SUBSET_WITNESS,,"{0,4}",,-2.278836012;0.9180970788;-0.5796490312;-0.8751789927;0.9221360683,2.826425552,1.780912548,5.287705712,1
SUBSET_WITNESS,,"{0,5}",,-1.168694377;0.2780291438;-0.6540589929;-0.5473347306;0.7504456639,1.847025275,1.159756924,4.259310685,1
