row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
SUBSET_WITNESS,,"{2,3}",,-1.541272879;-0.3854929805;0.4408670664;-0.2045716941,1,0.9451761916,2.447138589,1
SUBSET_WITNESS,,"{2,4}",,-0.2213610858;0.8788868189;-0.3930821717;-0.80877918,2.966295719,2.677591027,4.778204208,1
SUBSET_WITNESS,,"{2,5}",,-0.1072566286;-1.40068686;-0.05344704911;-0.1788833141,3.15666461,3.089654654,3.537328571,1
SUBSET_WITNESS,,"{3,4}",,-0.2121547759;0.5198194385;0.3808305562;0.3540225029,2.703796864,2.567726735,2.855010033,1
SUBSET_WITNESS,,"{3,5}",,-0.3655019104;0.2135774195;0.253069073;0.704610765,2.218705893,1.974802583,2.437518701,1
SUBSET_WITNESS,,"{4,5}",,0.5576722622;-1.381479859;0.3051367402;0.1652623713,2.348627567,2.235952713,3.089750707,1
SUBSET_WITNESS,,"{0,1,2}",,0.05388910323;-1.766866684;1.756767869;-0.9482645988,8.291690826,8.154853165,8.49418968,1
SUBSET_WITNESS,,"{0,1,3}",,0.06342088431;-2.625066757;1.476099491;0.1588876247,7.602454185,7.551734103,7.588807593,1
SUBSET_WITNESS,,"{0,1,4}",,-0.2781339884;1.888538241;-0.02704952843;0.5775435567,3.492012739,3.480745822,3.646508479,1
SUBSET_WITNESS,,"{0,1,5}",,0.1239456087;-0.5771713853;-0.6001311541;1.285301328,2.971479654,1.824059476,3.949656874,1
SUBSET_WITNESS,,"{0,2,3}",,-1.487847805;-0.4694180787;-0.2426862568;0.09091581404,2.271523476,1.337526061,5.369054315,1
SUBSET_WITNESS,,"{0,2,4}",,-0.5224007368;-0.1024537161;-0.642001152;-0.658619523,4.532371998,4.488339156,4.911635146,1
SUBSET_WITNESS,,"{0,2,5}",,-0.3316088915;-0.5429738164;-0.0918321684;-0.1060651615,3.123734713,2.911909565,3.665290058,1
SUBSET_WITNESS,,"{0,3,4}",,-0.4843597114;0.8741815686;1.063699603;-0.01944772899,3.010361433,2.255560339,3.25263782,1
SUBSET_WITNESS,,"{0,3,5}",,-0.8219977617;0.2912549675;-0.1011258662;0.9006048441,2.651922226,2.200292333,3.512882903,1
SUBSET_WITNESS,,"{0,4,5}",,-0.001674051397;-0.5587289333;-0.4405574799;0.03958246112,2.639233589,2.62831961,2.791452887,1
SUBSET_WITNESS,,"{1,2,3}",,0.1464124322;-2.2782197;1.167797327;-0.3634559214,7.191432953,6.853916969,7.484719828,1
SUBSET_WITNESS,,"{1,2,4}",,0.3871894181;-0.06638108939;-0.154576391;-0.568494916,4.180490971,3.892355468,4.447406638,1
SUBSET_WITNESS,,"{1,2,5}",,0.1906769276;-1.719567776;0.098225981;0.1524597108,3.998052597,4.11166776,4.191719469,1
SUBSET_WITNESS,,"{1,3,4}",,-0.05891957134;0.6181137562;0.4688683152;0.4077771604,3.067075968,2.907374647,3.230982423,1
SUBSET_WITNESS,,"{1,3,5}",,0.1359913945;-1.959986567;0.5142712593;0.3584979475,4.663008213,4.554421667,5.004209653,1
SUBSET_WITNESS,,"{1,4,5}",,0.7997264862;-0.4728940129;-0.3728759587;0.7354189754,1.858543158,0.9114854505,4.278726131,1
SUBSET_WITNESS,,"{2,3,4}",,-0.5442687869;0.2411958575;0.1941441894;-0.498172909,3.132369995,3.020302653,4.464458007,1
SUBSET_WITNESS,,"{2,3,5}",,-0.2839208841;-0.1652255207;0.2346197665;0.1432934403,2.637918472,2.708956331,2.788487911,1
SUBSET_WITNESS,,"{2,4,5}",,0.1200141236;-1.115407586;0.2225743383;-0.1194095761,3.434014559,2.840993945,3.698249217,1
SUBSET_WITNESS,,"{3,4,5}",,-0.33428514;0.7241923809;-0.3789885044;0.2892139256,3.132573605,2.907244928,3.38057816,1
SUBSET_WITNESS,,"{0,1,2,3}",,0.05800999328;-2.10980916;1.660876393;-0.6253752708,7.846977234,7.734954208,8.117891483,1
SUBSET_WITNESS,,"{0,1,2,4}",,-0.03610916808;-0.318205148;-0.8743630052;-1.092499733,6.505993366,6.464558839,6.867104843,1
SUBSET_WITNESS,,"{0,1,2,5}",,-0.1298489124;-0.5316406488;-0.7913708687;0.3297045231,3.604413271,3.196256533,3.835790634,1
SUBSET_WITNESS,,"{0,1,3,4}",,-0.09206218272;0.6258156896;0.4722575843;0.3902240992,3.129351616,3.086165011,3.276461713,1
SUBSET_WITNESS,,"{0,1,3,5}",,-0.3759627342;-0.2567091882;-0.191952914;0.9089727402,3.537338734,3.163752033,4.560717788,1
SUBSET_WITNESS,,"{0,1,4,5}",,0.2802034616;-0.310759753;-0.1145679504;0.5596638918,3.28777957,2.955485895,4.44525945,1
SUBSET_WITNESS,,"{0,2,3,4}",,-0.6180967093;1.100718498;0.4815928638;-0.006161207333,3.361950874,2.718692698,3.971700568,1
SUBSET_WITNESS,,"{0,2,3,5}",,-0.622826457;-0.5382437706;-0.05684810132;0.509454906,3.243847132,2.596767237,4.557071522,1
SUBSET_WITNESS,,"{0,2,4,5}",,-0.3236308098;0.3047052324;-1.204157114;0.02940542623,3.526098013,3.390571978,4.54424037,1
SUBSET_WITNESS,,"{0,3,4,5}",,-0.4662387967;0.5386194587;-0.2400813848;0.5672425628,3.214637518,2.434420526,3.39496617,1
SUBSET_WITNESS,,"{1,2,3,4}",,0.03806018457;-0.1692211926;1.092413068;-0.7074070573,4.853594303,4.684026592,5.086020865,1
SUBSET_WITNESS,,"{1,2,3,5}",,0.1775909364;-1.892405152;0.7456301451;-0.02099875361,5.055021286,4.717328805,5.415690936,1
SUBSET_WITNESS,,"{1,2,4,5}",,0.2856267393;-0.3679972589;0.1279461682;-0.3369021714,3.821146488,3.44355568,4.994913653,1
SUBSET_WITNESS,,"{1,3,4,5}",,-0.02788793109;0.5038447976;0.1696086526;0.4611933529,3.615679979,3.147417768,3.90027824,1
SUBSET_WITNESS,,"{2,3,4,5}",,-0.3694854975;0.6055603027;-0.1738087982;-0.03770003095,3.53218317,3.140519943,3.876487821,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,-0.2259935886;0.1858305335;-0.126281634;-1.369980454,8.294818878,8.200524628,8.590192918,1
SUBSET_WITNESS,,"{0,1,2,3,5}",,-0.2311426997;-0.8124952316;-0.4089632332;0.5494999886,3.869821548,3.525686646,4.600001916,1
SUBSET_WITNESS,,"{0,1,2,4,5}",,0.01400845684;-0.7101923227;-0.1251929253;-0.2932806015,3.780329227,3.656953355,5.328532755,1
SUBSET_WITNESS,,"{0,1,3,4,5}",,-0.2929145098;0.09683918208;-0.1255979985;0.8704494834,3.78821063,3.316501559,4.586587652,1
SUBSET_WITNESS,,"{0,2,3,4,5}",,-0.5761047602;0.2361771166;-0.4381042421;0.2788124382,3.493509293,3.119735114,4.390169778,1
SUBSET_WITNESS,,"{1,2,3,4,5}",,0.03885806724;0.3018689454;0.3983349204;-0.1774837226,3.960421562,3.770427596,5.16969505,1
SUBSET_WITNESS,,"{0,1,2,3,4,5}",,-0.1980855912;-0.3180247545;-0.07487089932;0.1196714938,3.871809721,,,1
