row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-1.197899818;-0.7758029699;-0.6323209405;1.094792962,,,,,
POINT,1,,1.378431439;-0.07372765243;-0.4133769274;0.966784656,,,,,
POINT,2,,-1.349320531;-0.9322801232;0.03424035013;-0.8709116578,,,,,
POINT,3,,-1.733225346;0.1612941921;0.8474937677;0.4617682695,,,,,
POINT,4,,0.8890120387;0.8632927537;0.8015858531;-0.03950699791,,,,,
POINT,5,,0.3930516541;-0.8504323959;-0.3589703739;1.384197593,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,-2.182551146;0.4694555104;-0.9513523579;1.9844805,1,,,1
SUBSET_WITNESS,,{0},,-1.197899818;-0.7758029699;-0.6323209405;1.094792962,1,0,2.256426625,1
SUBSET_WITNESS,,{1},,1.378431439;-0.07372765243;-0.4133769274;0.966784656,1,0,1.557067381,1
SUBSET_WITNESS,,{2},,-1.349320531;-0.9322801232;0.03424035013;-0.8709116578,1,0,3.242455838,1
SUBSET_WITNESS,,{3},,-1.733225346;0.1612941921;0.8474937677;0.4617682695,1,0,2.256426625,1
SUBSET_WITNESS,,{4},,0.8890120387;0.8632927537;0.8015858531;-0.03950699791,1,0,1.991222651,1
SUBSET_WITNESS,,{5},,0.3930516541;-0.8504323959;-0.3589703739;1.384197593,1,0,1.557067381,1
SUBSET_WITNESS,,"{0,1}",,0.05173913017;-1.87571156;1.487417698;-0.08871681988,5.39925909,5.347293198,5.411042869,1
SUBSET_WITNESS,,"{0,2}",,-0.9276924133;-0.5005847812;-0.4438840151;0.03081124462,1.975526929,1.405838266,2.305901989,1
SUBSET_WITNESS,,"{0,3}",,-1.496675491;-0.359687537;-0.2611606717;0.6907458305,1.866260171,0.5828465503,2.875611421,1
SUBSET_WITNESS,,"{0,4}",,-0.4575736225;1.491583943;1.023262262;0.1209894419,2.287519693,2.276875542,2.57216155,1
SUBSET_WITNESS,,"{0,5}",,-0.4024240971;-0.8131176829;-0.4956456423;1.239495277,1,0.6737929089,3.520419572,1
SUBSET_WITNESS,,"{1,2}",,0.1375569701;-1.593942046;1.087918878;-0.2983995974,4.800047874,4.593509639,5.01351919,1
SUBSET_WITNESS,,"{1,3}",,-0.4914827645;2.219005823;-0.6079883575;0.02548089065,5.587978363,5.412505191,5.734847148,1
SUBSET_WITNESS,,"{1,4}",,1.133721709;0.3947825432;0.1941044629;0.4636388421,1,0.9015739895,2.792972551,1
SUBSET_WITNESS,,"{1,5}",,0.8857415318;-0.4620800316;-0.3861736655;1.175491095,1,0.4378593263,1.782563047,1
