row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-1.030495524;-1.044071078;0.5084447265;1.061450124;0.9918292165;-0.1808263659;1.331529617;-0.6545209289;-1.378941536,,,,,
POINT,1,,0.6628109217;0.6111370921;0.2236205637;0.3208295703;-2.499993563;1.411383629;1.041365266;-0.303625375;1.142014146,,,,,
POINT,2,,-0.8381108046;-0.9322736859;-0.04634014145;0.4463222623;1.465676188;-0.2005497217;0.03172865137;0.276042521;-0.2553038299,,,,,
POINT,3,,0.7123299837;0.1239050478;-0.05881440267;0.03186681122;1.488506913;-0.9124623537;-0.7737538218;1.389144301;-1.099309206,,,,,
POINT,4,,-1.582186222;0.1583338678;-0.08899900317;-0.5852863789;1.038118124;-0.1113921404;0.7814710736;-1.137737513;-0.03240865469,,,,,
POINT,5,,-0.8008087277;-0.152530849;1.611038089;0.5123323798;1.543142557;0.5563192368;-0.3466953933;0.1779547185;1.546564102,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,0.8187254667;-0.009582536295;-0.3301065862;0.1174319163;-1.254361629;1.968282104;-0.6886695027;0.2442035377;1.289001107,1,,,1
SUBSET_WITNESS,,{0},,-1.030495524;-1.044071078;0.5084447265;1.061450124;0.9918292165;-0.1808263659;1.331529617;-0.6545209289;-1.378941536,1,0,3.330643439,1
SUBSET_WITNESS,,{1},,0.6628109217;0.6111370921;0.2236205637;0.3208295703;-2.499993563;1.411383629;1.041365266;-0.303625375;1.142014146,1,0,9.805735137,1
SUBSET_WITNESS,,{2},,-0.8381108046;-0.9322736859;-0.04634014145;0.4463222623;1.465676188;-0.2005497217;0.03172865137;0.276042521;-0.2553038299,1,0,2.955499124,1
SUBSET_WITNESS,,{3},,0.7123299837;0.1239050478;-0.05881440267;0.03186681122;1.488506913;-0.9124623537;-0.7737538218;1.389144301;-1.099309206,1,0,6.545789199,1
SUBSET_WITNESS,,{4},,-1.582186222;0.1583338678;-0.08899900317;-0.5852863789;1.038118124;-0.1113921404;0.7814710736;-1.137737513;-0.03240865469,1,0,2.955499124,1
SUBSET_WITNESS,,{5},,-0.8008087277;-0.152530849;1.611038089;0.5123323798;1.543142557;0.5563192368;-0.3466953933;0.1779547185;1.546564102,1,0,5.196512222,1
