row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-1.186637759;-0.3560434878;1.419440508;0.3856345415;-0.772159636;0.4758901596;1.577661633,,,,,
POINT,1,,-2.330404282;1.351245761;-1.588982224;-0.7527455091;-3.180145741;0.4308621287;-1.054802418,,,,,
POINT,2,,1.331818461;0.2672274709;0.01933930814;-0.76350981;-0.1088228002;-0.08180754632;0.8882604241,,,,,
POINT,3,,-0.5726494193;0.4579000473;1.350712538;1.372477293;0.399300456;0.8628347516;0.4846890569,,,,,
POINT,4,,0.4344903231;0.00987516623;-0.4375591576;0.2127374262;1.718618393;0.5132260919;-0.4694499671,,,,,
POINT,5,,1.343187332;-0.02585365623;2.404749632;1.103645682;0.6174274087;-0.283321172;-0.3753384948,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,0.7599983215;0.9806835651;-1.077162862;-1.919627905;-0.7025579214;-0.7824668884;0.006597922649,1,,,1
SUBSET_WITNESS,,{0},,-1.186637759;-0.3560434878;1.419440508;0.3856345415;-0.772159636;0.4758901596;1.577661633,1,0,3.763235414,1
SUBSET_WITNESS,,{1},,-2.330404282;1.351245761;-1.588982224;-0.7527455091;-3.180145741;0.4308621287;-1.054802418,1,0,18.55796132,1
SUBSET_WITNESS,,{2},,1.331818461;0.2672274709;0.01933930814;-0.76350981;-0.1088228002;-0.08180754632;0.8882604241,1,0,3.803188344,1
SUBSET_WITNESS,,{3},,-0.5726494193;0.4579000473;1.350712538;1.372477293;0.399300456;0.8628347516;0.4846890569,1,0,2.732774216,1
SUBSET_WITNESS,,{4},,0.4344903231;0.00987516623;-0.4375591576;0.2127374262;1.718618393;0.5132260919;-0.4694499671,1,0,1.92716411,1
SUBSET_WITNESS,,{5},,1.343187332;-0.02585365623;2.404749632;1.103645682;0.6174274087;-0.283321172;-0.3753384948,1,0,1.92716411,1
SUBSET_WITNESS,,"{0,1}",,-1.831733942;0.6226352453;-1.066192508;-0.8528155684;-1.80785501;0.3992263973;0.4233908355,6.053479671,5.132106635,6.823391778,1
