row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-1.359466195;0.3784162402;-0.8440116644;-0.5463070273;-0.1967772245;1.171648264;0.1648644358;-1.873700976;1.704791188,,,,,
POINT,1,,1.164757609;-1.152607203;-0.9576122165;1.42677784;0.000703371421;-0.4255789518;-0.4841381013;-1.79280138;0.1377120614,,,,,
POINT,2,,-0.8340650201;-0.8674380183;-1.541446924;-0.09900658578;-1.242330432;-1.243528724;-0.1372529864;0.3063704371;-1.199760675,,,,,
POINT,3,,-0.4730341136;1.167274356;-0.01847604103;1.565217614;-1.234648228;0.357455194;0.8715825081;-0.2940431535;-1.248917699,,,,,
POINT,4,,-0.2200776041;0.1680671573;1.198447585;0.3094848096;0.5325594544;0.379496783;1.685872436;-0.08656368405;1.160799623,,,,,
POINT,5,,1.273911238;-0.6198860407;-0.8271123171;-0.001345534227;0.1928489059;0.6387184858;-0.247500807;1.863313675;-0.2659823596,,,,,
POINT,6,,1.082381845;0.2339414805;0.2539800107;1.063016176;-0.5588172674;-0.01159649063;0.8580489159;0.5089004636;-0.2952362299,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,2.549601078;-0.5384281278;2.353497982;0.3924356699;-0.5947956443;0.9695206881;1.93783772;2.10037756;1.89434433,1,,,1
SUBSET_WITNESS,,{0},,-1.359466195;0.3784162402;-0.8440116644;-0.5463070273;-0.1967772245;1.171648264;0.1648644358;-1.873700976;1.704791188,1,0,7.882643317,1
SUBSET_WITNESS,,{1},,1.164757609;-1.152607203;-0.9576122165;1.42677784;0.000703371421;-0.4255789518;-0.4841381013;-1.79280138;0.1377120614,1,0,6.025139246,1
SUBSET_WITNESS,,{2},,-0.8340650201;-0.8674380183;-1.541446924;-0.09900658578;-1.242330432;-1.243528724;-0.1372529864;0.3063704371;-1.199760675,1,0,6.734249815,1
SUBSET_WITNESS,,{3},,-0.4730341136;1.167274356;-0.01847604103;1.565217614;-1.234648228;0.357455194;0.8715825081;-0.2940431535;-1.248917699,1,0,4.45085668,1
SUBSET_WITNESS,,{4},,-0.2200776041;0.1680671573;1.198447585;0.3094848096;0.5325594544;0.379496783;1.685872436;-0.08656368405;1.160799623,1,0,5.715126093,1
SUBSET_WITNESS,,{5},,1.273911238;-0.6198860407;-0.8271123171;-0.001345534227;0.1928489059;0.6387184858;-0.247500807;1.863313675;-0.2659823596,1,0,3.895090813,1
SUBSET_WITNESS,,{6},,1.082381845;0.2339414805;0.2539800107;1.063016176;-0.5588172674;-0.01159649063;0.8580489159;0.5089004636;-0.2952362299,1,0,3.895090813,1
SUBSET_WITNESS,,"{0,1}",,-0.1399798691;-0.7343623638;-0.3850441873;1.35198307;0.1892975718;0.1620197147;-0.1036503464;-2.018980742;1.172536373,3.921505928,3.642715214,6.805054411,1
SUBSET_WITNESS,,"{0,2}",,-1.142000794;0.1853485852;-0.9476935863;-0.602085948;-0.3427469432;0.6478819847;0.1293095946;-1.521534324;0.4019634128,4.099954605,3.66029023,6.196901639,1
SUBSET_WITNESS,,"{0,3}",,-0.9879812002;0.8221856356;0.1360480487;1.194936156;-0.6535542011;0.8706498742;-0.1332033277;-1.7762959;0.2830316722,4.714591503,3.797148885,6.512289921,1
SUBSET_WITNESS,,"{0,4}",,-0.6995539665;0.1549908519;0.236416176;-0.2172553241;0.03327305615;1.122733951;0.806155622;-0.8135409355;1.291892648,3.518949032,2.7676602,6.92981916,1
SUBSET_WITNESS,,"{0,5}",,-0.06765426695;-0.8245820403;-1.50003922;0.6087830067;-0.2668968439;2.045298576;0.7191582322;-1.269156098;0.4143113494,5.635391235,5.545076517,5.816253599,1
SUBSET_WITNESS,,"{0,6}",,0.08757673204;0.8146768808;-0.7479775548;-0.5142110586;-0.112770699;1.045121193;0.6181984544;-1.366389275;0.5738822222,4.656411171,4.059407612,4.914909618,1
SUBSET_WITNESS,,"{1,2}",,0.1819248945;-0.9359241724;-1.114476323;0.6325071454;-0.4510304332;-0.9350223541;0.02663897537;-1.575288653;-0.5275664926,3.754541874,2.827192368,4.755233916,1
SUBSET_WITNESS,,"{1,3}",,0.4610476196;-0.5281081796;-0.6792436838;1.854326367;-0.758867383;0.3643507063;-0.06397875398;-1.532599092;-0.7848002315,3.804176807,3.08070337,4.734062988,1
SUBSET_WITNESS,,"{1,4}",,0.08943446726;-1.016455412;-0.5446278453;1.638905048;-0.2605476677;0.02105428465;0.5779321194;-0.8829780817;1.107034206,4.090563774,3.927921551,4.263019351,1
SUBSET_WITNESS,,"{1,5}",,1.678468943;-0.9316533208;-0.9952139854;0.5725577474;-0.1921205223;-0.1658759117;-0.4423150122;-0.02480365708;-0.03896280751,3.898164749,3.261867162,4.947527667,1
SUBSET_WITNESS,,"{1,6}",,0.7077960372;-0.2621812224;-0.7807197571;1.445342302;-0.5212243795;0.3714103699;0.04305686802;-0.9224299788;-0.1302277893,3.075992346,2.684197602,3.3295929,1
SUBSET_WITNESS,,"{2,3}",,-0.5901715159;-0.7804831862;-0.3080171347;0.8755863309;-1.198759317;0.500213623;0.1903168112;-0.1178541109;-1.327784181,3.111748457,2.259719108,6.176099528,1
SUBSET_WITNESS,,"{2,4}",,-1.060305238;-0.2092939615;0.3217222095;0.3453295231;0.8715907335;0.07921159267;1.004508376;-0.00258675334;-0.1678415686,4.09625721,3.453283684,4.817866262,1
SUBSET_WITNESS,,"{2,5}",,0.01664292812;-0.8542740941;-1.340173483;0.4478128552;-0.8799506426;-0.3066850305;-0.3061932921;1.385148883;-0.8513661027,3.797869205,3.180344138,4.860430092,1
SUBSET_WITNESS,,"{2,6}",,0.2157218456;-1.058895946;-0.7707681656;-1.079400301;-1.137486815;-0.08525145054;0.4323317707;0.7421677113;-0.7446624637,3.103206396,2.814727543,3.530913681,1
SUBSET_WITNESS,,"{3,4}",,-0.8594933152;0.6887469888;0.285472393;1.176712513;-0.4588441551;0.4570854902;1.599883318;-0.329123944;-0.03932140395,3.680734396,3.228234084,5.490154748,1
SUBSET_WITNESS,,"{3,5}",,0.01560927276;-0.885384798;0.539973259;1.124321818;-0.8751413822;0.07125682384;-0.3393580914;1.597917199;-0.705203414,3.84253335,3.073868385,4.592234151,1
SUBSET_WITNESS,,"{3,6}",,0.4066811502;1.478630662;0.2801258862;1.322993875;-0.9397625327;0.2815155387;1.009455681;-0.5888615251;-0.8018128872,2.276698112,1.531338734,3.514790697,1
SUBSET_WITNESS,,"{4,5}",,0.2653157413;-0.4968640208;-0.05307192728;0.050034035;0.9967987537;0.46887362;-0.2745830119;2.232131004;0.4228521287,2.826242208,1.954452804,4.244142311,1
SUBSET_WITNESS,,"{4,6}",,0.3980992734;0.0888120383;1.48839891;1.516504645;-0.1056248471;0.4085474312;1.248462677;0.1506401449;0.413642168,2.593814135,2.068374094,4.615655664,1
SUBSET_WITNESS,,"{5,6}",,1.432880521;-0.4869892001;0.6139811277;0.8917793036;-0.5853340626;-0.7251150608;-0.6711201668;1.106515765;-0.4956943095,2.127523184,1.783069087,4.708269667,1
SUBSET_WITNESS,,"{0,1,2}",,-0.607041955;-0.9890474081;-0.7734020948;0.773645103;0.2115910947;-0.1866283715;0.01931739226;-1.640233636;0.1488082707,4.976912975,4.723284933,5.880597178,1
SUBSET_WITNESS,,"{0,1,3}",,-0.4344988465;0.7349011898;-0.6816453934;1.488635659;-0.3180367351;0.3454924822;-0.3101422787;-1.593649387;0.2290574312,5.047650814,4.110573992,5.39868943,1
SUBSET_WITNESS,,"{0,1,4}",,-0.1538128406;-0.9875645638;-0.4947553575;1.127664804;-0.1870370954;0.0327584669;0.4008748531;-1.089983344;1.057005167,4.740676403,4.413518135,6.406083588,1
SUBSET_WITNESS,,"{0,1,5}",,-0.05100856349;-0.929166615;-0.2615666389;1.805568576;0.01760230958;-0.05096112937;-0.03828026354;-1.400395989;0.4716793299,5.299821377,4.959277947,5.973885059,1
SUBSET_WITNESS,,"{0,1,6}",,0.357083559;-0.7374569178;-0.3372497857;1.023651123;0.4889628291;-0.1761612892;0.2389897704;-1.66813159;0.7251446247,4.727751255,4.44157154,5.170549143,1
SUBSET_WITNESS,,"{0,2,3}",,-1.204262495;0.3104610443;0.03767256439;0.7242897749;-1.029019237;-0.04963790625;0.4178590775;-1.48721838;0.1871667951,5.025727272,5.018940185,6.536893937,1
SUBSET_WITNESS,,"{0,2,4}",,-0.8577848673;-0.09591608495;-0.7243296504;-0.2217630744;-0.1569607705;0.1041917205;0.9003734589;-0.810673058;0.6138783097,4.857505798,4.847873148,6.552475925,1
SUBSET_WITNESS,,"{0,2,5}",,-0.3198130727;-0.6594173312;-0.9658026099;-0.8961996436;0.03099731728;0.2230227292;-1.721540451;1.452602625;0.2319173962,5.897982121,5.88260437,6.851574731,1
SUBSET_WITNESS,,"{0,2,6}",,-0.4325321019;0.2005328238;-0.8409227133;-0.6855646968;-0.5070169568;-0.5173059106;0.2975651026;-1.418593407;0.1402198374,5.312633991,5.048808188,5.836383811,1
SUBSET_WITNESS,,"{0,3,4}",,-0.8567430377;0.8200293183;0.355045408;0.408619374;-0.2546939552;-0.1145427004;1.580079913;-1.197894335;0.4614959359,5.105009556,4.914732547,5.880521849,1
SUBSET_WITNESS,,"{0,3,5}",,-0.3569994569;0.1589828581;0.1336226314;0.2467386127;-0.6154834628;2.121857643;-0.1279102266;-1.717203498;-0.05316450447,5.817451477,5.759196914,6.325870401,1
SUBSET_WITNESS,,"{0,3,6}",,-0.3541956544;0.7149373889;0.2040177584;0.7064275742;-1.03484273;-0.2773066163;0.7486573458;-1.521237493;0.2303626835,5.271372318,4.813363316,5.756744618,1
SUBSET_WITNESS,,"{0,4,5}",,-0.1553051025;-0.7145515084;-0.9365247488;-0.007357882801;0.1787219793;0.4767005146;-0.224646017;-0.4105879962;1.078195572,5.184942245,5.248763621,5.589425576,1
SUBSET_WITNESS,,"{0,4,6}",,-0.03132086247;0.2980383635;0.2982334495;0.8677846789;-0.4297100008;0.7405022979;-0.171823293;-1.111112475;0.7836185694,4.7147789,3.985185641,5.366691066,1
SUBSET_WITNESS,,"{0,5,6}",,0.6566335559;-0.829888463;-0.9582764506;-0.2937597036;-0.05958477408;1.007054806;1.305475712;-2.029345512;0.8278359771,6.733901024,6.464755761,6.914861277,1
SUBSET_WITNESS,,"{1,2,3}",,0.0004627285234;-1.091359019;-1.368072033;1.199540496;-0.8655633926;0.08781839162;0.1311664432;-0.3343815207;-0.932164073,4.460849762,4.270551298,6.196611479,1
SUBSET_WITNESS,,"{1,2,4}",,-0.4228402078;-0.7589227557;-0.875850141;0.9685018659;-0.03437703848;-0.08249188215;-0.2736417353;-1.016544461;0.2323237658,4.987992764,4.705641966,5.27018158,1
SUBSET_WITNESS,,"{1,2,5}",,-0.445040971;-1.519672275;-1.627552152;0.4421742857;-0.4933732748;-0.3928470612;-0.3371882439;-0.3158607185;-0.4080179036,7.383733273,6.994035518,7.709499103,1
SUBSET_WITNESS,,"{1,2,6}",,0.4908208251;-0.9887120724;-1.43437922;0.4617077708;-0.1795869321;-0.9551637769;-0.1509229541;-0.1413730234;-0.2489999086,3.687112093,3.372613279,4.415038184,1
SUBSET_WITNESS,,"{1,3,4}",,-0.173389107;-0.8662383556;-0.7959021926;1.429072499;0.2606303096;0.2195667326;0.9928156734;-0.7312018275;0.4110947251,4.767130375,4.600632818,5.558427613,1
