row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,0.1507869065;0.8214427829;0.04412285984,,,,,
POINT,1,,-0.5825055838;0.6461496353;0.3559360802,,,,,
POINT,2,,-0.104023695;1.0993011;-0.4482294619,,,,,
POINT,3,,-0.1604049653;-0.2874516547;-0.2286769301,,,,,
POINT,4,,1.00005734;-0.3602002263;-0.4795220792,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,0.06112615764;0.5699492693;-1.836736679,0.3994495273,,,1
SUBSET_WITNESS,,{0},,0.5233888626;0.2715730965;0.3124271929,0.5305717587,0.3513891883,1.072876394,1
SUBSET_WITNESS,,{1},,-0.9239737391;0.7597541213;0.5070857406,0.8208245039,0.1523526981,1.373250591,1
SUBSET_WITNESS,,{2},,-0.6501275897;1.207474113;-0.8838586807,0.7626322508,0.4997036709,1.651634023,1
SUBSET_WITNESS,,{3},,-0.1604049653;-0.2874516547;-0.2286769301,1,0,1.245226763,1
SUBSET_WITNESS,,{4},,1.00005734;-0.3602002263;-0.4795220792,1,0,1.190844651,1
SUBSET_WITNESS,,"{0,1}",,0.3897315264;0.7235286832;0.4420572519,0.9622722268,0.9586494006,1.177609533,1
SUBSET_WITNESS,,"{0,2}",,0.1743916273;1.070653915;-0.1994952261,0.4715044796,0.140204469,0.7909489018,1
SUBSET_WITNESS,,"{0,3}",,0.1420978308;-0.09944950789;0.3351249695,0.6257315278,0.4447253086,0.8555627168,1
SUBSET_WITNESS,,"{0,4}",,1.048742175;0.7451549172;-0.1311879158,1.014468789,0.8428774141,1.55480396,1
SUBSET_WITNESS,,"{1,2}",,-1.020117998;0.8574787378;-0.1613277495,1.097311616,0.9800193943,1.414526714,1
SUBSET_WITNESS,,"{1,3}",,-0.5166608095;-0.2297432125;-0.1724682003,1.368480325,1.050734949,1.597390026,1
SUBSET_WITNESS,,"{1,4}",,0.7568714619;-1.397870302;0.6205782294,2.651462555,2.529439848,2.78315281,1
SUBSET_WITNESS,,"{2,3}",,-0.64047575;0.4474021494;-0.8038414717,1.181239247,1.101292312,1.387945056,1
SUBSET_WITNESS,,"{2,4}",,0.6579676867;1.749536276;-0.6726367474,1.154500961,1.053795256,1.632334232,1
SUBSET_WITNESS,,"{3,4}",,0.4269962013;-0.3928213418;-0.5740913749,0.5690501928,0.4754540306,0.7528872578,1
SUBSET_WITNESS,,"{0,1,2}",,-0.4564031959;1.19419992;0.117405422,1.143534064,0.5129980743,2.20625145,1
SUBSET_WITNESS,,"{0,1,3}",,-0.03043654934;-0.1068541259;0.6955274343,0.8515350223,0.9036609512,1.476635988,1
SUBSET_WITNESS,,"{0,1,4}",,1.116290808;0.4465670884;0.9062122107,3.310117245,3.228546117,3.456708729,1
SUBSET_WITNESS,,"{0,2,3}",,0.02060370892;0.5014203787;-0.6105118394,0.9912099242,0.7209427357,1.28778247,1
SUBSET_WITNESS,,"{0,2,4}",,0.2923025787;1.45759809;-0.2257987857,1.056666732,0.7926995754,1.762153447,1
SUBSET_WITNESS,,"{0,3,4}",,0.3516179919;-0.1181402281;-0.1152207702,0.8092468381,0.6117820702,0.9864931032,1
SUBSET_WITNESS,,"{1,2,3}",,-0.794695437;0.4342415333;-0.6486224532,1.242269278,1.099067446,1.523757845,1
SUBSET_WITNESS,,"{1,2,4}",,0.8796755075;-2.072747469;0.394774586,4.553081989,4.423492297,4.657740265,1
SUBSET_WITNESS,,"{1,3,4}",,-0.3718326092;-0.8964373469;-0.3356353045,2.278045416,2.076739036,2.44952376,1
SUBSET_WITNESS,,"{2,3,4}",,0.4149702787;-0.1060379222;-1.425764918,2.024349213,1.810334116,2.418130923,1
SUBSET_WITNESS,,"{0,1,2,3}",,-0.1740368456;0.5698604584;-0.06921187043,1,0.6065311222,1.816595286,1
SUBSET_WITNESS,,"{0,1,2,4}",,0.3695625961;1.435369134;0.04085433856,1.786251545,1.628577791,3.007792264,1
SUBSET_WITNESS,,"{0,1,3,4}",,0.5173872113;0.203065142;0.297298044,1.309494376,1.253151948,1.679475233,1
SUBSET_WITNESS,,"{0,2,3,4}",,0.6375147104;-0.0725139603;-0.4436886907,2.001034975,0.9043086125,2.311493408,1
SUBSET_WITNESS,,"{1,2,3,4}",,-0.2973397374;-1.330838561;-0.4692101777,3.470854044,2.767415645,3.606521368,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,0.3017991483;0.5351827145;-0.1958758682,2.306529284,,,1
