row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-0.9362449646;0.4414118528;0.3339541554;1.135933876;0.2034435272;1.093795538,,,,,
POINT,1,,1.459545255;-0.05099955201;0.3916865885;-0.3746716082;-0.1837862134;0.5460865498,,,,,
POINT,2,,1.600158572;-0.9906752706;0.3372957706;0.2747872472;-1.509515762;-0.7158467174,,,,,
POINT,3,,-0.06330002099;-0.6595242023;1.130227447;-1.043323874;0.2106010914;-0.4050291181,,,,,
POINT,4,,1.111982584;-1.614658833;-0.2215653658;0.9247124791;0.04596174881;-0.7945532799,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,0.7020578384;0.9620953798;-0.8233424425;1.092251778;0.1087986603;1.693440676,1,,,1
SUBSET_WITNESS,,{0},,-0.9362449646;0.4414118528;0.3339541554;1.135933876;0.2034435272;1.093795538,1,0,5.748113257,1
SUBSET_WITNESS,,{1},,1.459545255;-0.05099955201;0.3916865885;-0.3746716082;-0.1837862134;0.5460865498,1,0,4.082821861,1
SUBSET_WITNESS,,{2},,1.600158572;-0.9906752706;0.3372957706;0.2747872472;-1.509515762;-0.7158467174,1,0,1.854782601,1
SUBSET_WITNESS,,{3},,-0.06330002099;-0.6595242023;1.130227447;-1.043323874;0.2106010914;-0.4050291181,1,0,3.892994052,1
SUBSET_WITNESS,,{4},,1.111982584;-1.614658833;-0.2215653658;0.9247124791;0.04596174881;-0.7945532799,1,0,1.854782601,1
SUBSET_WITNESS,,"{0,1}",,0.1764898598;0.3171201646;0.554977119;0.7302901745;0.04514668882;0.8486769795,2.814980268,2.165077572,4.286118625,1
SUBSET_WITNESS,,"{0,2}",,0.6895279288;-1.311073065;0.3824344873;1.002710462;-1.518306255;1.438046813,6.194719315,6.103146847,6.411782138,1
SUBSET_WITNESS,,"{0,3}",,-0.53215909;0.03138756007;1.245106339;-0.7294501066;0.129861176;0.312202692,2.788080931,1.921462696,4.980943357,1
SUBSET_WITNESS,,"{0,4}",,0.444634527;-1.699826002;0.07399825007;1.393379331;0.3494400084;0.293007791,3.70130372,3.421308273,3.921611184,1
SUBSET_WITNESS,,"{1,2}",,1.306910276;-0.5095694065;-0.4815349281;0.6642875075;-0.9195898771;-0.1298850179,1.847025275,1.526679032,2.234369593,1
SUBSET_WITNESS,,"{1,3}",,0.7724440098;-0.3503340781;0.8916988373;-0.8017296791;-0.06837316602;0.1906901598,2.11814642,1.342038382,3.433832718,1
