row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-0.1765779406;-0.12480703;-0.6019818187,,,,,
POINT,1,,-0.4975230396;-0.01907877624;-0.1819905937,,,,,
POINT,2,,-1.190642238;1.781262398;-0.1518389136,,,,,
POINT,3,,0.7488152981;-0.7300174832;-0.3268279135,,,,,
POINT,4,,-1.251905918;0.7171643972;0.9334819913,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,0.4985870123;1.690314054;-0.8876803517,1,,,1
SUBSET_WITNESS,,{0},,-0.3952331543;-0.9842591882;-1.056458354,0.5655549169,0.4736252911,1.560284091,1
SUBSET_WITNESS,,{1},,-0.8598577976;-0.05479421839;0.2446601391,0.5251549482,0.3145929066,1.188575771,1
SUBSET_WITNESS,,{2},,-1.190642238;1.781262398;-0.1518389136,1,0,2.313979321,1
SUBSET_WITNESS,,{3},,0.7488152981;-0.7300174832;-0.3268279135,1,0,1.27917007,1
SUBSET_WITNESS,,{4},,-1.251905918;0.7171643972;0.9334819913,1,0,2.313979321,1
SUBSET_WITNESS,,"{0,1}",,-0.3370504975;-0.0719429031;-0.3919861913,1,0.07264422253,1.40273948,1
SUBSET_WITNESS,,"{0,2}",,-0.5170648098;1.314301848;-1.574201941,3.418573618,3.132177457,3.716538006,1
SUBSET_WITNESS,,"{0,3}",,0.5100232959;-0.3514786959;-1.098203897,0.8498482704,0.795334179,1.965086073,1
SUBSET_WITNESS,,"{0,4}",,-0.5239483714;-3.449744463;-0.3621236384,8.613937378,8.447263688,8.866437461,1
SUBSET_WITNESS,,"{1,2}",,-0.8591877222;0.9758018851;-0.2968099415,1.44584775,1.133772411,1.734739281,1
SUBSET_WITNESS,,"{1,3}",,0.1989940256;-0.4720640182;0.5041057467,1.235210657,1.087562498,1.485071398,1
SUBSET_WITNESS,,"{1,4}",,-0.8747144938;0.349042803;0.3757457137,1,0.5888566375,1.667879477,1
SUBSET_WITNESS,,"{2,3}",,0.04721162841;1.667639017;-0.4773288667,2.453416109,1.651136208,3.228977263,1
SUBSET_WITNESS,,"{2,4}",,-1.221274137;1.249213457;0.3908215463,1,0.5784948863,2.460494459,1
SUBSET_WITNESS,,"{3,4}",,0.8691384196;0.1802639365;1.884773731,5.829642773,5.734272344,6.179015931,1
SUBSET_WITNESS,,"{0,1,2}",,-0.7172130346;0.8580216169;-0.9080654383,1.927626848,1.648387298,2.530703257,1
SUBSET_WITNESS,,"{0,1,3}",,0.02490476705;-0.2913011014;-0.3702667654,1,0.7184054253,4.347008944,1
SUBSET_WITNESS,,"{0,1,4}",,-0.8502483368;0.2491291314;-0.02316830307,2.096091509,1.29556568,2.479856269,1
SUBSET_WITNESS,,"{0,2,3}",,0.1288778931;1.756221294;-1.442794204,4.531521797,4.338536084,5.133694112,1
SUBSET_WITNESS,,"{0,2,4}",,-0.5656489134;-2.206788778;1.144014835,6.032238483,5.969627514,6.037307699,1
SUBSET_WITNESS,,"{0,3,4}",,0.3641740978;-1.795882225;0.9341342449,4.446183681,4.31656608,4.582608283,1
SUBSET_WITNESS,,"{1,2,3}",,-0.04377616942;1.419029355;0.04818508402,2.56102562,2.327021867,2.735942572,1
SUBSET_WITNESS,,"{1,2,4}",,-1.043234706;1.105798244;0.1289055496,1.963687539,1.659805812,2.799679577,1
SUBSET_WITNESS,,"{1,3,4}",,0.3476358056;-0.5689197779;1.435109735,4.385049343,3.792079419,4.621777818,1
SUBSET_WITNESS,,"{2,3,4}",,0.09879120439;1.839517236;0.299434334,3.702615023,3.42968446,4.041739747,1
SUBSET_WITNESS,,"{0,1,2,3}",,-0.1763612032;1.26074028;-0.7395521402,2.8942523,2.05195649,4.25131461,1
SUBSET_WITNESS,,"{0,1,2,4}",,-0.7835453749;0.4461485744;0.03136269376,2.437602758,1.981819443,3.076787705,1
SUBSET_WITNESS,,"{0,1,3,4}",,-0.5117602944;0.242750302;0.5378082991,2.927610397,2.708701927,3.303513378,1
SUBSET_WITNESS,,"{0,2,3,4}",,0.7583836317;3.371168137;-0.796112895,13.12972355,13.13368278,13.44822124,1
SUBSET_WITNESS,,"{1,2,3,4}",,-0.2115757912;1.726589441;0.2912414074,3.564399242,3.353071682,4.226741407,1
SUBSET_WITNESS,,"{0,1,2,3,4}",,-0.5209774971;1.136493921;0.1072005257,2.998511791,,,1
