row_type,point_index,subset_I,Q_values,P_values,Delta,hard_dtw_max_in,hard_dtw_min_out,hard_dtw_valid
SHATTERED_SET,,,,,,,,
POINT,0,,-1.186239243;1.168109775,,,,,
POINT,1,,-0.966160059;0.2865070403,,,,,
POINT,2,,-0.1763489246;0.1753050089,,,,,
WITNESSES,,,,,,,,
SUBSET_WITNESS,,{},,2.175890207;0.7759913802,1,,,1
SUBSET_WITNESS,,{0},,-1.2267735;1.496859193,0.8167792559,0.1097192036,1.532871716,1
SUBSET_WITNESS,,{1},,-1.135978818;0.03561677411,0.6713596582,0.09178432822,0.9404023606,1
SUBSET_WITNESS,,{2},,0.1777822375;0.2753151059,0.7660970688,0.1354108928,1.308729381,1
SUBSET_WITNESS,,"{0,1}",,-1.076199651;0.7273083925,1,0.2064145636,1.11443904,1
SUBSET_WITNESS,,"{0,2}",,-0.2285783589;1.323590517,1.453942657,1.321287561,1.619569004,1
SUBSET_WITNESS,,"{1,2}",,-0.5712544918;0.2309060246,1,0.1590418851,1.256557167,1
SUBSET_WITNESS,,"{0,1,2}",,-0.7762494087;0.5433072448,1,,,1
