k,m,run_id,d_max,points_json,subset,witness_json,delta
15,2,1,5,"[[1.5345477315999723, 0.9352299206005532, -4.652214093952135, 4.932638292911377, 0.004220716898580834, 4.532203992312132, -0.7763991039627904, 4.511055227472234, -0.9094306672152463, -3.0689819512866547, 3.7162889850513348, -4.428473473400713, 0.7067602540223317, 4.186451125956374, -0.4246570007280215], [2.1782286784288374, -2.85954027025264, -3.0892492228129553, 3.7868802658172274, 0.9393388702795125, -3.7668643347139796, -0.9187309693614598, 0.06653094386249947, 1.315835430554524, 0.42524022682378537, 4.572612179576083, 2.683365294155129, -1.3580580130397901, 1.4489763639766118, -4.806308423003161], [-2.5859412113417415, -3.876476030785301, 4.602963350428046, -3.7313391335990342, 1.6719620798892254, -2.4376657116643563, 2.868753537290428, 0.5339892322914508, -0.3340656518794394, 2.532982694476511, 2.1265538589604738, -0.49118967788361, -3.005455588058984, -3.698998256870205, -0.4018734401655588], [1.5269787041469984, 3.885018469446125, -4.874658704808268, -0.4066741861676604, 4.620608449614662, 4.131911278567859, 0.7558961897499727, 2.289747780143745, -1.8062110114309116, -2.65235802676967, 0.7341260828044427, 2.3012156151401006, -1.9739033067870404, -1.9118751107537246, 2.660861596135229], [-4.536834453964159, 0.7171426110274859, 2.8126655095721222, -4.285105693970631, -1.7999614406005982, 1.4960390477532837, 2.667767213095491, 3.6043508859736892, -2.7867273096553546, 2.4889249462719443, 4.381983477025608, -3.3036571477046985, -2.941225992159776, 0.6176592474134646, -0.523522283086052]]",__POINTS__,,
15,2,1,5,,1,"[-4.885172450494567, 3.760834361846458]",274.92513279864556
15,2,1,5,,2,"[0.3874689439673495, -4.806385070595167]",84.5891779524
15,2,1,5,,3,"[-3.2321558167648052, 0.018692345164718467]",87.35911771388393
15,2,1,5,,4,"[1.491429055768547, -0.3810515841495798]",97.56455876467474
15,2,1,5,,5,"[-6.416036983497266, 0.2966947690928799]",108.65353795029397
15,2,1,5,,"1,2","[1.6702222912305473, -7.68113346862355]",206.6092324707689
15,2,1,5,,"1,3","[-4.88242487561197, 3.60479536864437]",265.116001998263
15,2,1,5,,"1,4","[1.0951307147208904, 2.621260917321291]",146.76885632080615
15,2,1,5,,"1,5","[-3.02868882033537, 3.0490008306443124]",199.26454081025918
15,2,1,5,,"2,3","[0.10133989121476682, -2.4328560286609093]",91.36863304835852
15,2,1,5,,"2,4","[0.8266074990422564, -0.8696072805405032]",102.78659101930977
15,2,1,5,,"2,5","[-1.3998176979701824, 1.4527779914501455]",120.82113075586955
15,2,1,5,,"3,4","[-0.010664558138786372, 1.3670801020272398]",111.08990526809163
15,2,1,5,,"3,5","[-4.536143001248034, 0.22458914086102244]",105.0496478734117
15,2,1,5,,"4,5","[-12.689550766804158, 4.936598753436857]",580.7577176883963
15,2,1,5,,"1,2,3","[1.1246318295501532, -4.87611437836201]",164.6677165446452
15,2,1,5,,"1,2,4","[2.575384138463881, 0.8951301194479376]",145.93083066194836
15,2,1,5,,"1,2,5","[-2.97715444747097, 2.7826740255176783]",186.83812050394718
15,2,1,5,,"1,3,4","[0.6522205966456585, 2.9027742904744587]",143.93400263327695
15,2,1,5,,"1,3,5","[-3.823819980094407, 3.1959562547537934]",219.33713246434556
15,2,1,5,,"1,4,5","[1.942650969187227, 4.785743943794183]",210.45682168745873
15,2,1,5,,"2,3,4","[0.7901644210684121, -0.8411004566647607]",102.99428175406295
15,2,1,5,,"2,3,5","[-2.5869090385081632, 0.26550888404797435]",108.87512811170399
15,2,1,5,,"2,4,5","[-1.373124525756465, 1.46655600092436]",121.07477186617784
15,2,1,5,,"3,4,5","[-0.028956427922093575, 2.9431670699884336]",138.0450036900714
15,2,1,5,,"1,2,3,4","[1.6699542968343841, 0.004881811022057951]",138.07316290650806
15,2,1,5,,"1,2,3,5","[0.7957710707980149, -4.681549351307266]",161.51394233751492
15,2,1,5,,"1,2,4,5","[-2.5224948337996866, 2.575455228187113]",173.3776802113856
15,2,1,5,,"1,3,4,5","[0.588891223478533, 2.9477397559364684]",143.99141239023123
15,2,1,5,,"2,3,4,5","[-1.0501989612387288, 0.6537740738332094]",113.77708518845587
15,2,1,5,,"1,2,3,4,5","[-0.7275186349715792, 1.0816901299302657]",136.9395897792317
