k,m,run_id,d_max,points_json,subset,witness_json,delta
16,2,1,5,"[[-1.4967229293827389, 3.928232193411605, -2.031452605109614, 2.355202741698509, 0.09040031406224669, 2.604738289306896, 0.47674466031845775, -2.9003506728623685, -0.8664924019793263, 2.1940179498432144, 3.482019360955423, 1.4058116239699092, 0.6715443763598883, -1.9162365564728279, 3.1014462188832805, -0.7589724444099322], [3.7729905037768297, 4.667743100178509, 1.1576228513050946, 2.4979133141319343, 3.436015286114509, -3.1029093157285947, -0.9106178835907253, -1.5103703444801198, -4.002715972685963, 3.458045101417314, 4.430996633709183, 4.807121290827968, -3.817611501855801, 3.2340272344002496, 4.295659803263437, 2.7466749249598954], [-3.615349254000988, -0.3581937202298424, -2.3630811588964242, 0.9974555923834372, 3.305324108979102, -4.161407671799902, 4.467753805875513, -0.18820627324030448, 3.1082475668487106, -4.683544914654728, 1.1112589934525396, 3.740971831983325, 4.167675195503336, 2.848770542800737, 1.9987983630862605, -0.0318637842545344], [-3.0110661719813714, -2.479028753040148, -3.1044070066752196, -4.132525466222653, -2.047194972325761, 1.7520564416529005, 4.657926052999031, -2.6194423617154303, -4.5737743698489775, -4.2127088550595, 0.8124359971214712, 1.1368325053113637, -3.3141933059767616, 1.8430102344635957, 1.6516842935492293, -2.5780203892503706], [-1.4837626084754663, -0.7337189567259683, 4.316793660117593, -0.7934382933108064, -0.2582375056502795, 1.4393279742518195, 1.487907855623608, 2.227070980781879, 1.1313726537901314, -2.360983889704692, 3.0840911375719173, 0.27306798501303575, 1.5177325754916626, -2.1381961489575065, 0.7896778492992973, 0.5664274417905579]]",__POINTS__,,
16,2,1,5,,1,"[1.341365625149207, -5.360023290929064]",94.56753488822295
16,2,1,5,,2,"[8.497865452418717, 2.0750121304657285]",173.81467864519493
16,2,1,5,,3,"[-4.497169269416193, 4.618196924021374]",270.4583870730774
16,2,1,5,,4,"[-3.2836245297973807, -1.140500614917746]",100.18749190618807
16,2,1,5,,5,"[-1.113670060522956, 0.8056985679758014]",44.025239328364194
16,2,1,5,,"1,2","[5.973751284169729, -7.322269543967891]",551.2343358880057
16,2,1,5,,"1,3","[-9.596002791131793, 8.12856488486412]",938.7920082352472
16,2,1,5,,"1,4","[-1.701669582582834, 3.3503135832332536]",135.36472048650077
16,2,1,5,,"1,5","[-1.4977018769871802, 0.7889665563673136]",65.17974986078565
16,2,1,5,,"2,3","[-15.269501218320382, 14.347859791715399]",3012.4644264508297
16,2,1,5,,"2,4","[18.037052999815213, -2.5514797474689463]",585.9183823471242
16,2,1,5,,"2,5","[6.843174130163424, 2.031027187833538]",157.86889790669653
16,2,1,5,,"3,4","[-1.7364221067557477, 3.451355440466184]",138.32044737573628
16,2,1,5,,"3,5","[-1.2882561749642418, 3.623118842672176]",129.88011051495243
16,2,1,5,,"4,5","[-2.9695869632618064, -0.589786473439033]",95.86932010812482
16,2,1,5,,"1,2,3","[-14.881320900607438, 13.413882997358105]",2648.8499503390512
16,2,1,5,,"1,2,4","[8.357371722269345, -6.4805236667907185]",866.2716580529477
16,2,1,5,,"1,2,5","[3.102330735994485, 0.8752834423026302]",133.2216571186549
16,2,1,5,,"1,3,4","[-1.7215329457120434, 3.3701770901941814]",136.83328269082224
16,2,1,5,,"1,3,5","[-2.1122080486218544, 1.2831717973183052]",109.5354765350185
16,2,1,5,,"1,4,5","[-2.9552863192384646, -0.49470562407495966]",95.76925278494635
16,2,1,5,,"2,3,4","[-4.765633048062052, 6.823997649460889]",516.0850162137585
16,2,1,5,,"2,3,5","[-14.524635610651139, 13.93688163743381]",2827.864562727151
16,2,1,5,,"2,4,5","[14.1072761333579, -1.8607201325398888]",413.9884474659218
16,2,1,5,,"3,4,5","[-1.9603926903849278, 2.8746483200965307]",130.63667679111873
16,2,1,5,,"1,2,3,4","[-3.9920709782268893, 5.6407151065834515]",387.90825775602104
16,2,1,5,,"1,2,3,5","[0.6666191189556951, 2.735864648078497]",133.47622355715464
16,2,1,5,,"1,2,4,5","[2.147901672722466, -0.25496593433824594]",151.86822550881138
16,2,1,5,,"1,3,4,5","[-1.772509171349374, 1.1759799058205713]",110.03103420648891
16,2,1,5,,"2,3,4,5","[-4.340011341666707, 6.674874043531497]",467.7145847333625
16,2,1,5,,"1,2,3,4,5","[-0.2861347724077951, 2.3138046394392484]",142.90770760084877
