k,m,run_id,d_max,points_json,subset,witness_json,delta
5,2,1,5,"[[3.9733409599574374, -4.204377233754241, -4.589038812289083, 4.995131373564408, 0.42435423879169654], [-0.14854595974190588, -3.71778765356534, 1.5033715684287074, -3.0677056037589576, 0.1413857797506468], [0.26403359249209113, -2.7722531204674428, 4.0471057127921695, -4.771032143426961, -3.586755287784923], [-2.46597433451496, 3.573345638415517, 3.105260413959204, -4.965249276363491, -3.6325424430808995], [-3.6824410801863228, 4.8612190531863, -1.9460236376192208, -4.786045868272898, -3.216565241281942]]",__POINTS__,,
5,2,1,5,,1,"[6.797285546027338, -0.541998517721644]",69.35986111368899
5,2,1,5,,2,"[-1.9336626612305154, -0.4755630289835217]",17.385754727604354
5,2,1,5,,3,"[0.5129620689958858, -4.178893697922501]",24.046031357885447
5,2,1,5,,4,"[1.4042105726196625, -4.298895859722891]",23.46510246353815
5,2,1,5,,5,"[-6.908926962058984, -1.2596834335515525]",64.6113397042369
5,2,1,5,,"1,2","[-1.6066823944467203, 2.709432260672068]",57.225130917663826
5,2,1,5,,"1,3","[9.522613821706948, -6.7884938152820045]",233.58299550815735
5,2,1,5,,"1,4","[9.446885572222858, -6.723410021204211]",229.27550381247127
5,2,1,5,,"1,5","[10.825817239582202, -8.092154610708912]",318.54264365274344
5,2,1,5,,"2,3","[0.012007819833129317, -3.142159672657595]",26.948531766551007
5,2,1,5,,"2,4","[1.1632501250367002, -2.706685171066695]",28.70955884163697
5,2,1,5,,"2,5","[-3.7001143668759435, -1.2727708943591785]",54.2008517834159
5,2,1,5,,"3,4","[0.851247841368534, -4.224442226654531]",24.393492499553403
5,2,1,5,,"3,5","[-1.471017410599078, -5.679830830406134]",52.07977311651064
5,2,1,5,,"4,5","[4.718408723170364, -4.222609001745167]",77.10709827980516
5,2,1,5,,"1,2,3","[3.666495126918621, -0.9246013342052605]",61.5905262203836
5,2,1,5,,"1,2,4","[3.640124828696233, -0.9299546283075011]",61.16257018656593
5,2,1,5,,"1,2,5","[-2.706913258972655, 2.570911333716205]",96.62491215618168
5,2,1,5,,"1,3,4","[9.478774869621645, -6.797806484002399]",233.1473212556312
5,2,1,5,,"1,3,5","[10.26837361535892, -7.439263495119182]",278.90897957911733
5,2,1,5,,"1,4,5","[10.298870145303217, -7.617955266744308]",284.6078669723031
5,2,1,5,,"2,3,4","[0.9834784609078273, -2.7513392607096687]",28.786011847330773
5,2,1,5,,"2,3,5","[-1.2490773674103142, -3.822858034287583]",45.038037164156854
5,2,1,5,,"2,4,5","[-2.950379560484376, -0.3643715581054821]",59.62762787606119
5,2,1,5,,"3,4,5","[1.290190505035147, -3.642962362841328]",41.84736521765015
5,2,1,5,,"1,2,3,4","[3.6222843784722616, -0.9408376176793085]",61.182780175428455
5,2,1,5,,"1,2,3,5","[-1.2144463877419063, 1.7712232401174073]",81.17427040907049
5,2,1,5,,"1,2,4,5","[-3.016206533893003, 0.7446062262919729]",70.9088506884328
5,2,1,5,,"1,3,4,5","[9.526184698520526, -6.908411729638074]",238.989162352954
5,2,1,5,,"2,3,4,5","[0.5901104923462713, -3.319534371798764]",40.54485562646834
5,2,1,5,,"1,2,3,4,5","[2.7997360180176485, -1.25407441563559]",63.073318550329226
