k,m,run_id,d_max,points_json,subset,witness_json,delta
8,2,1,4,"[[-4.3948318917087175, 3.551819167788366, 2.2480389475378626, -2.324356005465902, -0.9028969799249387, -1.0685783906500634, 3.576500255741768, 0.852668641429245], [1.292037259898543, -0.12823258826296202, 0.5075605497798608, -3.781887064345464, -1.4801779013873373, -2.0108857164401153, -4.3523744309340255, -4.309922690342196], [1.033409232100555, -2.4092232121260992, 0.3084439637783032, -3.186432600782246, 4.867483407307129, 0.658615116357909, 1.2538206619507264, 2.740867296195113], [-0.141819967079313, 1.1520313353648648, 4.157988936860817, 1.9178099170135443, -4.577070719862585, -3.7545555268507957, -3.6416142530798803, -2.1159939697005736]]",__POINTS__,,
8,2,1,4,,1,"[-4.394908608910102, 0.8475992113515228]",33.518237058143185
8,2,1,4,,2,"[0.5556162162555426, -3.1875370864128416]",8.281705700559236
8,2,1,4,,3,"[-1.0591337451309537, 2.384513508775365]",23.146466005245735
8,2,1,4,,4,"[1.7715025594451803, -3.5223086152128533]",12.91968720321836
8,2,1,4,,"1,2","[-1.6810589223753758, -0.01955148751998327]",46.14645512979456
8,2,1,4,,"1,3","[-2.4650044392710813, 1.0906108924377247]",37.655854369073836
8,2,1,4,,"1,4","[-7.327374124398462, -0.34002977880780005]",122.85445824303534
8,2,1,4,,"2,3","[-1.3301855478530735, 0.0068175905618727325]",45.96261901227746
8,2,1,4,,"2,4","[1.7320764762072203, -3.5045135815719]",12.927171519341286
8,2,1,4,,"3,4","[9.206375070803237, 2.3866357385985473]",235.09139835342813
8,2,1,4,,"1,2,3","[-1.5604937487650727, 0.029623342771869256]",46.23530330464245
8,2,1,4,,"1,2,4","[-0.26272557794273393, -1.7380151776414912]",64.68982855964018
8,2,1,4,,"1,3,4","[1.8960033923439956, 0.7535195416912331]",86.11251482008015
8,2,1,4,,"2,3,4","[0.5575648364739464, -0.5878459810874653]",53.258550736703945
8,2,1,4,,"1,2,3,4","[0.6811333446684337, -0.3460218874180134]",58.030496830849124
