k,m,run_id,d_max,points_json,subset,witness_json,delta
13,2,1,5,"[[0.7096130728247463, 3.424294238429736, -0.5064711143843881, 2.0297027573466107, -0.9293300336724475, -1.825667303459283, 3.4638196697710066, -0.9796550876079457, -3.2232400194696464, 2.364034320919508, 0.2875064934620264, 4.051232512798246, 2.519493542568596], [1.6013897378511788, -3.4257571595146485, 0.9123269346838447, 2.2311873671574523, 4.48751525612452, 3.930903321549819, 2.3243114768839837, -1.9298823141183596, -0.4419669160366846, -4.769367748428824, -4.3139254307616515, -4.676280952963695, 4.305939388034854], [2.7477584968919153, 1.816111508339674, -1.2879324979717177, 2.8548488268304686, -4.159930653614018, 0.6625679145186192, -0.4936696062730639, -1.628943732611623, -0.0034932454958991332, 0.03234465624750715, 2.609874346946308, -1.1268788102032856, 2.1174566140318882], [1.2883844991106708, -0.013450333086647559, 0.32388733325453, 2.607324981523406, 2.5026100649667726, -1.7333404848808653, -2.0898758659560093, 4.222129822978986, -2.838637137954063, -2.483533872656606, -1.099314401071363, -4.430622599977994, 3.773860873404762], [-1.1066658993201917, 2.3302191567396235, -4.453369992370822, 1.0336659503386914, -2.0746001247877075, -1.9668216515285042, 4.752286436859194, -4.273700024282936, -4.916564761366712, 0.7967174770227015, 3.935383731693729, -3.8027839348217585, 0.9591982026937007]]",__POINTS__,,
13,2,1,5,,1,"[0.4355734981953304, 3.2771683267270477]",48.88661172108156
13,2,1,5,,2,"[2.9638921913285814, -2.949645559066301]",119.2212097592232
13,2,1,5,,3,"[2.2819349700356586, -0.038523335454055646]",43.43375801660731
13,2,1,5,,4,"[1.261547111617216, -2.1133330324424957]",76.54356911690093
13,2,1,5,,5,"[-6.283875593473683, -1.6503667818105947]",165.16499491007266
13,2,1,5,,"1,2","[2.371184817033199, -5.139633305000035]",159.92418992009922
13,2,1,5,,"1,3","[0.27465536640289584, 2.8027337115887123]",49.64467893395963
13,2,1,5,,"1,4","[-1.9105913578303964, 4.053908952093354]",104.66391714183725
13,2,1,5,,"1,5","[-8.268438065652967, -0.8072522675713705]",177.73868582059103
13,2,1,5,,"2,3","[3.01246272002673, -2.7465204032085104]",117.94332826118813
13,2,1,5,,"2,4","[2.02066616345616, -2.8711153473264823]",108.17908805718004
13,2,1,5,,"2,5","[9.229780426390828, -7.304230800530461]",720.6743320312676
13,2,1,5,,"3,4","[0.8878027195006152, -1.4240297417509322]",72.99655225505163
13,2,1,5,,"3,5","[-4.916978012275103, -1.5081136089750387]",149.67344067729724
13,2,1,5,,"4,5","[-9.103563099269724, -1.6776459114492552]",225.21379210244376
13,2,1,5,,"1,2,3","[1.278866621048168, -5.248917888485921]",147.6851795521629
13,2,1,5,,"1,2,4","[2.012325516092395, -2.9771680103861886]",109.35793947493643
13,2,1,5,,"1,2,5","[-10.182179098344594, 9.526644003309071]",1276.0519513328704
13,2,1,5,,"1,3,4","[0.8369307133652814, -1.1607248704672255]",73.34237142329603
13,2,1,5,,"1,3,5","[-2.6943360430626697, 1.7792773941882767]",146.0034350478162
13,2,1,5,,"1,4,5","[-9.995848513977245, -1.1865020149653511]",228.9112892670019
13,2,1,5,,"2,3,4","[2.119702558126586, -2.099164800482584]",103.89680355643128
13,2,1,5,,"2,3,5","[6.949080168618108, -4.241592376375957]",324.80731387465954
13,2,1,5,,"2,4,5","[-4.254202884165986, 9.387544380019655]",336.62348519743324
13,2,1,5,,"3,4,5","[-1.3081196439731362, -2.2732944249770313]",132.93311175318803
13,2,1,5,,"1,2,3,4","[1.7278022106014226, -1.9714091880610753]",102.69735374745196
13,2,1,5,,"1,2,3,5","[-5.6815732750774615, 4.766514644012563]",420.8893227335988
13,2,1,5,,"1,2,4,5","[-5.014276667920281, 7.27168387541444]",397.9468473160262
13,2,1,5,,"1,3,4,5","[-1.1863825494943963, 0.465107086703285]",118.69806335080013
13,2,1,5,,"2,3,4,5","[3.3389688222716236, -2.536793933034953]",166.3781014000689
13,2,1,5,,"1,2,3,4,5","[0.6121453066242459, -0.9098319647932301]",122.39381950938035
