k,m,run_id,d_max,points_json,subset,witness_json,delta
10,2,1,5,"[[-0.6981597829392117, 0.49431161319480665, -1.8243339109425694, -2.0654417289052294, 0.8493267387453807, -1.3429390015431275, 0.2895734649933135, -0.8452205795551315, -0.18987119362611438, 3.726908145599328], [-3.717930061022825, 1.1342127767326737, 1.7815546115513847, 3.8060929748521763, 2.1575074819849824, -2.156393128649856, -0.63280197913682, 3.9151406731931537, 4.472378958756229, 2.9766021864709478], [-4.721865287636584, 1.9235163289096568, -2.306144854219805, 2.2236743665199485, 3.3820622118655685, -3.9480664198118576, -1.5772059763039492, -1.488468617980555, 0.575788728080312, 4.948013016340058], [-3.4969769336221246, 0.9446943413137543, -3.374368793013076, -0.32301762116335286, 1.1399941717599449, -4.623415541949129, 2.82072931157706, -3.0259325566263175, 0.5792856590938833, 0.9602874219318958], [-1.2770864494592438, -1.7690190131703287, -0.6545332580784913, -2.6630881066960113, -4.949814250888588, -0.13920804926774943, 1.1933111347130254, -4.6379645373835725, 2.059455465535093, -4.41085179955992]]",__POINTS__,,
10,2,1,5,,1,"[-0.5925282351833138, 3.726987117418618]",8.525349876547105
10,2,1,5,,2,"[-3.7021942977638185, 1.9529788221519881]",38.994336899320956
10,2,1,5,,3,"[-8.349795074866174, 0.3873182150814674]",82.1261676914809
10,2,1,5,,4,"[-5.851473316683454, -0.9174573318712067]",57.55413961008852
10,2,1,5,,5,"[-1.426438559216896, -4.410930553966899]",45.664390693022014
10,2,1,5,,"1,2","[-2.548721637797715, 1.766638820119656]",40.62798216379901
10,2,1,5,,"1,3","[-0.7986486205616499, 5.921305403000399]",65.52434698058073
10,2,1,5,,"1,4","[-1.6220064546826498, 0.3337026085000793]",49.424086824799055
10,2,1,5,,"1,5","[-1.2231275848029968, -2.426830540425786]",49.97274923502478
10,2,1,5,,"2,3","[-7.4691127860669395, 0.7671099578119575]",77.62198920049971
10,2,1,5,,"2,4","[-7.722305821913307, 0.39351992720239104]",76.53420919954824
10,2,1,5,,"2,5","[1.7482755758423958, -3.213677191945121]",106.01123904288877
10,2,1,5,,"3,4","[-7.941603437352339, 0.3574520094283635]",79.35380693018804
10,2,1,5,,"3,5","[-18.193604101752303, 19.575666242463548]",3047.8892185254026
10,2,1,5,,"4,5","[-4.676720741018371, -1.740659787157742]",65.02554394768467
10,2,1,5,,"1,2,3","[-0.66563185428922, 4.940443837391685]",64.40350532544687
10,2,1,5,,"1,2,4","[-1.7253371660270098, 0.9838801965436376]",51.1794294229467
10,2,1,5,,"1,2,5","[1.444542115556693, -2.3477561470579986]",93.84878073629257
10,2,1,5,,"1,3,4","[-4.913067326170469, 0.13586275082590582]",69.69429233505359
10,2,1,5,,"1,3,5","[-17.292901588626666, 18.683473329949695]",2746.558330979428
10,2,1,5,,"1,4,5","[-2.513037178930705, -0.7436583233993035]",52.084158448971685
10,2,1,5,,"2,3,4","[-7.820577713820575, 0.4623835027156584]",78.5798970082219
10,2,1,5,,"2,3,5","[5.83199053020497, -7.297392310772124]",501.53042643269896
10,2,1,5,,"2,4,5","[1.4612136319716675, -9.370564347468626]",218.02973757334323
10,2,1,5,,"3,4,5","[-10.12023356702721, -1.53145975375953]",132.1910994603092
10,2,1,5,,"1,2,3,4","[-0.7453779677670563, 4.0431271099776875]",65.28811045877676
10,2,1,5,,"1,2,3,5","[4.365214311611608, -6.070142371294874]",349.84628568780136
10,2,1,5,,"1,2,4,5","[-1.9254680104024053, 0.5708982142119623]",59.05968497459719
10,2,1,5,,"1,3,4,5","[-3.8355204423433897, 0.057021750972860046]",70.89513118333454
10,2,1,5,,"2,3,4,5","[-17.66437403794326, -1.2415303480758109]",324.5586388516598
10,2,1,5,,"1,2,3,4,5","[-3.5958621216032594, 0.2772740732346124]",70.39559259819552
