k,m,run_id,d_max,points_json,subset,witness_json,delta
7,2,1,5,"[[3.328717959957631, -2.428961613293177, -2.622269162709424, -3.6355658332129073, -3.5400190198978887, -1.8657069767180923, 2.4770999406360406], [-4.7630882919311865, -4.733009401629509, -1.5455042201467295, 2.645510496548047, 3.819728886545306, 0.46916441281967036, -4.215628455890651], [0.22318066530422787, 2.659076985128088, 0.3869304378063143, -2.4383110968124635, -4.172480324034018, 0.863225338246375, 1.4101039752455058], [-1.6308656435553204, 1.2912397225746985, 1.3708026335704582, -1.4861470120489995, 0.301202400570425, 0.3271031226061749, 3.260577372366332], [3.2244498131464217, -0.7288042578911436, -0.7252484412089444, -4.647529982940604, 4.743025444434533, -4.618462586738756, -3.074859864675017]]",__POINTS__,,
7,2,1,5,,1,"[3.3185155113148084, -1.9354914735284918]",25.65587480302259
7,2,1,5,,2,"[-6.006438932835981, -1.063388317501761]",53.28607913337648
7,2,1,5,,3,"[1.0900308262690945, -1.0840866933019235]",25.09279539914337
7,2,1,5,,4,"[0.02820855172831068, 3.2613023309593943]",8.607470697697336
7,2,1,5,,5,"[0.3731329660747576, -3.848006004741149]",56.04509014250646
7,2,1,5,,"1,2","[-3.8291096263042923, -2.4044407976904183]",78.20742708329928
7,2,1,5,,"1,3","[1.8484121849320307, -1.680163347138093]",28.239493887101002
7,2,1,5,,"1,4","[-1.7946157035063262, 2.477583848663679]",33.77653712920837
7,2,1,5,,"1,5","[0.37428950179710524, -3.8359433432043697]",56.04532243860531
7,2,1,5,,"2,3","[-1.0926945178184468, -4.456249916766257]",67.53210197668807
7,2,1,5,,"2,4","[-4.748054912732396, 0.23302462660101397]",41.69442899660295
7,2,1,5,,"2,5","[-0.7034922629415723, -4.568944658755774]",66.60161749429344
7,2,1,5,,"3,4","[0.9352451406410665, -0.7365288991876499]",25.648352218290825
7,2,1,5,,"3,5","[-0.14157151424990527, -3.747487533544252]",57.38959591211638
7,2,1,5,,"4,5","[0.1204856703943561, -3.9864843917956567]",61.177711123435664
7,2,1,5,,"1,2,3","[-1.1751179902706013, -3.8775027450101898]",68.03299968344419
7,2,1,5,,"1,2,4","[-3.034985849494597, 0.7885883797379909]",45.86836788786237
7,2,1,5,,"1,2,5","[-2.225962892246372, -5.165085336997759]",93.29925106685951
7,2,1,5,,"1,3,4","[1.3560275512720272, -1.1702253308041348]",33.06485804432376
7,2,1,5,,"1,3,5","[0.3869284844033435, -3.7989557693306524]",56.05058345057835
7,2,1,5,,"1,4,5","[0.04129710613251102, -3.873007827848696]",59.496428937453565
7,2,1,5,,"2,3,4","[-3.3293647177919583, 0.01326588417711698]",45.964809019271044
7,2,1,5,,"2,3,5","[-0.6845330055782599, -4.215705234952716]",66.47462844939584
7,2,1,5,,"2,4,5","[0.8385044878586236, -5.015399474855921]",81.03212161576886
7,2,1,5,,"3,4,5","[-0.27484248767882485, -3.7398910630574336]",58.16754335078098
7,2,1,5,,"1,2,3,4","[-2.9800080963250255, 0.4810997784869638]",46.200707190412636
7,2,1,5,,"1,2,3,5","[-1.1472382094379527, -3.878460763067758]",67.87288704676672
7,2,1,5,,"1,2,4,5","[1.611498764281857, -5.371929233460439]",99.4422370617998
7,2,1,5,,"1,3,4,5","[0.345082960235759, -3.592922573187737]",56.17779993014365
7,2,1,5,,"2,3,4,5","[-0.6777445019088734, -4.147264687795546]",66.47957854627074
7,2,1,5,,"1,2,3,4,5","[-0.6704661259707453, -3.9724733817035007]",66.53494009273197
