k,m,run_id,d_max,points_json,subset,witness_json,delta
2,2,1,3,"[[-4.524390588570691, 4.325097123087919], [-0.158848720128415, -1.904007161111585], [-3.009891121930035, 3.613287409395125]]",__POINTS__,,
2,2,1,3,,1,"[-4.524444446984104, 4.325167159091071]",7.805770432901799e-09
2,2,1,3,,2,"[-0.15877868497205166, -1.9039371260875613]",9.809827716836429e-09
2,2,1,3,,3,"[-3.0098210870429205, 3.613217373752738]",9.809876617683606e-09
2,2,1,3,,"1,2","[-6.400759571448876, -1.6342212084185055]",39.034235536135824
2,2,1,3,,"1,3","[-3.767140855250364, 3.9691922662415196]",0.7000954257405629
2,2,1,3,,"2,3","[-1.584369921029222, 0.8546401241417718]",9.642245539597043
2,2,1,3,,"1,2,3","[-2.3416196571757104, 1.2105449790075105]",14.464923999139824
