k,m,run_id,d_max,points_json,subset,witness_json,delta
9,2,1,4,"[[-3.823457452880352, 4.8338488149213035, 2.0031059105168234, 0.34552273024142544, -3.754273923149812, -2.7359307877576877, 4.7652328830974255, 3.741138766157052, 4.6310590892578265], [-1.9024982267794333, 0.5240936227786819, -4.4092876078713426, -3.9295195533282534, -2.8434019720117334, -2.749488314812175, -2.2997916781943903, -4.163273162535193, 3.050078635935003], [4.695869834032022, 3.007758097426735, -4.650064614978402, -1.294031698782575, 0.9162821933219467, -1.3165943362936317, -3.1340788786047655, 2.8542907720995414, -0.8446660889107171], [4.337036103751258, -3.7511276301016725, 3.878700981018067, 2.5396194945623995, -0.8429090936572992, -2.168238080010637, 3.5975762417185706, -3.3958119660328356, -1.960375144509937]]",__POINTS__,,
9,2,1,4,,1,"[-0.39851563704890974, 4.397022884769035]",62.77440213623016
9,2,1,4,,2,"[-2.7272401579771164, 3.0528708016556463]",17.785029311901532
9,2,1,4,,3,"[3.8518146823355326, -1.066941733297587]",38.00923042156014
9,2,1,4,,4,"[1.2218845412322137, -4.18927655327669]",70.22792105435926
9,2,1,4,,"1,2","[-0.5213030842049231, 4.377727258444628]",62.6821619474652
9,2,1,4,,"1,3","[-0.012994332066287808, 2.314867552841421]",77.01955134109666
9,2,1,4,,"1,4","[3.113594028746362, 3.1135939239467776]",161.43948320188892
9,2,1,4,,"2,3","[1.399382581943839, -1.8283935435735865]",54.09631984705554
9,2,1,4,,"2,4","[1.0858115353182927, -2.66255998663444]",65.52871684439593
9,2,1,4,,"3,4","[4.337702442245294, -0.2621983551300258]",68.74126950829357
9,2,1,4,,"1,2,3","[-0.32108214214611747, 2.2617728901654615]",76.37381079957261
9,2,1,4,,"1,2,4","[-2.1855056087687332, 0.40460236166972907]",100.02952517868808
9,2,1,4,,"1,3,4","[0.3009673135044993, 1.384485468823254]",93.64839502882396
9,2,1,4,,"2,3,4","[1.1272992558076895, -2.4202259215406077]",65.67410595103559
9,2,1,4,,"1,2,3,4","[0.2962722600229381, 1.3819234953774866]",93.64822153753555
