k,m,run_id,d_max,points_json,subset,witness_json,delta
17,2,1,5,"[[4.254295162407918, -0.25298477526473295, -0.7439643136292462, -0.2853731371149759, -2.3046889433230455, 3.976967915633124, -1.5433433664610163, -4.907569464395218, 2.1028873476920538, 0.16367167563199003, -4.1223382685465495, -1.6018485976172936, -3.711559164867139, 0.7687343481434461, -4.331715293044077, 4.277438470098458, 2.1171876974406088], [-3.9336990246904713, -2.7317857622800403, -4.109737169521241, 1.0241729327588223, -0.8122301694346512, 1.7656648613287884, -2.613666009194513, -0.9473565272588957, -4.7555152684740545, -4.3235668773864315, 4.204181977575616, 4.359538314695504, 3.3736746142681917, -1.8378713509735878, -0.4517180487572936, 1.687872909985193, -4.106444591940451], [-0.5721415446523259, -3.5518811677880944, -1.93767756126628, -1.7107303989131073, -0.10521465252428919, -3.3569674376676986, -4.132016815630025, -0.10179903619992992, 3.181034642760785, 4.538487794906101, 4.066076492658619, 0.054190848055644114, -3.24071029142164, 0.12607191773935544, 1.7284574916036721, 2.6334536274705824, -1.7629721794614206], [-4.694530794310823, -1.3355474267165313, -2.4666325268725697, -3.4147183852747522, -3.8351001895882666, 0.9562136872613003, 4.757229876197772, 3.708139440143433, 4.498730146649139, 4.577669562255421, -4.009758768434994, 4.37743172966403, 3.935306775103954, -0.33511418646860025, 0.7351730267030665, 3.389049794490937, 2.1493250740671774], [-4.036087785429178, -3.6420256278437666, 2.169564373946727, 0.5905538682485945, 3.308866801329419, 3.165664747190955, 1.4838490649870828, 0.6814318211732628, 1.4999935679317833, -3.5194678254812173, 4.467659948042662, 1.2216109914028517, -3.7461728193533195, 4.134480029239567, -1.190551460896505, -0.06287796801186074, 2.7450562828121496]]",__POINTS__,,
17,2,1,5,,1,"[-0.8359219344265763, 3.197313443323068]",115.38271746203337
17,2,1,5,,2,"[-4.696319968788735, -0.768789217699661]",132.999803403237
17,2,1,5,,3,"[-2.1956757324738656, 1.1251723794443138]",72.46298075719092
17,2,1,5,,4,"[-3.1496686627771715, 2.3951056297543807]",83.82909502288419
17,2,1,5,,5,"[-3.839234306056005, 1.129923359697422]",85.7902510198901
17,2,1,5,,"1,2","[-6.880393410677834, -6.880393410677834]",866.5375869590372
17,2,1,5,,"1,3","[-0.8340521834565823, 3.1149221297460077]",115.3963464396436
17,2,1,5,,"1,4","[-0.8478281570213934, 3.1349974375520677]",115.39261031698017
17,2,1,5,,"1,5","[0.02521463509692958, 2.9651554681670973]",126.61385442383107
17,2,1,5,,"2,3","[-1.9820746994583334, -0.33900526656830976]",125.05556406592454
17,2,1,5,,"2,4","[-5.614982818200519, 7.080353518578392]",488.1299672694348
17,2,1,5,,"2,5","[-5.080590474978574, -0.6035413136989155]",133.9493715350274
17,2,1,5,,"3,4","[-2.845907281534618, 2.113018513969855]",85.24316976901906
17,2,1,5,,"3,5","[-3.58185641982464, 1.129906406913087]",85.92255766358113
17,2,1,5,,"4,5","[-3.657111404400728, 1.705430926521034]",90.82366003041997
17,2,1,5,,"1,2,3","[-0.9300224421077073, -0.5084239958684091]",142.98051567868544
17,2,1,5,,"1,2,4","[-3.455705013754358, 6.364088815320646]",327.79623334113563
17,2,1,5,,"1,2,5","[6.868462598801727, -6.895325298145405]",885.2906124439834
17,2,1,5,,"1,3,4","[-0.8412609479846117, 3.1206452147809602]",115.39490096380267
17,2,1,5,,"1,3,5","[-0.5448241395019009, 2.0215789863217832]",119.41848760852137
17,2,1,5,,"1,4,5","[-0.23655548359899073, 3.2458462959645624]",131.11824941051896
17,2,1,5,,"2,3,4","[-1.9575826188810856, 2.765168490117841]",132.97779831976604
17,2,1,5,,"2,3,5","[-2.1398162124840474, 1.0185439286521913]",111.62372971431859
17,2,1,5,,"2,4,5","[-7.7842026245708995, 0.4534425229343391]",177.00591701631328
17,2,1,5,,"3,4,5","[-3.36850729192209, 1.6631062067593037]",90.49647883472096
17,2,1,5,,"1,2,3,4","[-1.9084002413291254, 2.7583946470336196]",133.02116233571482
17,2,1,5,,"1,2,3,5","[-1.0312264196162408, 1.1743041996422796]",124.14000503690406
17,2,1,5,,"1,2,4,5","[6.438411848593917, -6.679641862372869]",833.7704741123832
17,2,1,5,,"1,3,4,5","[-0.8927966657377064, 2.117030570400535]",117.76525912145239
17,2,1,5,,"2,3,4,5","[-2.1443215223647463, 1.0322873282141931]",111.62216551621853
17,2,1,5,,"1,2,3,4,5","[-1.2571133948165505, 1.6952487219084467]",122.55614741287712
